Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,10887625.32,10330223.84,10280488.24,10326379.78,10762315.3,10761513.86,10546079.12,10327879,10466071.13,8908856.984,8544533.754,8995275.688,9576639.721,9255011.468,8665083.018,8311806.302,9400963.929,8259331.976,8029457.8,9635349.359,7948756.928,7834378.711,9401254.454,8149224.16,7617720.978,9141265.172,8695828.657,7022625.556,8427150.666,10112580.8
AUSTRIA,199223.4257,179362.2742,185818.287,186941.2008,178469.9852,142854.8737,143021.0648,170637.6641,179313.4946,174280.7994,176919.6769,178628.0491,177392.1236,177760.955,183165.8931,191449.5597,167558.4317,191458.0558,200322.8672,160258.2938,192309.9525,212304.8878,169843.9102,175232.0368,210278.4442,168222.7553,162897.8883,195477.466,176427.7568,159228.8308
BELGIUM,418313.0818,402829.3243,389001.8967,417299.296,387203.1058,357149.5053,349966.4441,364081.7513,355160.0942,389319.8419,384918.2086,380949.1237,393554.1517,362487.769,376932.6054,400282.3599,331642.7832,397971.3399,425517.2004,340413.7603,385824.2352,455499.6907,364399.7526,319625.1301,383550.1561,417218.6933,333774.9546,387206.0628,448534.9984,358827.9988
FINLAND,1467.314962,938.0026522,1202.658807,13515.21904,22179.63321,19254.96091,33241.00844,37212.25492,38129.89923,30063.15014,28401.03522,24834.72764,12330.49625,7822.798995,36361.19225,43633.4307,34906.74456,28752.90745,34503.48894,41404.18673,33123.34939,33275.86337,39931.03604,32344.30223,32988.26198,39585.91438,31668.7315,34461.78138,41354.13766,33083.31012
FRANCE,944376.3989,849570.0692,771189.4655,809497.3898,920436.7125,981783.5406,1035911.154,1079276.326,1055652.508,728818.986,729967.1269,695059.8081,808451.3927,746891.9929,612050.4397,515315.8692,618379.0428,682850.8556,546280.6845,602062.3817,722474.8581,577979.8865,547411.0371,656893.2444,607049.7901,525350.3286,630420.3939,688269.8475,550615.8781,599827.2237
GERMANY,2213882.903,2066884.606,2071711.348,2144693.762,2203917.557,2211126.832,1875427.966,1725619.589,1849832.003,1451882.195,1259479.045,1327516.157,1328187.212,1351953.862,1459449.569,1733373.841,1386699.073,1249647.666,1499577.199,1543107.199,1234485.759,1481382.911,1725940.822,1380752.658,1257923.442,1509508.13,1529879.455,1223903.564,1468684.277,1745288.181
ITALY,677864.568,618051.599,604276.4702,641938.3354,763275.6704,762614.8563,761223.1557,789494.6698,737649.3217,751456.0496,758070.9776,902522.6644,893908.7756,762194.1726,898162.7678,1033878.557,827102.846,841477.6253,1009773.15,807818.5204,813099.0672,975718.8808,822751.7529,807074.2535,968489.1039,855821.1891,781723.1434,938067.7722,943937.9194,755150.3354
NETHERLANDS,231916.6851,216232.2366,206283.5224,198734.2348,198674.4301,212603.1659,198359.4132,10102.69178,58575.24494,54885.46999,46670.25466,33874.39433,39554.92229,8829.153636,62515.02509,75018.0301,60014.42405,52257.25001,62708.70001,66627.50033,53302.00024,63962.40031,68023.90769,54419.12614,65302.95138,78363.54166,62690.83334,62258.22302,67606.31588,63037.50134
PORTUGAL,120565.4146,110348.0135,104422.5623,101993.4693,98139.47999,92700.92833,102350.1667,153140.7838,175537.2486,151784.9304,159101.815,186294.8387,192845.3576,189740.9879,169101.9239,137737.8683,165285.442,198342.5304,158674.0243,143640.0893,172368.1071,179679.7124,143743.77,172492.5239,204255.3609,163404.2887,136540.6922,163848.8306,196618.5967,157294.8774
SPAIN,1456544.777,1234646.662,1269830.522,1251608.233,1356782.984,1456727.354,1437242.283,1431454.967,1452230.562,1227295.498,1118455.271,1378544.187,1523016.578,1417504.019,1240078.067,1066051.799,1279262.159,1378516.238,1102812.991,1267493.025,1487706.533,1190165.227,1080251.815,1296302.178,1322627.062,1058101.65,1269721.98,1466622.935,1173298.348,1092484.577
