Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,10789978.45,10237576.09,10188286.55,10233766.51,10665792.29,10664998.04,10451495.45,10235252.28,10372205.02,8828956.922,8467901.164,8914600.57,9490750.576,9172006.881,8587369.269,8237260.954,9316650.351,8185257.25,7957444.726,9548933.67,7877467.628,7764115.225,9316938.27,8076136.948,7549400.611,9059280.731,8617839.162,6959642.367,8351570.839,10021885.01
AUSTRIA,197436.6685,177753.644,184151.7553,185264.5981,176869.3576,141573.664,141738.3647,169107.2815,177705.3018,172717.7429,175332.9534,177026.0038,175801.1629,176166.6863,181523.1497,189732.5233,166055.6655,189740.9432,198526.2495,158820.9996,190585.1996,210400.8081,168320.6465,173660.449,208392.5388,166714.0311,161436.9207,193724.3049,174845.4451,157800.7695
BELGIUM,414561.395,399216.5052,385513.0904,413556.7014,383730.4322,353946.3707,346827.7316,360816.4441,351974.8018,385828.1841,381466.0274,377532.5396,390024.518,359236.7576,373552.0439,396692.3836,328668.4085,394402.0902,421700.9026,337360.7221,382363.9282,451414.4917,361131.5934,316758.537,380110.2444,413476.8216,330781.4572,383733.3626,444512.263,355609.8105
FINLAND,1454.155186,929.5900723,1191.872629,13394.00631,21980.71273,19082.27068,32942.8828,36878.51272,37787.92704,29793.52548,28146.31741,24611.99465,12219.90884,7752.639363,36035.0829,43242.09948,34593.67958,28495.03384,34194.04061,41032.84873,32826.27899,32977.42513,39572.91016,32054.2188,32692.40313,39230.88375,31384.707,34152.70711,40983.24853,32786.59882
FRANCE,935906.6554,841950.6067,764272.968,802237.3235,912181.6747,972978.3071,1026620.471,1069596.718,1046184.772,722282.4929,723420.3365,688826.0878,801200.7075,740193.41,606561.1981,510694.2022,612833.0424,676726.6327,541381.3061,596662.7191,715995.263,572796.2104,542501.5211,651001.8251,601605.3973,520638.6665,624766.3993,682097.0237,545677.6191,594447.6073
GERMANY,2194027.451,2048347.524,2053130.977,2125458.84,2184151.48,2191296.098,1858607.984,1710143.18,1833241.581,1438860.83,1248183.269,1315610.182,1316275.219,1339828.716,1446360.335,1717827.887,1374262.31,1238440.063,1486128.076,1529267.673,1223414.138,1468096.966,1710461.532,1368369.226,1246641.617,1495969.94,1516158.563,1212926.851,1455512.221,1729635.372
ITALY,671785.0651,612508.5353,598856.9503,636181.0409,756430.1487,755775.2612,754396.0422,782414.0001,731033.6327,744716.5335,751272.1347,894428.2908,885891.6566,755358.3504,890107.4963,1024606.104,819684.8832,833930.7408,1000716.889,800573.5113,805806.6989,966968.0388,815372.8134,799835.9194,959803.103,848145.6628,774712.1735,929654.6083,935472.1084,748377.6867
NETHERLANDS,229836.7149,214292.9341,204433.446,196951.865,196892.5966,210696.4111,196580.405,10012.08468,58049.90642,54393.22362,46251.68736,33570.58811,39200.16962,8749.968401,61954.35222,74345.22265,59476.17809,51788.57512,62146.29015,66029.94428,52823.95539,63388.74649,67413.8278,53931.06223,64717.27469,77660.72962,62128.58372,61699.85331,66999.98121,62472.14258
PORTUGAL,119484.1104,109358.3452,103486.0371,101078.7296,97259.30528,91869.52987,101432.2279,151767.3239,173962.9235,150423.6306,157674.8929,184624.0329,191115.8028,188039.275,167585.3147,136502.5511,163803.0613,196563.6736,157250.9389,142351.8373,170822.2048,178068.2352,142454.5882,170945.5058,202423.4742,161938.7794,135316.112,162379.3344,194855.2012,155884.161
SPAIN,1443481.596,1223573.598,1258441.908,1240383.047,1344614.526,1443662.534,1424352.218,1418616.806,1439206.073,1216288.364,1108424.282,1366180.562,1509357.236,1404790.978,1228956.29,1056490.796,1267788.955,1366152.864,1092922.291,1256125.375,1474363.874,1179491.099,1070563.458,1284676.149,1310764.936,1048611.949,1258334.338,1453469.366,1162775.493,1082686.509
SWEDEN,61853.41772,54719.19579,52819.37336,50840.77583,59960.08716,66329.143,11203.85162,45831.02725,76102.00416,83139.39379,83963.96857,79255.08206,88524.08792,88332.05991,65912.43893,52729.95114,63275.94137,75931.12966,60744.90373,56392.41234,67670.89478,66991.21834,56096.14341,67315.37208,71852.28886,57481.83109,68978.1973,76940.58101,61552.46478,62844.48272
UNITED KINGDOM  ,651259.6756,679460.9092,675467.128,674975.4322,714722.2818,726291.5973,701645.4744,677813.8258,600634.5708,481054.1728,447586.8141,450290.6342,498920.8709,496331.9881,425495.4263,377130.3409,452556.4089,432534.8718,346027.8974,415233.4769,498280.1721,398624.1378,367868.0245,441441.6294,435363.7531,348291.0025,417949.2029,501539.0434,401231.2349,371997.3778
