Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,3475.70106,3297.759511,3281.882214,3296.532356,3435.697831,3435.441985,3366.667872,3297.010958,3341.126596,2844.01077,2727.706378,2871.598565,3057.189778,2954.515078,2766.189812,2653.411844,3001.108078,2636.660251,2563.276579,3075.931895,2537.514111,2501.000686,3001.200823,2601.510083,2431.836154,2918.203384,2776.004867,2241.861413,2690.233696,3228.280435
AUSTRIA,63.59890715,57.25855072,59.31953005,59.67800238,56.97370168,45.60414427,45.65719815,54.47335783,57.24297861,55.63637078,56.47879043,57.02416104,56.62961151,56.74735505,58.47279551,61.1172242,53.4903619,61.11993644,63.94988635,51.15990908,61.3918909,67.77495569,54.21996454,55.94003818,67.12804582,53.70243666,52.00255763,62.40306916,56.32175275,50.83126941
BELGIUM,133.5397921,128.596849,124.1826629,133.2161571,123.6084275,114.014294,111.7212161,116.2273032,113.3792062,124.2841618,122.8790105,121.6119433,125.6358978,115.7184497,120.3297338,127.7837712,105.871679,127.0460148,135.8395923,108.6716738,123.1682451,145.411025,116.32882,102.0352346,122.4422815,133.190426,106.5523408,123.6093715,143.1876579,114.5501263
FINLAND,0.468416943,0.299442414,0.383929679,4.314518525,7.080494818,6.146839746,10.61166277,11.87941999,12.17236333,9.597182099,9.066578369,7.928091447,3.936314635,2.497304046,11.60773178,13.92927814,11.14342251,9.178907979,11.01468957,13.21762749,10.57410199,10.62278965,12.74734758,10.32540359,10.53097749,12.63717298,10.10973839,11.0013751,13.20165012,10.56132009
FRANCE,301.4771316,271.21172,246.1899601,258.4191551,293.8347678,313.418766,330.6981448,344.5417859,337.0002579,232.663859,233.0303847,221.8867789,258.0852371,238.4333787,195.3873595,164.5063878,197.4076653,217.9892651,174.3914121,192.198831,230.6385972,184.5108777,174.7522592,209.702711,193.7909817,167.7097292,201.2516749,219.719192,175.7753537,191.4852923
GERMANY,706.7468733,659.820007,661.3608676,684.6593414,703.5655953,705.8670416,598.7005228,550.8765831,590.5294188,463.4902779,402.0686351,423.7883999,424.0026238,431.5897484,465.9060414,553.3520047,442.6816039,398.9301238,478.7161486,492.6124081,394.0899265,472.9079119,550.9791317,440.7833054,401.5720335,481.8864401,488.3896614,390.7117292,468.854075,557.1554681
ITALY,216.3974722,197.303134,192.9056435,204.9285944,243.663607,243.4526526,243.0083743,252.0336051,235.4828031,239.8903812,242.0020916,288.1159931,285.3661462,243.318356,286.7241655,330.0492708,264.0394167,268.6283362,322.3540033,257.8832028,259.5689333,311.4827199,262.6503995,257.6456074,309.1747288,273.2072906,249.5526691,299.4632029,301.3371539,241.0697231
NETHERLANDS,74.03570979,69.02869929,65.85273065,63.44274075,63.42364905,67.87017623,63.32308492,3.225123524,18.69921447,17.52131256,14.89873584,10.81386113,12.62727925,2.818566744,19.95692657,23.94831187,19.15864949,16.68229517,20.0187542,21.26976882,17.01581505,20.41897806,21.71554964,17.37243971,20.84692765,25.01631318,20.01305055,19.87494659,21.5822401,20.12371879
PORTUGAL,38.4885893,35.22684664,33.3352407,32.5597914,31.32946668,29.59329564,32.67366136,48.88775734,56.03747218,48.45492272,50.79072167,59.47166157,61.56281044,60.57178985,53.98309722,43.97062178,52.76474613,63.31769536,50.65415629,45.85481185,55.02577422,57.35988782,45.88791027,55.06549231,65.20527235,52.16421789,43.58844234,52.30613082,62.76735698,50.21388559
SPAIN,464.978733,394.1412923,405.3731794,399.5560037,433.1313685,465.0370176,458.816719,456.9692105,463.6014884,391.7945501,357.0490402,440.0782863,486.1987971,452.5155924,395.8751817,340.320066,408.3840792,440.0693641,352.0554913,404.6269706,474.9266276,379.9413021,344.8531951,413.823834,422.2276344,337.7821075,405.3385289,468.1960244,374.5568196,348.7583095
