Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,1737.85053,1648.879756,1640.941107,1648.266178,1717.848915,1717.720993,1683.333936,1648.505479,1670.563298,1422.005385,1363.853189,1435.799283,1528.594889,1477.257539,1383.094906,1326.705922,1500.554039,1318.330125,1281.63829,1537.965948,1268.757055,1250.500343,1500.600412,1300.755042,1215.918077,1459.101692,1388.002434,1120.930707,1345.116848,1614.140218
AUSTRIA,31.79945357,28.62927536,29.65976502,29.83900119,28.48685084,22.80207213,22.82859907,27.23667892,28.62148931,27.81818539,28.23939521,28.51208052,28.31480576,28.37367752,29.23639775,30.5586121,26.74518095,30.55996822,31.97494317,25.57995454,30.69594545,33.88747784,27.10998227,27.97001909,33.56402291,26.85121833,26.00127882,31.20153458,28.16087637,25.41563471
BELGIUM,66.76989606,64.29842451,62.09133144,66.60807857,61.80421376,57.007147,55.86060803,58.11365159,56.68960309,62.14208092,61.43950524,60.80597165,62.81794891,57.85922485,60.16486689,63.8918856,52.93583952,63.52300742,67.91979615,54.33583691,61.58412253,72.70551252,58.16441002,51.01761729,61.22114074,66.595213,53.27617039,61.80468575,71.59382895,57.27506317
FINLAND,0.234208471,0.149721207,0.191964839,2.157259263,3.540247409,3.073419873,5.305831385,5.939709996,6.086181664,4.79859105,4.533289185,3.964045723,1.968157318,1.248652023,5.803865891,6.964639068,5.571711255,4.589453989,5.507344787,6.608813745,5.287050996,5.311394826,6.373673792,5.162701794,5.265488744,6.318586492,5.054869194,5.50068755,6.600825059,5.280660047
FRANCE,150.7385658,135.60586,123.09498,129.2095775,146.9173839,156.709383,165.3490724,172.2708929,168.5001289,116.3319295,116.5151924,110.9433894,129.0426186,119.2166894,97.69367974,82.25319389,98.70383263,108.9946326,87.19570606,96.09941548,115.3192986,92.25543887,87.37612961,104.8513555,96.89549084,83.8548646,100.6258375,109.859596,87.88767683,95.74264617
GERMANY,353.3734367,329.9100035,330.6804338,342.3296707,351.7827976,352.9335208,299.3502614,275.4382915,295.2647094,231.745139,201.0343176,211.8942,212.0013119,215.7948742,232.9530207,276.6760024,221.3408019,199.4650619,239.3580743,246.3062041,197.0449633,236.4539559,275.4895659,220.3916527,200.7860167,240.9432201,244.1948307,195.3558646,234.4270375,278.5777341
ITALY,108.1987361,98.65156702,96.45282173,102.4642972,121.8318035,121.7263263,121.5041872,126.0168026,117.7414016,119.9451906,121.0010458,144.0579966,142.6830731,121.659178,143.3620828,165.0246354,132.0197083,134.3141681,161.1770017,128.9416014,129.7844666,155.74136,131.3251997,128.8228037,154.5873644,136.6036453,124.7763345,149.7316015,150.668577,120.5348616
NETHERLANDS,37.01785489,34.51434964,32.92636533,31.72137038,31.71182452,33.93508811,31.66154246,1.612561762,9.349607235,8.760656278,7.449367922,5.406930567,6.313639627,1.409283372,9.978463283,11.97415594,9.579324746,8.341147584,10.0093771,10.63488441,8.507907523,10.20948903,10.85777482,8.686219854,10.42346383,12.50815659,10.00652528,9.937473297,10.79112005,10.0618594
PORTUGAL,19.24429465,17.61342332,16.66762035,16.2798957,15.66473334,14.79664782,16.33683068,24.44387867,28.01873609,24.22746136,25.39536083,29.73583078,30.78140522,30.28589492,26.99154861,21.98531089,26.38237306,31.65884768,25.32707815,22.92740592,27.51288711,28.67994391,22.94395514,27.53274616,32.60263618,26.08210894,21.79422117,26.15306541,31.38367849,25.10694279
SPAIN,232.4893665,197.0706461,202.6865897,199.7780019,216.5656843,232.5185088,229.4083595,228.4846053,231.8007442,195.8972751,178.5245201,220.0391431,243.0993985,226.2577962,197.9375908,170.160033,204.1920396,220.0346821,176.0277456,202.3134853,237.4633138,189.9706511,172.4265975,206.911917,211.1138172,168.8910538,202.6692645,234.0980122,187.2784098,174.3791548
SWEDEN,9.962206617,8.813157857,8.507169534,8.188493571,9.657263885,10.68307382,1.804509578,7.381615758,12.25710587,13.39055867,13.52336595,12.76494545,14.25782579,14.22689747,10.61595882,8.492767054,10.19132047,12.22958456,9.783667649,9.082648689,10.89917842,10.78970869,9.034931159,10.84191739,11.57264019,9.258112148,11.10973458,12.39216835,9.913734674,10.12182907
UNITED KINGDOM  ,104.8928853,109.4350194,108.7917748,108.7125815,115.1142703,116.977642,113.0080996,109.1697376,96.73912803,77.47932515,72.08902088,72.5245023,80.35696304,79.93999359,68.53094797,60.7411929,72.88943145,69.66473188,55.73178551,66.87814261,80.2537711,64.2030169,59.24938998,71.09926798,70.12035586,56.09628469,67.31554162,80.77864992,64.62291997,59.91446997
CZECH REPUBLIC ,66.63590951,65.70769341,63.48180425,67.58709434,68.72051075,73.19042715,70.08515396,71.50153728,78.23784202,67.34309368,62.76995493,66.03354305,74.89507348,78.49085271,55.3481752,44.27854016,53.1342482,63.76109784,51.00887827,49.42661594,59.31193913,53.34648948,47.04053746,56.44864494,60.29855706,48.23884565,57.88661479,64.71364829,51.77091863,51.36523835
HUNGARY,13.68460259,13.96597864,18.50248729,25.64312414,29.19695557,28.94738194,26.42087836,26.633983,29.695211,26.09318301,25.73717029,23.06770166,26.16478261,23.65709297,18.43639143,14.74911314,17.69893577,21.23872292,16.99097834,17.17936062,20.61523273,16.49218619,17.35453157,20.82543789,16.66035031,15.90916467,19.0909976,18.15696854,15.31296878,18.37556254
POLAND,57.91071757,49.77487056,45.20400185,45.80032354,49.30102013,50.98219548,56.93849309,59.20990175,59.57392148,45.38914565,43.8771943,51.27769341,66.50511088,67.99272375,34.49919807,27.59935845,33.11923015,39.74307617,31.79446094,29.44566412,35.33479695,36.44959131,29.15967305,34.99160766,40.88110198,32.70488159,30.20675868,36.24811041,35.33918472,28.27134777
ROMANIA,16.4272634,18.85178625,20.9478844,20.84881837,20.49040126,19.25049019,19.1424921,24.14739196,25.74063999,23.55602237,22.3341339,26.11637959,27.05332331,29.11444855,23.22756123,18.58204898,22.29845879,26.75815055,21.40652043,20.35864717,24.43037661,22.82572668,20.19722877,24.23667452,24.7246528,19.77972224,23.73566669,27.2895154,21.83161232,20.90632526
SLOVAKIA,33.72749601,46.3269222,50.9751067,51.2320666,54.15685808,54.814331,54.49557595,56.9577166,58.24989673,53.25375979,53.95409304,52.20007044,56.07686562,53.11412544,45.34071688,36.27257351,43.52708821,52.23250585,41.78600468,39.57982367,47.4957884,45.36320865,36.89643973,44.27572767,53.1308732,42.50469856,38.88258565,46.65910278,47.05845655,37.64676525
SLOVENIA,8.907093858,7.702043993,5.722558426,6.001990315,6.888519858,7.043240559,9.515397769,10.86657894,10.58722237,7.975325364,5.453744342,3.834822284,3.273262319,3.210535811,5.272775794,6.327330953,5.061864762,4.480149966,5.376179958,5.912891358,4.730313086,5.267863495,6.321436193,5.057148955,4.537115964,5.444539157,5.72061926,4.576495408,5.491794489,5.814240412
SERBIA,0.81638052,0.821725352,5.258195178,5.706575863,4.70550106,4.361094586,4.208288705,3.188083906,2.051444132,1.344377949,1.154595524,0.430860963,0.099439615,0.066023939,0.877721785,1.053266142,0.842612914,0.998602276,1.163475421,0.930780337,0.744624269,0.893549123,1.072258948,0.865683938,0.692547151,0.831056581,0.747798394,0.897358073,0.717886459,0.86146375
RUSSIA,216.5013933,228.2002603,224.6392196,206.0718005,179.9034023,163.2047051,173.213645,157.8843647,156.9790177,148.3385865,153.5421949,126.3288799,127.4274386,131.2952537,138.3389581,155.0445443,124.0356354,138.2065472,165.8478566,132.6782853,117.4799932,140.9759918,151.8149505,121.4519604,144.4073689,160.3505316,128.2804252,133.9155251,160.6986302,128.5589041
AZERBAIJAN,0.250206097,0.250206097,0.250206097,0.250206097,0.250206097,0.272250687,0.272250687,0.457425244,0.561105422,0.378610735,0.380710698,0.108284282,0.187977436,0.297500608,0.021315049,0.017052039,0.020462447,0.024554936,0.024400326,0.019520261,0.016737302,0.020084762,0.019074908,0.015259926,0.018311912,0.021974294,0.026369153,0.021095322,0.016876258,0.020251509
BELARUS,25.40181245,32.24657528,32.08826846,21.34480109,21.0168642,14.35519839,14.2860264,7.599017309,8.025282172,8.455929277,8.125788871,9.855339313,9.59270336,12.0374484,12.17403127,14.60883753,11.68707002,9.349656014,11.21958722,13.46350466,10.77080373,11.35613683,13.6273642,10.90189136,10.74140205,12.88968247,10.31174597,11.65259001,13.98310801,11.18648642
KAZAKHSTAN,2.128164326,2.128164326,2.128164326,4.735635153,3.610998305,3.499717998,3.984432876,3.479172755,4.594957248,6.274187185,6.777690015,7.772410011,10.22859721,9.916950881,4.117947958,3.294358366,3.953230039,4.743876047,3.795100838,3.541480984,4.249777181,4.242941491,3.394353193,4.073223831,4.887868597,3.910294878,3.308970456,3.970764547,4.764917457,3.811933965
UKRAINE,8.639310143,7.299727092,5.346810507,3.582325589,2.468442735,1.959772528,2.391193157,2.318397528,2.354610905,1.146793152,1.302578268,0.129969255,0.100662321,0.511069948,1.409774679,1.691729616,1.353383692,1.082706954,1.299248345,1.559098014,1.247278411,1.021234917,1.225481901,1.470578281,1.176462625,1.411755149,1.69410618,1.355284944,1.275685664,1.530822797
UZBEKISTAN ,12.93127807,10.66725945,12.10936161,12.95950394,10.30352528,5.501727177,6.935914001,10.9266783,14.66301194,15.02714402,13.39019152,17.52952977,21.95165884,22.80896589,11.58775641,9.270205129,11.12424616,13.34909539,10.67927631,10.67824168,12.81389002,10.25111201,10.72344494,12.86813393,10.29450715,10.11910969,12.14293162,11.96304808,9.570438461,11.48452616
TURKEY,159.1679972,140.2450945,142.5362212,139.2136845,163.7586363,167.1756299,179.0262925,177.2268033,168.1802997,134.8928332,135.3087677,150.4647626,153.4008453,148.4723846,149.1741587,151.1874948,142.9527872,154.756277,151.0901764,132.9972426,159.596691,157.915676,126.3325408,151.5990489,179.1754174,143.340334,128.0310905,153.6373086,162.015853,129.6126825
NORTH AMERICA,1897.950129,2136.566581,2243.651915,2367.241377,2451.644334,2607.34361,2607.864421,2699.251908,2670.505128,2177.183613,2244.761164,2472.722419,2646.36851,2773.543953,2164.369585,1731.495668,2077.794802,2493.353762,1994.683009,1908.782536,2290.539042,2173.430368,1757.764033,2109.31684,2531.180208,2024.944167,1878.065844,2253.679012,2144.801511,1831.817784
CANADA  ,241.152749,286.4775174,282.2041204,289.9346472,274.5367147,300.0135968,276.4169471,262.0681801,266.4732081,194.4154014,156.995853,181.9633916,221.3509354,208.9797362,147.525542,118.0204336,141.6245203,169.9494244,135.9595395,128.3567768,154.0281322,153.0357213,122.4285771,146.9142925,176.297151,141.0377208,119.2555356,143.1066427,163.3868552,130.7094841
MEXICO,378.1843023,413.2727641,426.5946491,458.7629174,484.6333864,524.4883013,608.9692995,647.7905532,653.3974517,536.2298804,560.1375963,632.9374784,679.8227416,742.8467022,529.9503075,423.960246,508.7522952,610.5027542,488.4022034,478.8382896,574.6059475,504.9400831,451.822264,542.1867168,569.2925496,455.4340397,546.5208477,620.4999788,496.399983,476.4869947
USA,1278.613077,1436.816299,1534.853146,1618.543813,1692.474233,1782.841712,1722.478175,1789.393175,1750.634468,1446.538331,1527.627715,1657.821548,1745.194833,1821.717514,1486.893735,1189.514988,1427.417986,1712.901583,1370.321266,1319.524492,1583.429391,1431.339551,1281.397403,1537.676883,1598.969461,1279.175568,1535.010682,1752.275783,1401.820627,1346.577395
SOUTH AMERICA,594.3376624,493.3130888,522.9904505,540.4767889,457.0762368,380.9072497,410.7272745,333.3478697,323.6169019,248.7917686,273.1773918,321.3512499,331.8731142,366.5382892,345.8754429,347.3189626,342.4560124,349.830779,317.5769906,368.6745808,341.3869733,298.767651,358.5211812,381.1596505,304.9277204,353.9746493,403.5094303,322.8075443,313.4449654,376.1339585
ARGENTINA,91.02668722,87.10788557,88.96811446,83.97256292,76.71358415,69.71788096,73.47447113,51.44521723,38.9812694,30.79882845,48.2321095,56.76667646,63.65453357,54.86386778,55.44233003,64.52393281,51.61914625,50.91067686,61.09281223,51.02092039,48.92988089,58.71585707,53.71949138,48.76180056,58.51416067,55.5189272,44.41514176,53.29817011,63.95780413,51.1662433
BRAZIL,501.833269,402.8535218,429.7835778,452.6098592,376.2097682,306.9202734,333.3169456,278.2211275,280.6017706,215.2302588,222.7389945,258.6591784,262.935335,306.1364376,284.4902267,315.6662645,252.5330115,279.8199026,335.7838831,268.6271064,246.5092238,295.8110686,302.5717329,242.0573864,290.4688636,331.8819455,265.5055565,250.138016,300.1656192,279.7365531
COLOMBIA,1.47770614,3.351681437,4.238758251,3.894366839,4.152884453,4.269095373,3.935857739,3.681524989,4.033861867,2.762681371,2.206287843,5.925395014,5.283245677,5.537983859,5.942886241,5.524865484,6.629838581,5.667387458,4.815841932,5.779010319,6.846255695,5.477004556,5.285265991,6.342319189,5.646733828,5.192218545,6.230662254,6.066270537,4.85301643,5.823619715
ASIA-OCEANIA,6227.490669,6238.737328,6344.792588,6527.46156,6580.184107,6651.474795,6870.470487,6486.304191,6162.154048,5995.220742,6009.795954,6833.960826,7168.364082,7173.044729,6354.087716,5374.133234,6448.95988,7217.977657,5774.382127,6209.919205,7451.903048,5961.522437,5513.840679,6616.608815,6523.504198,5218.803358,6262.56403,7515.076835,6012.061469,5428.219402
AUSTRALIA,19.98690141,20.73459821,21.22420714,18.44605125,15.4445264,14.865892,7.178554018,6.030297608,6.030297608,6.20334764,6.20334764,6.145664296,6.184119859,6.177710598,8.231699628,9.878039555,7.902431645,6.37237142,7.646845702,9.176214847,7.340971879,7.608711186,9.130453418,7.304362733,7.766902992,9.320283592,7.456226873,7.856620854,9.427945027,7.542356024
CHINA,3426.070762,3216.049283,3352.465582,3618.536558,3661.747013,3687.713271,3732.8459,3358.673542,3239.927609,3486.967507,3445.584427,4161.796577,4347.605776,4255.847461,3848.329424,3283.85306,3940.623672,4304.215886,3443.372708,3836.841926,4604.210311,3683.368249,3266.672466,3920.006959,4138.920848,3311.136678,3973.364014,4514.52208,3611.617664,3512.790606
INDIA,708.2401791,670.0333931,661.7170528,557.4812679,575.5044189,626.0037027,657.2263101,774.9915768,733.6214255,652.8519888,678.4492961,758.111502,804.5873299,963.5099099,672.3634078,537.8907262,645.4688715,774.5626455,619.6501166,598.4954017,718.1944817,638.1030358,586.1761412,703.4113694,685.1025064,565.1327253,678.1592704,784.615407,627.6923254,609.101048
INDONESIA,237.4584523,272.408101,281.2926423,278.8909278,270.2695807,250.7784374,250.2630966,199.9858974,157.8623291,120.3205541,140.2713819,184.4144834,222.7132006,243.6100719,145.1693633,116.1354906,139.3625888,167.2351065,133.7880852,128.540124,154.2481489,139.2859121,128.4237706,154.1085247,159.7043379,127.7634703,153.3161644,165.2075685,132.1660548,152.8700669
IRAN,144.5420924,92.01405736,74.20571955,77.97481679,68.53943978,90.62347408,219.4379303,150.7088323,65.21233814,63.23424733,64.42374471,79.71665506,85.6057948,79.32986427,83.86016578,100.632199,80.50575915,66.96729978,80.36075971,96.43291168,77.14632934,77.07688898,92.49226676,75.8783103,84.66278635,97.48241896,77.98593519,79.60086405,95.52103683,76.48489938
JAPAN,1063.647619,1215.460845,1219.86845,1222.141875,1198.601429,1218.657008,1240.830668,1228.426139,1225.993484,1050.807354,1024.190642,1037.186905,1087.305485,1056.819645,988.1187841,920.2789583,1104.33475,943.5465404,865.540222,1038.648266,1039.003936,831.2031486,997.4437783,1189.6027,951.6821596,818.0618188,981.6741824,1122.538538,898.0308298,956.6151127
MALAYSIA,42.0027232,44.54759429,46.07698738,43.83547511,44.71601559,41.84009061,39.47831843,39.65278668,40.53068872,32.78442013,32.84817121,46.06819246,49.75321634,50.74971638,41.03747732,32.82998186,39.39597822,47.27517387,37.8201391,36.9642219,44.35706628,38.52170573,35.70959239,42.85151087,41.77282398,33.41825918,40.10191102,48.12229322,38.49783458,35.57928595
PAKISTAN ,18.28989334,18.22431421,16.99309217,19.12669798,26.76162224,26.9294379,31.14147151,34.03348857,26.66561044,28.27072019,34.84279521,33.21187164,24.52806139,28.01110411,40.400111,48.4801332,38.78410656,33.85950898,40.63141078,44.10700558,35.28560447,42.21800832,46.98923521,37.59138816,38.67434169,46.40921003,37.12736802,36.04268024,43.25121628,40.15212608
PHILIPPINES,16.03089947,15.92684665,17.30119206,17.73742798,26.49408517,31.11677027,18.85853958,7.701340138,15.56251312,10.72955511,13.88013921,15.8893491,17.5102617,19.79319539,13.68962175,10.9516974,13.14203688,15.77044425,12.6163554,10.696115,12.835338,15.4024056,12.32192448,12.89347135,15.47216563,12.3777325,12.60917031,15.13100437,12.1048035,12.00862414
SOUTH KOREA,320.1106755,310.4428416,301.3283077,367.7584835,373.0277857,365.2593297,365.2839393,354.9295841,342.9029338,301.7892888,293.601232,221.7462162,249.2891394,242.7608544,206.1032656,188.0701383,225.684166,208.4750845,166.7800676,200.1360811,240.1632973,192.1306379,174.0764949,208.891794,222.6866913,178.1493531,213.7792237,238.6360663,190.908853,202.1460678
TAIWAN ,29.0955095,30.98679019,30.02662513,27.10699554,26.81171916,26.23606101,25.33447148,24.23695921,23.63699113,23.38084978,24.22299518,24.50292491,25.31105291,27.43827818,23.94975558,20.66959393,24.80351272,26.51526972,21.21221578,24.78040495,28.47081528,22.77665222,21.07458322,25.28949987,24.50017957,19.60014365,23.52017238,28.22420686,22.57936548,20.51009284
THAILAND,199.0309139,328.2064482,318.6073745,275.2081263,275.1717307,244.9646479,255.6958786,284.9625907,269.8522208,204.9172566,237.7991945,245.9765577,233.1215087,184.5882924,261.0535484,313.2642581,250.6114064,217.983642,261.5803704,304.0675382,243.2540305,240.6129553,288.7355463,236.4517768,239.6937469,287.6324963,242.6770013,229.3305484,275.196658,259.0930894
VIETNAM,2.984048124,3.702216151,3.685354942,3.216857509,17.09474063,26.48667176,26.89540889,21.97115662,14.35560649,12.96365239,13.47858622,19.19392735,14.84913795,14.40862792,21.78108909,26.13730691,20.90984552,17.65629782,21.18755738,25.42506885,20.34005508,18.57661573,22.29193888,22.78382648,18.22706118,21.87247342,25.43065441,20.34452353,19.91351013,23.89621217
AFRICA,95.89099343,100.0793032,101.0797968,123.1300877,123.0161739,134.250575,139.5157469,142.9360426,144.4301562,122.6130074,134.7159675,137.029452,150.3601567,171.6900536,112.0373535,89.62988272,107.5558593,129.0670311,103.253625,100.2626814,120.3152177,103.1729596,104.1211311,124.9453574,99.95628594,104.4004848,125.2805817,100.2244654,104.0001394,124.8001673
EGYPT,15.8943796,11.36124542,6.407380127,19.65937278,19.4489811,28.11159465,28.03936998,27.34972655,27.42880466,29.09252321,28.09511989,29.20908182,29.20908182,55.67030548,23.0897086,18.47176688,22.16612026,26.59934431,21.27947545,19.13945722,22.96734868,24.86119466,19.88895573,23.86674687,28.64009625,22.912077,18.3296616,21.99559392,26.3947127,21.11577016
MOROCCO,3.639690162,5.865060932,10.59303649,13.96573764,13.27320677,16.07454855,21.66954144,24.14739102,24.87017241,20.88293398,27.64424354,30.18724092,34.31213799,32.70726171,21.59040975,17.2723278,20.72679336,24.87215203,19.89772163,17.8009569,21.36114829,24.11707028,19.29365622,22.13122112,26.19167957,20.95334366,18.70219828,22.44263793,22.3090352,17.84722815
SOUTH AFRICA,76.35692369,82.85299678,84.07938018,89.50497728,90.29398598,90.06443177,89.80683551,91.43892501,92.13117912,72.63755025,78.9766041,77.63312928,86.8389369,83.31248641,67.35723509,53.88578807,64.66294568,77.59553483,62.07642786,59.51003159,71.41203793,66.23205934,55.95211954,67.14254344,77.38793068,61.91034452,62.48954359,74.98745228,59.98996184,61.37045574
NET,10553.51998,10617.57606,10853.45586,11206.57599,11329.76977,11491.69722,11711.91187,11310.34549,10971.26953,9965.814515,10026.30366,11200.86323,11825.56076,11962.07457,10359.465,8611.461776,10333.75413,12145.48054,9716.38443,9122.635235,10947.16228,10421.66342,8430.981827,10117.17819,12140.61383,9712.491064,9094.162289,10912.99474,10432.54938,8522.13912
