Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,12105.76994,11486.00449,11430.7043,11481.73034,11966.43981,11965.54871,11726.01039,11483.3973,11637.05084,9905.610266,9500.525311,10001.69779,10648.10681,10290.49369,9634.562037,9241.759518,10452.77581,9183.414186,8927.820904,10713.38508,8838.090943,8710.915702,10453.09884,9060.987132,8470.017563,10164.02107,9668.747603,7808.340836,9370.009003,11244.0108
AUSTRIA,221.5132215,199.4299367,206.6082703,207.8568194,198.4378154,158.8379638,159.022749,189.7291875,199.3756995,193.7799292,196.7140534,198.613564,197.239359,197.6494564,203.6591175,212.8695889,186.30544,212.8790356,222.7356723,178.1885378,213.8262454,236.0582822,188.8466257,194.8375943,233.8051131,187.0440905,181.1234593,217.3481511,196.1670955,177.043895
BELGIUM,465.115375,447.8992419,432.5247546,463.9881634,430.5247089,397.1086092,389.1218826,404.8164584,394.8966159,432.8782726,427.9841696,423.57101,437.5863314,403.044136,419.1051099,445.0673146,368.7481081,442.4977297,473.1255149,378.5004119,428.9915656,506.4625485,405.1700389,355.3858789,426.4630547,463.8985426,371.118834,430.5279967,498.7186227,398.9748983
FINLAND,1.63148316,1.042949586,1.337216373,15.02734781,24.66116616,21.40927156,36.96012575,41.37568882,42.3960023,33.42671784,31.57863983,27.6133216,13.71007419,8.698040407,40.42940636,48.51528763,38.8122301,31.96988073,38.36385688,46.03662825,36.8293026,36.99888037,44.39865644,35.96309299,36.67910116,44.01492139,35.21193711,38.31748293,45.98097951,36.78478361
FRANCE,1050.036449,944.6228639,857.4727711,900.0667166,1023.418309,1091.628829,1151.812424,1200.02944,1173.762508,810.361738,811.6383369,772.8254682,898.9036897,830.4568145,680.5287288,572.9711648,687.5653976,759.2505365,607.4004292,669.4231728,803.3078075,642.646246,608.6572496,730.3886993,674.9685894,584.1283138,700.9539761,765.2758237,612.220659,666.9379377
GERMANY,2461.579667,2298.134699,2303.501474,2384.649409,2450.499364,2458.515238,2085.257239,1918.687789,2056.797511,1614.323723,1400.393853,1476.043189,1476.789324,1503.215068,1622.73776,1927.309614,1541.847691,1389.462506,1667.355007,1715.755291,1372.604233,1647.12508,1919.044963,1535.235971,1398.664203,1678.397044,1701.047582,1360.838066,1633.005679,1940.556971
ITALY,753.7063661,687.2013182,671.8849811,713.7605841,848.6735537,847.9388055,846.3913967,877.8260241,820.1800418,835.5315135,842.8865421,1003.499976,993.922336,847.4710543,998.6522793,1149.552414,919.6419312,935.6250099,1122.750012,898.2000096,904.071362,1084.885634,914.804023,897.3724715,1076.846966,951.5733805,869.1849929,1043.021992,1049.548911,839.6391285
NETHERLANDS,257.8643143,240.4250362,229.363226,220.9692983,220.9028024,236.3899327,220.5525404,11.23301537,65.12884297,61.02624342,51.89188181,37.66437702,43.9804618,9.816989435,69.50941916,83.41130297,66.72904235,58.10396924,69.72476309,74.08201214,59.26560968,71.11873164,75.63465431,60.50772344,72.60926814,87.13112177,69.70489743,69.22388519,75.17034091,70.09035182
PORTUGAL,134.0546841,122.6941253,116.1057145,113.4048462,109.1196595,103.0726241,113.8014521,170.2746966,195.1769542,168.7671457,176.9026683,207.1381401,214.4215534,210.9698563,188.0216234,153.1484505,183.7781405,220.5337687,176.4270149,159.711032,191.6532384,199.782891,159.8263129,191.7915754,227.1081467,181.6865174,151.8173301,182.1807962,218.6169554,174.8935644
SPAIN,1619.507971,1372.783139,1411.903489,1391.642428,1508.584488,1619.710975,1598.045848,1591.611027,1614.711066,1364.609501,1243.591858,1532.780409,1693.416863,1576.099199,1378.822227,1185.325307,1422.390369,1532.749333,1226.199467,1409.304464,1654.156211,1323.324969,1201.114069,1441.336883,1470.607086,1176.485669,1411.782802,1630.713707,1304.570966,1214.715474
SWEDEN,69.39617613,61.3919665,59.26046889,57.04058989,67.27196205,74.41769687,12.57011316,51.41992401,85.38231643,93.27788548,94.20301361,88.91989862,99.31921991,99.10377491,73.95017752,59.16014202,70.99217042,85.19060452,68.15248362,63.26922461,75.92306951,75.16050945,62.93682696,75.52419234,80.61436662,64.49149329,77.38979194,86.32315413,69.05852327,70.50809724
UNITED KINGDOM  ,730.6779935,762.3182463,757.8374407,757.2857847,801.8795917,814.8597355,787.2081239,760.4703082,673.8793748,539.7166613,502.1681021,505.2016414,559.7621265,556.8575405,477.3827645,423.1197648,507.7437176,485.2806401,388.2245121,465.8694145,559.0432971,447.2346379,412.7279488,495.2735386,488.4544913,390.7635931,468.9163116,562.6995738,450.1596592,417.3608589
CZECH REPUBLIC ,464.1820322,457.7161306,442.2107107,470.8079327,478.7032482,509.8404368,488.2092768,498.0757241,545.0004475,469.1082377,437.252008,459.985981,521.7149081,546.7629059,385.552304,308.4418432,370.1302119,444.1562543,355.3250034,344.3030522,413.1636627,371.6086728,327.6817625,393.2181149,420.0363882,336.0291106,403.2349327,450.7916677,360.6333341,357.8073879
HUNGARY,95.32617906,97.28622891,128.8872953,178.6285737,203.3843654,201.6458494,184.0463663,185.5308414,206.855185,181.7636588,179.283694,160.6883243,182.2624176,164.7939913,128.4268753,102.7415002,123.2898002,147.9477603,118.3582082,119.6704687,143.6045624,114.8836499,120.8906998,145.0688398,116.0550718,110.8223545,132.9868254,126.480431,106.6692872,128.0031446
POLAND,403.4028314,346.7289745,314.8885578,319.0425015,343.4281588,355.1391326,396.6303698,412.452876,414.9886171,316.1782592,305.6460903,357.1975547,463.2708962,473.6335246,240.3194912,192.2555929,230.7067115,276.8480538,221.4784431,205.1168553,246.1402264,253.9058218,203.1246575,243.7495889,284.7754782,227.8203826,210.4185976,252.5023171,246.1707914,196.9366331
ROMANIA,114.4314014,131.3204925,145.9217954,145.2317069,142.7349933,134.0978419,133.3455332,168.2093867,179.3078637,164.0899391,155.5783321,181.9252449,188.4519426,202.8096261,161.8018971,129.4415177,155.3298213,186.3957855,149.1166284,141.8172017,170.180642,159.00274,140.69277,168.8313241,172.2305536,137.7844428,165.3413314,190.0972435,152.0777948,145.6322967
