Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,-10497037.86,-9959632.85,-9911681.49,-9955926.693,-10376223.27,-10375450.59,-10167744.44,-9957372.129,-10090606.7,-8589256.734,-8238003.395,-8672575.215,-9233083.139,-8922993.12,-8354228.022,-8013624.91,-9063709.618,-7963033.071,-7741405.502,-9289686.602,-7663599.729,-7553324.767,-9063989.72,-7856875.312,-7344439.508,-8813327.408,-8383870.678,-6770692.8,-8124831.36,-9749797.631
AUSTRIA,-192076.3969,-172927.7532,-179152.1602,-180234.79,-172067.4746,-137730.0351,-137890.2643,-164516.1335,-172880.7235,-168028.5734,-170572.7827,-172219.8679,-171028.2806,-171383.8803,-176594.9194,-184581.4141,-161547.3668,-184589.6054,-193136.3966,-154509.1173,-185410.9407,-204688.569,-163750.8551,-168945.6857,-202734.8228,-162187.8583,-157054.0179,-188464.8215,-170098.5099,-153516.5857
BELGIUM,-403306.3345,-388378.048,-375046.6717,-402328.9177,-373312.4114,-344336.967,-337411.5941,-351020.5225,-342418.9249,-375353.2108,-371109.4836,-367282.7874,-379435.6171,-349483.7235,-363410.3595,-385922.4547,-319745.2843,-383694.3411,-410252.0093,-328201.6074,-371983.0071,-439158.8947,-351327.1158,-308158.7577,-369790.5092,-402251.2065,-321800.9652,-373315.2623,-432444.0568,-345955.2455
FINLAND,-1414.67586,-904.3523328,-1159.514096,-13030.36813,-21383.9513,-18564.19998,-32048.50589,-35877.28613,-36762.01047,-28984.65148,-27382.164,-23943.7957,-11888.14661,-7542.160466,-35056.75486,-42068.10583,-33654.48466,-27721.41301,-33265.69562,-39918.83474,-31935.06779,-32082.11042,-38498.53251,-31183.96851,-31804.82657,-38165.79189,-30532.63351,-33225.48429,-39870.58115,-31896.46492
FRANCE,-910497.425,-819092.2192,-743523.4757,-780457.1247,-887416.5614,-946562.6064,-998748.4216,-1040557.893,-1017781.566,-702673.0134,-703779.9654,-670124.9271,-779448.6521,-720097.6613,-590093.4733,-496829.2012,-596195.0413,-658353.9639,-526683.1711,-580463.7312,-696556.4776,-557245.182,-527772.973,-633327.5674,-585272.2191,-506503.6801,-607804.4156,-663578.5525,-530862.8421,-578308.7583
GERMANY,-2134461.095,-1992736.279,-1997389.864,-2067754.075,-2124853.25,-2131803.896,-1808148.039,-1663713.953,-1783470.316,-1399796.735,-1214295.94,-1279892.259,-1280539.241,-1303453.275,-1407092.634,-1671190.026,-1336952.021,-1204817.256,-1445780.707,-1487749.093,-1190199.275,-1428239.13,-1664023.663,-1331218.93,-1212796.143,-1455355.372,-1474995.887,-1179996.71,-1415996.052,-1682676.946
ITALY,-653546.5566,-595879.3443,-582598.3905,-618909.1575,-735893.5836,-735256.4758,-733914.7017,-761171.991,-711186.5658,-724497.9851,-730875.6062,-870145.1697,-861840.2994,-734850.8839,-865941.682,-996788.7435,-797430.995,-811290.0872,-973548.1044,-778838.4838,-783929.594,-940715.5129,-793235.995,-778120.917,-933745.1002,-825119.0837,-753679.2638,-904415.1167,-910074.6756,-728059.7404
NETHERLANDS,-223596.8041,-208475.0264,-198883.2167,-191604.7555,-191547.0963,-204976.1465,-191243.3804,-9740.263379,-56473.89086,-52916.48452,-44995.98544,-32659.16942,-38135.91162,-8512.412698,-60272.33361,-72326.80032,-57861.44023,-50382.55046,-60459.06055,-64237.27611,-51389.82086,-61667.78505,-65583.58813,-52466.8705,-62960.24461,-75552.29353,-60441.83484,-60024.74417,-65180.9772,-60776.06631
PORTUGAL,-116240.1979,-106389.3404,-100676.4615,-98334.51074,-94618.78115,-89375.33449,-98678.4118,-147646.944,-169239.9482,-146339.7311,-153394.1266,-179611.6158,-185927.1385,-182934.1363,-163035.4872,-132796.5995,-159355.9194,-191227.1033,-152981.6827,-138487.0816,-166184.4979,-173233.8035,-138587.0428,-166304.4513,-196927.8143,-157542.2514,-131642.3714,-157970.8457,-189565.0148,-151652.0118
SPAIN,-1404292.05,-1190354.405,-1224276.064,-1206707.489,-1308109.155,-1404468.076,-1385682.022,-1380102.323,-1400132.604,-1183266.96,-1078331.315,-1329089.687,-1468379.212,-1366651.857,-1195590.961,-1027807.788,-1233369.346,-1329062.741,-1063250.193,-1222022.423,-1434335.895,-1147468.717,-1041498.387,-1249798.064,-1275178.558,-1020142.846,-1224171.415,-1414008.659,-1131206.928,-1053292.305
