Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,48823.43192,46323.87372,46100.84414,46306.63578,48261.50358,48257.9097,47291.8346,46313.35874,46933.0544,39950.03132,38316.29486,40337.55914,42944.57274,41502.29358,38856.87452,37272.674,42156.78892,37037.36312,36006.53722,43207.84466,35644.6499,35131.7431,42158.09172,36543.6061,38856.87452,37272.674,42156.78892,37037.36312,36006.53722,43207.84466
AUSTRIA,893.3785904,804.315131,833.2658612,838.3013488,800.3138352,640.6048146,641.3500664,765.1913188,804.0963884,781.5282484,793.36178,801.0226416,795.480375,797.1343272,821.371718,858.518205,751.3831016,858.556304,898.3088214,718.6470572,862.3764686,952.0398556,761.6318844,785.793887,821.371718,858.518205,751.3831016,858.556304,898.3088214,718.6470572
BELGIUM,1875.843416,1806.409526,1744.403124,1871.297291,1736.336797,1601.567288,1569.356252,1632.653593,1592.646162,1745.828887,1726.090622,1708.292035,1764.816824,1625.505691,1690.280742,1794.988161,1487.187369,1784.624842,1908.148881,1526.519104,1730.153521,2042.59951,1634.079608,1433.296547,1690.280742,1794.988161,1487.187369,1784.624842,1908.148881,1526.519104
FINLAND,6.57988772,4.20628992,5.39308882,60.6063634,99.4602386,86.3451162,149.0628181,166.8710983,170.9860952,134.8123325,127.3589023,111.3664916,55.29370516,35.07981612,163.0546738,195.6656085,156.5324868,128.9368047,154.7241657,185.6689988,148.535199,149.2191182,179.0629419,145.041714,163.0546738,195.6656085,156.5324868,128.9368047,154.7241657,185.6689988
FRANCE,4234.871744,3809.731252,3458.248724,3630.033138,4127.51889,4402.616774,4645.341496,4839.804154,4733.867748,3268.246574,3273.395188,3116.860126,3625.342568,3349.291448,2744.620806,2310.833494,2773.000192,3062.11146,2449.689168,2699.831308,3239.79757,2591.838056,2454.758014,2945.709616,2744.620806,2310.833494,2773.000192,3062.11146,2449.689168,2699.831308
GERMANY,9927.726022,9268.540832,9290.185416,9617.460814,9883.038372,9915.36696,8409.99088,7738.204434,8295.210774,6510.68249,5647.888094,5952.98725,5955.996468,6062.573374,6544.6169,7772.976866,6218.381494,5603.801192,6724.56143,6919.763224,5535.81058,6642.972696,7739.644942,6191.715954,6544.6169,7772.976866,6218.381494,5603.801192,6724.56143,6919.763224
ITALY,3039.751426,2771.531834,2709.759956,2878.647244,3422.760854,3419.797562,3413.556752,3540.334842,3307.844492,3369.75807,3399.421424,4047.186836,4008.559532,3417.911088,4027.63573,4636.226714,3708.981372,3773.442266,4528.130718,3622.504576,3646.184158,4375.42099,3689.469744,3619.167056,4027.63573,4636.226714,3708.981372,3773.442266,4528.130718,3622.504576
NETHERLANDS,1039.985135,969.6512854,925.0382172,891.1849094,890.9167268,953.3774256,889.504095,45.3035506,262.6692598,246.1231838,209.2836532,151.9031136,177.3763331,39.5926172,280.3364354,336.4037224,269.1229778,234.337444,281.2049328,298.7780284,239.0224226,286.8269072,305.0399448,244.0319558,280.3364354,336.4037224,269.1229778,234.337444,281.2049328,298.7780284
PORTUGAL,540.6520834,494.8341412,468.2626114,457.3698174,440.0873542,415.6992302,458.9693572,686.7299722,787.1625496,680.649912,713.461054,835.402864,864.7773882,850.856448,758.3045914,617.6586024,741.1903228,889.4283874,711.54271,644.1259608,772.951153,805.7386208,644.5908968,773.509076,758.3045914,617.6586024,741.1903228,889.4283874,711.54271,644.1259608
SPAIN,6531.59093,5536.532118,5694.307274,5612.592974,6084.228626,6532.409658,6445.03266,6419.08057,6512.244672,5503.567256,5015.494488,6181.812498,6829.670752,6356.520264,5560.888192,4780.50134,5736.601608,6181.687168,4945.349734,5683.825224,6671.329746,5337.063798,4844.178542,5813.01425,5560.888192,4780.50134,5736.601608,6181.687168,4945.349734,5683.825224
SWEDEN,279.8797182,247.598171,239.0016894,230.0487594,271.3126116,300.1318688,50.69616116,207.3802138,344.35296,376.196352,379.9274596,358.6202808,400.5614838,399.6925788,298.24633,238.597064,286.3164768,343.5797722,274.8638178,255.1692866,306.2031438,303.1276848,253.8287032,304.5944438,298.24633,238.597064,286.3164768,343.5797722,274.8638178,255.1692866
UNITED KINGDOM  ,2946.87636,3074.483752,3056.412344,3054.187476,3234.037474,3286.387318,3174.8664,3067.030886,2717.803488,2176.715714,2025.279702,2037.514182,2257.560502,2245.8461,1925.318671,1706.472131,2047.766556,1957.171365,1565.737092,1878.884511,2254.661412,1803.72913,1664.561197,1997.473436,1925.318671,1706.472131,2047.766556,1957.171365,1565.737092,1878.884511
CZECH REPUBLIC ,1872.079178,1846.001737,1783.467274,1898.801907,1930.644276,2056.222774,1968.982766,2008.77485,2198.0256,1891.946916,1763.468474,1855.156205,2104.113362,2205.13372,1554.959887,1243.96791,1492.761492,1791.31379,1433.051032,1388.598718,1666.318462,1498.72423,1321.563874,1585.876648,1554.959887,1243.96791,1492.761492,1791.31379,1433.051032,1388.598718
HUNGARY,384.4572658,392.3622864,519.8116368,720.4217532,820.2636234,813.2520646,742.2720964,748.25909,834.2616858,733.0657744,723.0638998,648.0674502,735.0773042,664.6258976,517.9547298,414.3637838,497.2365406,596.6838486,477.347079,482.6395188,579.1674224,463.333938,487.5607978,585.0729574,517.9547298,414.3637838,497.2365406,596.6838486,477.347079,482.6395188
POLAND,1626.952335,1398.382636,1269.967968,1286.721119,1385.070211,1432.301402,1599.638515,1663.451809,1673.678633,1275.169426,1232.692439,1440.603165,1868.404502,1910.19772,969.2256148,775.3804918,930.4565902,1116.547908,893.2383266,827.2508786,992.7010544,1024.020253,819.2162028,983.0594432,969.2256148,775.3804918,930.4565902,1116.547908,893.2383266,827.2508786
ROMANIA,461.5099874,529.624894,588.512988,585.7298122,575.6603884,540.826142,537.7920274,678.4004304,723.1613782,661.786405,627.458488,733.7174626,760.0400992,817.9456588,652.5585688,522.046855,626.4562262,751.7474714,601.397977,571.9588694,686.3506434,641.269369,567.4239566,680.908748,652.5585688,522.046855,626.4562262,751.7474714,601.397977,571.9588694
SLOVAKIA,947.5453022,1301.51546,1432.102249,1439.321318,1521.490846,1539.961989,1531.006837,1600.178583,1636.481284,1496.119068,1515.794335,1466.516563,1575.431825,1492.19616,1273.808861,1019.047089,1222.856507,1467.427808,1173.942246,1111.961468,1334.353762,1274.440748,1036.574079,1243.888895,1273.808861,1019.047089,1222.856507,1467.427808,1173.942246,1111.961468
SLOVENIA,250.237223,216.3823724,160.7704097,168.6208109,193.5271041,197.8738505,267.3270038,305.2872892,297.439004,224.05998,153.2183068,107.7360691,91.95951968,90.1972718,148.1341494,177.7609793,142.2087834,125.8660012,151.0392014,166.1176515,132.8941212,147.9961425,177.595371,142.0762968,148.1341494,177.7609793,142.2087834,125.8660012,151.0392014,166.1176515
SERBIA,22.93551606,23.08567458,147.7245194,160.3213932,132.1970484,122.5212416,118.2282904,89.56650464,57.63357734,37.76915456,32.43737882,12.10467215,2.793671384,1.8548864,24.65884672,29.59061606,23.67249284,28.05488124,32.68685196,26.14948158,20.91958526,25.1035023,30.12420278,24.32065364,24.65884672,29.59061606,23.67249284,28.05488124,32.68685196,26.14948158
RUSSIA,6082.422426,6411.09214,6311.047732,5789.411892,5054.23301,4585.09732,4866.28997,4435.626884,4410.19193,4167.446368,4313.637318,3549.10239,3579.96546,3688.628436,3886.515318,4355.844546,3484.675636,3882.795344,4659.354414,3727.48353,3300.500448,3960.600536,4265.111858,3412.089486,3886.515318,4355.844546,3484.675636,3882.795344,4659.354414,3727.48353
AZERBAIJAN,7.0293274,7.0293274,7.0293274,7.0293274,7.0293274,7.6486514,7.6486514,12.850973,15.7637794,10.63674644,10.69574311,3.042154752,5.281066112,8.358026432,0.598828156,0.479062525,0.57487503,0.689850036,0.685506397,0.548405117,0.470220247,0.564264297,0.535893306,0.428714645,0.598828156,0.479062525,0.57487503,0.689850036,0.685506397,0.548405117
BELARUS,713.6423066,905.9400944,901.4925988,599.6640246,590.4509168,403.2970842,401.3537558,213.4879254,225.463474,237.562138,228.2871242,276.8773722,269.4988386,338.1818702,342.0190498,410.4228598,328.3382878,262.6706302,315.2047564,378.2457076,302.596566,319.0410014,382.8492018,306.2793614,342.0190498,410.4228598,328.3382878,262.6706302,315.2047564,378.2457076
KAZAKHSTAN,59.78896592,59.78896592,59.78896592,133.0436401,101.4479248,98.3215993,111.9392513,97.74439816,129.0914141,176.2679503,190.4134339,218.3592458,287.3637352,278.6082968,115.690244,92.55219516,111.0626342,133.275161,106.6201288,99.49489484,119.3938738,119.2018309,95.36146474,114.4337577,115.690244,92.55219516,111.0626342,133.275161,106.6201288,99.49489484
UKRAINE,242.7140674,205.0796214,150.2140917,100.6423893,69.34879828,55.05814164,67.17853712,65.13340584,66.15078988,32.2181778,36.5948281,3.651375616,2.828022252,14.35807532,39.60642006,47.52770408,38.02216326,30.41773062,36.50127674,43.80153208,35.04122566,28.69072604,34.42887126,41.3146455,39.60642006,47.52770408,38.02216326,30.41773062,36.50127674,43.80153208
UZBEKISTAN ,363.2932544,299.6875776,340.2022108,364.086236,289.4687756,154.5663437,194.8586022,306.9757296,411.944844,422.1748248,376.1860372,492.4772232,616.7131768,640.7984888,325.5481566,260.4385252,312.5262304,375.0314764,300.0251812,299.996114,359.9953368,287.9962694,301.2660612,361.5192734,325.5481566,260.4385252,312.5262304,375.0314764,300.0251812,299.996114
TURKEY,4471.689446,3940.066596,4004.433852,3911.090012,4600.659548,4696.657074,5029.591356,4979.036238,4724.882418,3789.69937,3801.384696,4227.179476,4309.666222,4171.205312,4190.921058,4247.484024,4016.13692,4347.745922,4244.749946,3736.444364,4483.733236,4436.506548,3549.205238,4259.046286,4190.921058,4247.484024,4016.13692,4347.745922,4244.749946,3736.444364
NORTH AMERICA,53321.29392,60025.02012,63033.49146,66505.63224,68876.8615,73251.10016,73265.73192,75833.1856,75025.56926,61166.12106,63064.65486,69469.03234,74347.47152,77920.35738,60806.12186,48644.89748,58373.87698,70048.65238,56038.9219,53625.62118,64350.7454,61060.67684,49382.88486,59259.46182,60806.12186,48644.89748,58373.87698,70048.65238,56038.9219,53625.62118
CANADA  ,6774.98129,8048.342092,7928.28464,8145.46721,7712.8754,8428.626724,7765.698928,7362.582528,7486.338044,5461.935278,4410.664904,5112.106656,6218.666186,5871.10787,4144.604576,3315.68366,3978.820392,4774.58447,3819.667576,3606.074428,4327.289314,4299.408374,3439.5267,4127.43204,4144.604576,3315.68366,3978.820392,4774.58447,3819.667576,3606.074428
MEXICO,10624.76618,11610.54666,11984.81368,12888.55381,13615.36262,14735.05254,17108.47431,18199.12439,18356.64544,15064.92222,15736.58915,17781.8399,19099.04147,20869.64602,14888.50296,11910.80237,14292.96284,17151.55541,13721.24433,13452.55431,16143.06517,14185.86199,12693.56206,15232.27447,14888.50296,11910.80237,14292.96284,17151.55541,13721.24433,13452.55431
