Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,804.7660756,745.1407369,693.4315438,758.9639885,832.3592785,815.2961385,743.9018863,791.0810774,808.3731549,671.3233417,627.1411088,658.2138673,696.2906892,695.2688582,636.982771,593.1920844,711.8305012,603.3017427,557.6682514,669.2019021,654.4575395,523.5660315,628.2792377,753.9350856,603.1480684,543.5993868,652.3192643,670.6375945,536.5100756,643.8120907
AUSTRIA,20.98987775,19.23901527,19.90274584,19.83954016,19.54055392,16.14518453,18.52094396,18.96267765,19.04339855,15.45062018,16.42375006,14.65520421,16.23575489,17.79851088,13.56563305,10.85250644,13.02300773,15.62760927,12.50208742,12.09696219,14.51635463,12.67521167,12.1660498,14.59925976,13.18348313,11.70012243,14.04014691,14.5949513,11.67596104,14.01115325
BELGIUM,33.41486614,24.74277456,24.73768954,31.05436796,33.60692892,34.48973604,34.41336074,35.3421312,33.8529268,37.39849428,37.97500824,37.97671674,32.36694744,18.8302118,45.83027901,54.99633482,43.99706785,37.66445297,45.19734356,51.61822047,41.29457636,43.93910056,52.72692067,42.18153653,40.29953705,48.35944444,45.23127726,38.60739675,46.3288761,51.73304675
FINLAND,4.321880756,4.000611682,3.9,4.661202402,5.361842571,5.190628191,5.630533123,4.643547541,4.698741838,4.666280209,4.040681314,3.633805946,3.117593661,2.627403841,4.410706987,5.292848384,4.234278706,3.690160397,4.428192474,4.85272144,3.882177155,4.427131966,5.312558357,4.250046688,3.709157987,4.450989586,4.908381036,3.926704829,4.404235906,5.285083084
FRANCE,90.92226138,71.50892945,60.15831186,66.90901452,74.31223258,76.07058641,88.2371145,98.9123443,75.95859991,72.46671607,73.92936301,76.33934555,83.90746628,35.96709103,77.2258664,92.6710397,74.13683177,66.00985993,79.2118319,83.55416983,66.84333589,80.21200303,88.93358922,71.14687134,74.87891503,89.85469805,71.88375841,71.64978987,85.97974787,69.23696303
GERMANY,130.2070298,101.7070829,115.3192144,71.6009612,101.9595983,123.399326,82.1698548,78.74619076,120.4117541,96.50753619,85.3325769,92.68751684,93.04968526,73.37071582,101.0693967,121.283276,97.02662086,85.00050737,102.0006088,113.7019453,90.96155627,100.055061,120.0660732,96.05285855,83.86197428,100.6343691,114.0039655,91.20317235,96.72787026,116.0734443
ITALY,68.51064019,52.99741668,48.32237445,53.87825064,62.49896324,66.41028432,70.2450118,70.11627707,84.36747433,69.04280097,71.42199039,82.48049633,102.1912902,76.8052154,61.49361392,49.19489112,59.03386936,70.84064325,56.67251459,53.0692713,63.68312555,64.03389629,51.22711703,61.47254045,72.81082294,58.24865834,52.37826854,62.85392223,67.2984354,53.83874831
NETHERLANDS,37.64874436,28.48500159,26.24991661,24.31514331,25.02107367,36.08756059,34.82414366,19.2785377,22.19723134,20.34628022,20.8651783,19.62022268,19.29270639,9.635760776,24.25742875,29.1089145,23.2871316,20.8996668,25.07960016,26.62896189,21.30316952,25.56380342,29.16597733,23.33278187,21.77265934,26.12719121,22.62682771,20.53688041,24.64425649,25.88051938
PORTUGAL,8.20509349,4.882743945,5.24838273,6.625471642,7.365593113,8.486364398,8.519091393,10.29912657,15.37953473,10.82542305,10.98817516,12.82592429,12.74263529,13.43924567,12.1039591,9.731394897,11.67767388,14.01320865,11.21056692,10.7592864,12.91114367,12.03669593,9.858290915,11.8299491,14.09198345,11.27358676,10.51739756,12.62087707,12.47807805,9.982462436
SPAIN,78.00107802,68.9275974,67.19839318,64.84696572,75.81886734,88.94954477,88.57163219,83.48427393,78.68227051,79.35311396,68.50497713,90.5453927,96.99198907,82.89795543,83.34543055,82.48525932,86.78305944,79.05597197,83.3937306,88.61635135,73.48525633,87.98694671,91.4424397,73.15395177,87.1862766,96.51036096,77.20828877,80.07672694,96.09207235,76.87365785
