Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,14002.92971,12965.44882,12065.70886,13205.9734,14483.05145,14186.15281,12943.89282,13764.81075,14065.69289,11681.02615,10912.25529,11452.92129,12115.45799,12097.67813,11083.50022,10321.54227,12385.85072,10497.45032,9703.427574,11644.1131,11387.56119,9110.048948,10932.05874,13118.47049,10494.77639,9458.62933,11350.3552,11669.09414,9335.275315,11202.33038
AUSTRIA,365.2238728,334.7588657,346.3077776,345.2079988,340.0056382,280.9262108,322.2644249,329.9505911,331.3551348,268.8407911,285.7732511,255.0005533,282.5021351,309.6940893,236.0420151,188.833612,226.6003345,271.9204013,217.5363211,210.4871421,252.5845705,220.5486831,211.6892665,254.0271197,229.3926065,203.5821302,244.2985563,253.9521527,203.1617221,243.7940666
BELGIUM,581.4186709,430.5242773,430.4357981,540.3460025,584.7605632,600.1214071,598.7924769,614.9530828,589.0409263,650.7338005,660.7651434,660.7948713,563.1848855,327.6456853,797.4468548,956.9362259,765.5489806,655.3614816,786.433778,898.1570362,718.5256287,764.5403497,917.4484197,733.9587356,701.2119447,841.4543333,787.0242243,671.7687035,806.1224441,900.1550134
FINLAND,75.20072515,69.61064327,67.79664868,81.10492179,93.29606074,90.31693052,97.97127635,80.79772721,81.75810798,81.19327563,70.30785487,63.22822346,54.2461297,45.71682684,76.74630157,92.09556189,73.67644948,64.2087909,77.05054905,84.43735306,67.54988249,77.03209622,92.43851542,73.95081237,64.53934897,77.4472188,85.40583003,68.32466402,76.63370477,91.96044567
FRANCE,1582.047348,1244.255372,1046.754626,1164.216853,1293.032847,1323.628203,1535.325792,1721.074791,1321.679638,1260.92086,1286.370916,1328.304613,1459.989913,625.8273839,1343.730075,1612.476091,1289.980873,1148.571563,1378.285875,1453.842555,1163.074044,1395.688853,1547.444452,1237.955561,1302.893122,1563.471746,1250.777396,1246.706344,1496.047613,1204.723157
GERMANY,2265.602318,1769.703243,2006.55433,1245.856725,1774.09701,2147.148272,1429.755474,1370.183719,2095.164522,1679.23113,1484.786838,1612.762793,1619.064524,1276.650455,1758.607503,2110.329003,1688.263203,1479.008828,1774.810594,1978.413849,1582.731079,1740.958061,2089.149674,1671.319739,1459.198352,1751.038023,1983.668999,1586.935199,1683.064943,2019.677931
ITALY,1192.085139,922.1550502,840.8093155,937.4815611,1087.48196,1155.538947,1222.263205,1220.023221,1467.994053,1201.344737,1242.742633,1435.160636,1778.12845,1336.410748,1069.988882,855.9911056,1027.189327,1232.627193,986.1017539,923.4053206,1108.086385,1114.189795,891.3518363,1069.622204,1266.908319,1013.526655,911.3818727,1093.658247,1170.992776,936.7942206
NETHERLANDS,655.0881519,495.6390277,456.7485491,423.0834935,435.3666819,627.9235542,605.9400997,335.4465561,386.2318253,354.0252758,363.0541024,341.3918746,335.6930912,167.6622375,422.0792602,506.4951122,405.1960898,363.6542024,436.3850429,463.343937,370.6751496,444.8101795,507.4880056,405.9904045,378.8442726,454.6131271,393.7068022,357.3417191,428.8100628,450.3210372
PORTUGAL,142.7686267,84.95974464,91.3218595,115.2832066,128.1613202,147.6627405,148.2321902,179.2048024,267.6039043,188.3623611,191.1942478,223.1710826,221.721854,233.8428746,210.6088884,169.3262712,203.1915255,243.8298305,195.0638644,187.2115833,224.6538999,209.4385091,171.5342619,205.8411143,245.200512,196.1604096,183.0027175,219.6032611,217.118558,173.6948464
SPAIN,1357.218758,1199.340195,1169.252041,1128.337204,1319.248292,1547.722079,1541.1464,1452.626366,1369.071507,1380.744183,1191.986602,1575.489833,1687.66061,1442.424425,1450.210492,1435.243512,1510.025234,1375.573912,1451.050913,1541.924513,1278.64346,1530.972873,1591.098451,1272.878761,1517.041213,1679.280281,1343.424225,1393.335049,1672.002059,1337.601647
SWEDEN,303.6505618,209.0563517,249.1147414,264.4725908,247.2720543,272.6759734,33.42391111,122.1234551,180.0319368,97.06010936,202.538765,105.8683642,96.66585233,95.11211623,147.1537138,176.5844565,141.2675653,113.0140522,135.6168627,162.7402351,130.1921882,135.7986721,162.9584065,130.3667252,147.4567869,171.5297514,137.2238011,120.5940679,144.7128814,159.3520451
UNITED KINGDOM  ,1116.989974,1584.815115,1269.344932,1668.905103,1847.220313,1746.112039,1213.661773,1645.489379,1827.488302,1190.99121,1007.363447,781.4542702,709.1776182,925.2401433,883.2308965,846.7551049,984.3739848,800.7957779,905.2771017,1036.545236,829.2361891,812.1469931,974.5763919,820.6463184,784.3864833,941.2637798,873.901102,765.5695525,918.6834633,914.1977727
CZECH REPUBLIC ,328.0431704,320.0203819,306.3431213,336.3599079,344.3159032,389.5146886,382.0244088,388.8032199,350.4557093,409.8913788,341.9459355,362.3880607,417.31864,417.0776815,293.7598643,235.0078914,282.0094698,338.4113637,270.729091,255.6734817,306.8081781,299.3101837,239.4481469,287.3377763,344.8053316,275.8442652,257.3873541,308.8648249,292.827373,242.445805
HUNGARY,34.11340064,49.56404996,69.18807591,85.80834928,95.3357465,71.72369169,79.78319569,100.7998115,116.4455471,121.2881996,143.029547,132.4104659,132.1103313,119.4237876,119.5859255,106.7922242,128.1506691,126.4400226,101.152018,121.3824216,145.3148185,116.2518548,100.160345,120.192414,133.3250629,106.6600503,116.1948619,139.4338343,111.5470675,100.3797092
POLAND,250.7675151,174.8332627,177.8442798,202.875271,257.2524936,383.3455954,492.8871815,531.1633366,528.9415937,409.8896301,422.9717806,457.4815715,632.2554703,655.0251285,220.5141936,176.4113549,211.6936259,254.0323511,203.2258809,190.1726954,228.2072345,224.380371,179.5042968,215.4051561,258.4861874,206.7889499,165.4311599,198.5173919,238.2208703,190.5766962
ROMANIA,118.5139895,120.3265836,114.6512142,116.1789179,124.790126,113.9371723,120.4120782,160.8890326,180.197156,153.4314254,146.7787872,122.607727,91.45628979,109.6719509,155.1194778,186.1433734,148.9146987,133.5539318,160.2647182,161.1655009,128.9324007,154.7188808,185.662657,148.5301256,126.5932216,151.911866,178.2632752,142.6106201,140.0469567,168.056348
SLOVAKIA,313.2584769,430.2810111,473.4530034,475.8396279,503.0048738,509.1114334,506.1508602,529.0190397,541.0207126,494.616964,501.1216072,484.8303756,520.8377612,493.3200505,421.1212094,336.8969676,404.2763611,485.1316333,388.1053066,371.9476038,446.3371245,410.0719981,348.9650827,418.7580993,481.4445186,385.1556149,398.5914213,478.3097055,382.6477644,380.1671785
SLOVENIA,22.47189122,31.27526708,22.41498715,16.93693264,25.91676529,31.06495757,42.84047162,48.07600771,43.12885225,22.15253454,36.81831796,12.85420937,50.99451198,47.61585546,10.94138459,47.29928318,40.47073324,37.33867463,33.88648687,29.9929411,25.65498257,20.87256681,15.64569298,9.974360741,3.858569874,15.20123459,13.110485,11.55806864,10.74054377,10.89378037
SERBIA,7.582481609,7.632124016,48.83772611,53.0022526,43.70434421,40.50552247,39.08627281,29.61068643,19.05366067,12.4864825,10.72379744,4.001804613,0.92358776,0.613225444,8.152214726,9.782657669,7.826126133,7.843762671,9.412515205,7.530012163,6.629258702,7.955110444,7.122622828,8.547147396,9.922125663,7.937700532,6.350160425,7.62019251,8.247054391,6.597643514
RUSSIA,2011.306937,2119.507061,2446.41222,2246.002495,1827.01378,1620.578512,1709.438961,1519.103314,1523.346647,1457.122413,1521.061214,1240.634532,1240.145596,1289.113411,1352.230164,1461.237202,1168.989762,1398.800974,1586.214724,1268.971779,1194.679874,1433.615849,1385.158231,1108.126585,1329.751902,1595.702282,1276.561826,1171.495012,1405.794014,1419.129675
AZERBAIJAN,16.86458573,31.5677456,37.7299997,27.24835345,14.37933661,6.108468636,8.347187438,15.99155556,23.05262212,23.3428812,32.55166349,24.99803175,27.54352503,29.17312647,20.55891682,16.44713345,19.73656014,23.68387217,18.94709774,16.64002946,19.96803535,23.94504389,19.15603511,18.94313028,22.73175633,18.18540507,19.16385245,22.99662294,18.39729835,20.56714143
BELARUS,336.0380243,407.1207846,434.4141842,257.8980912,250.7590395,302.8023258,311.588395,112.2443058,119.38566,113.62304,103.757509,120.7910305,124.8752518,143.2921694,146.3600176,175.6320211,140.5056168,117.4064942,140.887793,160.5414204,128.4331364,154.1197636,175.6827269,140.5461816,143.7124285,172.4549142,137.9639313,134.9171908,161.900629,143.1407086
KAZAKHSTAN,65.55967426,133.538794,139.3904424,136.1194063,113.9588509,65.37849733,76.52349311,63.19995312,75.95133976,74.10483402,80.71624582,91.2793772,167.5736594,182.3747788,91.0905488,161.8940774,175.4331128,172.7631347,169.3124392,165.418812,161.0808475,156.2984292,151.0715537,145.4002203,139.2844284,132.7241781,125.7194691,118.2703013,110.3766746,102.038589
UKRAINE,295.3500963,364.8803544,308.8143426,198.7663034,97.28109344,81.74231998,97.54982747,109.7648771,185.2378017,143.5583925,218.838152,141.5068906,119.5620121,53.07862161,200.7243037,240.8691644,192.6953315,160.8904366,193.0685239,226.5802278,181.2641823,172.8889606,207.4667526,196.0264493,173.2799488,207.9359386,222.6894209,178.1515367,213.7818441,232.0139152
UZBEKISTAN ,120.1047499,99.07671315,112.4708509,120.3669096,95.69837721,51.09963322,56.30198111,104.9451772,143.9768849,140.6857747,126.5571493,172.7205781,156.6248826,153.6536145,183.6549098,211.1851501,168.9481201,171.556084,205.8673009,164.6938407,170.4902486,204.5882982,163.6706386,172.5509466,207.0611359,165.6489088,167.6686377,201.2023653,166.2969239,168.5800863
TURKEY,1098.587386,971.0182149,949.9306876,864.3862072,1024.660383,981.8259547,1016.69002,1038.147079,907.2163246,1243.290866,833.4702382,985.0536733,1191.762773,1514.808136,714.3106116,571.4484893,685.7381873,822.8858246,658.3086597,639.0007538,766.8009046,689.6275515,592.1187333,710.5424798,840.5001351,672.4001085,617.8435062,741.4122072,756.0066553,604.8053241
NORTH AMERICA,23391.39251,24653.03949,25890.20546,27087.82102,27105.14525,27747.89121,28010.90546,28134.31949,27812.86017,22535.61648,23389.76361,25951.14862,27661.68691,29164.85054,23352.38601,18681.90881,22418.29058,26901.94869,21521.55895,20496.83219,24596.19863,23010.19522,19384.42077,23261.30493,27049.7126,21639.77008,21213.575,25456.29001,21783.38738,20716.51889
CANADA  ,2372.079424,2781.533795,2713.000492,2776.071899,2609.244127,2797.742376,2579.903222,2538.079786,2534.272997,1831.305087,1556.337239,1752.423074,2076.261381,2078.778251,1473.708025,1178.96642,1414.759704,1697.711645,1358.169316,1262.589463,1515.107356,1530.388831,1224.311065,1469.173278,1763.007934,1410.406347,1232.806841,1479.36821,1583.928129,1267.142504
MEXICO,2081.432656,3225.408104,3387.347939,4120.036131,4058.987922,3924.87527,4961.390387,4788.659373,4833.261688,3803.122794,4432.647046,5237.530171,5570.546715,6123.700393,4282.626283,3426.101027,4111.321232,4933.585478,3946.868382,3794.181506,4553.017807,4184.333573,3644.186311,4373.023573,4711.388204,3769.110564,4522.932676,4915.825354,3932.660283,4139.109739
USA,12901.61896,14675.50001,15713.63435,16773.32453,17744.86745,18822.00125,18256.35053,19153.05022,18767.51982,15691.22504,16143.40504,17248.14892,18268.25671,19039.01949,15283.82567,12227.06053,14672.47264,17606.96717,14085.57374,13263.00374,15915.60448,15166.4571,12704.51363,15245.41635,17801.61609,14241.29287,13901.262,16681.5144,14283.30461,13323.56888
SOUTH AMERICA,5503.856462,4617.667406,4839.29947,4930.270555,4231.077802,3441.080457,3599.643205,2925.509446,2874.056249,2225.307323,2451.24946,2830.495106,2982.730348,3269.591925,3021.99287,3130.247102,2864.810395,3074.39507,3370.984473,2696.787579,3174.931434,3608.039067,2886.431253,2691.153347,3229.384016,3038.176762,2484.291066,2981.149279,3557.149889,2845.719911
ARGENTINA,836.3417345,784.0647725,822.202073,704.0328977,692.1295753,712.7130222,1004.664781,591.2598789,318.9556356,266.4097828,338.0909363,388.6755126,424.4280031,402.1375074,419.7236725,503.6684071,402.9347256,376.368179,451.6418148,408.0332073,339.4939956,407.3927947,465.7415846,372.5932677,401.3686494,481.6423792,385.3139034,395.0181231,474.0217477,379.2173981
BRAZIL,4871.648012,3896.784323,4113.977167,4392.327942,3568.755652,2873.550156,2884.08717,2508.923467,2618.394787,1961.803022,2112.684068,2235.602983,2511.128618,2988.238489,2249.832659,1847.376305,2216.851566,2660.221879,2128.177503,1937.945749,2325.534899,2446.37376,1957.099008,2348.51881,2559.688741,2047.750993,2073.696561,2488.435873,2101.045286,1966.98902
COLOMBIA,142.328655,229.587893,219.4859758,216.8873762,185.9432625,180.1444727,480.410731,93.55123131,129.4265257,74.28004845,112.4196606,166.8910649,115.6890881,122.707634,221.1116604,265.3339924,212.267194,183.9723906,220.7668688,246.3183071,197.0546457,217.0464836,260.4557803,208.3646242,192.6011237,231.1213485,228.6354899,182.9083919,219.4900704,256.4099411
ASIA-OCEANIA,53555.62786,53819.97484,46885.34956,49199.07482,57117.87536,57708.76154,59744.55532,56204.52941,53801.92012,52940.50981,54182.55004,60636.86024,63189.64254,62988.24426,56632.90619,48467.51838,58161.02206,62956.85398,50365.48318,57555.5653,68531.59886,54825.27909,47439.83412,56927.80094,62938.18159,50350.54527,57361.21818,68339.56033,54671.64828,48015.26362
AUSTRALIA,636.7346333,596.3241199,744.9826356,175.4331497,372.1346204,333.5678755,350.7972721,394.3732951,211.6583034,371.0993826,493.0667827,350.8788308,427.3641995,427.5512368,306.575523,245.2604184,294.312502,353.1750025,282.540002,283.0804007,339.6964809,280.0154434,254.1929344,305.0315212,314.0010761,278.5202654,311.0252806,315.8524633,278.786604,334.5439248
CHINA,30949.67326,29069.53664,30250.36974,33148.39375,33574.61491,34609.87322,35068.55004,30650.27027,29384.2014,31740.3209,31870.02756,37303.39623,38417.7306,36940.48013,35267.39926,33059.17737,39298.93999,33510.41183,31196.01409,37435.21691,35031.85304,29080.79643,34896.95571,41707.87503,33366.30002,30550.70375,36660.84451,37278.96162,29823.1693,35787.80315
INDIA,6010.119052,5133.927337,5340.877149,4471.966323,4622.583728,5090.028775,5422.448498,6361.777695,5981.333382,5453.78303,5548.59063,6277.95059,6805.145638,8242.444246,5407.320896,4325.856717,5191.02806,6229.233673,4983.386938,4773.46499,5728.157989,5444.282333,4515.942664,5419.131197,6169.072775,4935.25822,5111.991291,6134.38955,4907.51164,4860.709912
INDONESIA,2290.74141,2530.870134,2638.389049,2577.531386,2478.710497,2258.750432,2291.628425,1795.866372,1371.737499,1025.899041,1240.402088,1553.285586,1972.702371,2170.283431,1152.400797,921.9206376,1106.304765,1327.565718,1062.052574,973.9382268,1168.725872,1235.710954,988.5687632,1186.282516,1364.298992,1091.439193,997.5531124,1197.063735,1239.225018,991.3800144
IRAN,1342.496215,421.4851024,721.2133545,507.794001,406.8281876,605.0616169,1798.085263,1145.875668,342.7998178,378.6110271,390.2744138,517.3410884,568.7584583,511.7093682,593.7370795,712.4844956,569.9875963,494.3116003,593.1739204,711.8087042,569.4469636,455.5575708,546.669085,656.002902,524.8023216,582.1183809,698.5420568,558.8336457,451.0430626,541.2516751
JAPAN,7382.106715,9077.516625,8626.672558,9018.803394,8761.597791,8857.660623,9185.300206,9028.981186,8982.39269,7932.133188,7742.066091,7833.493389,8101.883494,7901.164656,7485.248215,6957.121539,8348.545853,7105.050598,6472.82181,7767.38617,7859.300739,6287.440591,7544.928709,8976.863934,7181.49115,6403.391982,7684.070381,7989.949792,6391.959835,7670.351803
MALAYSIA,13.12745319,48.81731246,21.14772792,21.41240283,20.41068917,21.37579763,90.21818995,60.16861819,63.4662066,34.85587617,59.17162524,12.03084904,1.900906601,87.77682287,10.67627307,8.541018456,10.24922215,12.29906657,9.839253262,7.87140261,9.445683133,11.33481976,13.60178371,10.88142697,8.705141573,10.44616989,12.53540387,10.02832309,8.022658477,9.62719017
PAKISTAN ,731.5455606,1576.672974,736.4080062,896.5762115,1318.075874,1288.227582,1668.97196,1616.886598,1060.535393,2402.697544,3911.938089,2360.267345,1147.167013,1802.208493,3408.650304,4090.380365,3272.304291,2984.610451,3581.532541,3626.896472,2901.517178,3481.820614,3979.026082,3183.220865,3109.674116,3731.608939,3183.490144,3105.473932,3726.568718,3110.844386
PHILIPPINES,232.1777082,222.9466396,336.8282966,498.6776182,604.7116043,5046.284784,3811.532996,2564.759494,523.4411932,315.8618198,556.6539909,548.1044566,320.3247694,724.1596438,700.1946151,560.1556922,672.1868305,794.3918119,635.5134495,762.6161394,610.0929115,488.0743292,585.6891951,702.8270342,562.2616272,674.7139527,809.6567433,647.7253946,538.3677451,646.0412942
SOUTH KOREA,1786.588775,2715.588184,1711.028141,3230.038183,2566.562149,2260.744531,2511.176155,2530.467697,2484.974772,2247.837964,2150.687404,1414.063615,1555.096,1550.880402,1309.294056,1072.73618,1287.283416,1544.740099,1235.792079,1118.151732,1341.782078,1433.529526,1146.823621,1277.690103,1533.228123,1226.582499,1045.624366,1254.74924,1503.827258,1203.061806
TAIWAN ,270.2369303,287.8030049,278.8850631,252.238682,249.4961769,245.09135,236.7174534,214.9988849,209.426426,205.0086311,212.830415,217.1464883,224.6523212,240.4213539,214.2276673,191.6469817,229.976378,220.8705555,176.6964444,212.0357332,254.4428799,203.554304,177.4763192,212.9715831,241.5106861,193.2085489,202.3808621,242.8570345,194.2856275,190.0523245
