Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,7001.464857,6482.724411,6032.854431,6602.9867,7241.525723,7093.076405,6471.946411,6882.405374,7032.846447,5840.513073,5456.127647,5726.460645,6057.728996,6048.839066,5541.750108,5160.771134,6192.92536,5248.725161,4851.713787,5822.056548,5693.780594,4555.024474,5466.029368,6559.235245,5247.388195,4729.314665,5675.1776,5834.547072,4667.637658,5601.165189
AUSTRIA,182.6119364,167.3794329,173.1538888,172.6039994,170.0028191,140.4631054,161.1322125,164.9752956,165.6775674,134.4203956,142.8866255,127.5002766,141.2510675,154.8470447,118.0210075,94.41680602,113.3001672,135.9602007,108.7681605,105.2435711,126.2922853,110.2743415,105.8446332,127.0135599,114.6963032,101.7910651,122.1492781,126.9760763,101.5808611,121.8970333
BELGIUM,290.7093354,215.2621386,215.217899,270.1730012,292.3802816,300.0607035,299.3962384,307.4765414,294.5204631,325.3669003,330.3825717,330.3974356,281.5924427,163.8228426,398.7234274,478.468113,382.7744903,327.6807408,393.216889,449.0785181,359.2628144,382.2701749,458.7242098,366.9793678,350.6059724,420.7271666,393.5121122,335.8843517,403.0612221,450.0775067
FINLAND,37.60036258,34.80532164,33.89832434,40.5524609,46.64803037,45.15846526,48.98563817,40.39886361,40.87905399,40.59663782,35.15392744,31.61411173,27.12306485,22.85841342,38.37315079,46.04778094,36.83822474,32.10439545,38.52527453,42.21867653,33.77494125,38.51604811,46.21925771,36.97540619,32.26967449,38.7236094,42.70291501,34.16233201,38.31685238,45.98022283
FRANCE,791.023674,622.1276862,523.3773132,582.1084263,646.5164235,661.8141017,767.6628962,860.5373954,660.8398192,630.4604298,643.1854582,664.1523063,729.9949567,312.913692,671.8650376,806.2380454,644.9904364,574.2857814,689.1429375,726.9212776,581.5370222,697.8444264,773.7222262,618.9777807,651.4465608,781.735873,625.3886982,623.3531719,748.0238065,602.3615784
GERMANY,1132.801159,884.8516214,1003.277165,622.9283624,887.048505,1073.574136,714.8777368,685.0918596,1047.582261,839.6155649,742.393419,806.3813965,809.5322618,638.3252276,879.3037514,1055.164502,844.1316015,739.5044141,887.4052968,989.2069244,791.3655395,870.4790307,1044.574837,835.6598694,729.5991762,875.5190115,991.8344994,793.4675995,841.5324713,1009.838966
ITALY,596.0425697,461.0775251,420.4046577,468.7407806,543.7409802,577.7694736,611.1316026,610.0116105,733.9970267,600.6723684,621.3713164,717.580318,889.0642251,668.205374,534.9944411,427.9955528,513.5946635,616.3135963,493.050877,461.7026603,554.0431923,557.0948977,445.6759181,534.8111019,633.4541596,506.7633276,455.6909363,546.8291234,585.496388,468.3971103
NETHERLANDS,327.544076,247.8195138,228.3742745,211.5417468,217.683341,313.9617771,302.9700499,167.723278,193.1159126,177.0126379,181.5270512,170.6959373,167.8465456,83.83111875,211.0396301,253.2475561,202.5980449,181.8271012,218.1925214,231.6719685,185.3375748,222.4050897,253.7440028,202.9952022,189.4221363,227.3065636,196.8534011,178.6708595,214.4050314,225.1605186
PORTUGAL,71.38431336,42.47987232,45.66092975,57.64160329,64.08066008,73.83137026,74.11609512,89.6024012,133.8019521,94.18118055,95.59712392,111.5855413,110.860927,116.9214373,105.3044442,84.66313561,101.5957627,121.9149153,97.53193222,93.60579165,112.32695,104.7192546,85.76713096,102.9205571,122.600256,98.08020482,91.50135877,109.8016305,108.559279,86.84742319
SPAIN,678.6093788,599.6700973,584.6260207,564.1686018,659.6241458,773.8610395,770.5732,726.3131832,684.5357534,690.3720914,595.993301,787.7449165,843.8303049,721.2122123,725.1052458,717.6217561,755.0126171,687.7869561,725.5254563,770.9622567,639.3217301,765.4864364,795.5492254,636.4393804,758.5206064,839.6401403,671.7121123,696.6675244,836.0010294,668.8008233
SWEDEN,151.8252809,104.5281759,124.5573707,132.2362954,123.6360271,136.3379867,16.71195556,61.06172756,90.01596841,48.53005468,101.2693825,52.93418208,48.33292616,47.55605812,73.5768569,88.29222827,70.63378263,56.50702611,67.80843133,81.37011757,65.09609408,67.89933605,81.47920324,65.18336259,73.72839346,85.76487571,68.61190057,60.29703393,72.35644068,79.67602254
UNITED KINGDOM  ,558.4949871,792.4075577,634.6724659,834.4525516,923.6101567,873.0560193,606.8308867,822.7446895,913.7441512,595.4956049,503.6817233,390.7271351,354.5888091,462.6200717,441.6154483,423.3775525,492.1869924,400.397889,452.6385508,518.2726181,414.6180945,406.0734965,487.288196,410.3231592,392.1932416,470.6318899,436.950551,382.7847763,459.3417316,457.0988864
CZECH REPUBLIC ,164.0215852,160.0101909,153.1715607,168.1799539,172.1579516,194.7573443,191.0122044,194.40161,175.2278547,204.9456894,170.9729678,181.1940304,208.65932,208.5388408,146.8799322,117.5039457,141.0047349,169.2056819,135.3645455,127.8367408,153.404089,149.6550918,119.7240735,143.6688882,172.4026658,137.9221326,128.6936771,154.4324125,146.4136865,121.2229025
HUNGARY,17.05670032,24.78202498,34.59403795,42.90417464,47.66787325,35.86184584,39.89159784,50.39990573,58.22277356,60.64409979,71.51477348,66.20523294,66.05516567,59.71189378,59.79296275,53.39611211,64.07533454,63.22001128,50.57600901,60.69121082,72.65740923,58.12592739,50.08017252,60.09620702,66.66253143,53.33002514,58.09743096,69.71691716,55.77353374,50.18985459
POLAND,125.3837575,87.41663136,88.92213989,101.4376355,128.6262468,191.6727977,246.4435908,265.5816683,264.4707969,204.944815,211.4858903,228.7407857,316.1277351,327.5125643,110.2570968,88.20567746,105.846813,127.0161755,101.6129404,95.08634772,114.1036172,112.1901855,89.75214839,107.7025781,129.2430937,103.3944749,82.71557996,99.25869596,119.1104351,95.28834812
