Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,84712.21848,78435.86704,72992.79408,79890.94616,87616.76616,85820.64616,78305.46172,83271.69236,85091.91104,70665.61492,66014.85356,69285.67024,73293.75676,73186.1956,67050.818,62441.27204,74929.52644,63505.4466,58701.9212,70442.30548,68890.26732,55112.21384,66134.6566,79361.58796,63489.27036,57220.98808,68665.18572,70593.431,56474.7448,67769.69376
AUSTRIA,2209.460816,2025.159502,2095.025878,2088.372648,2056.900413,1699.493108,1949.573048,1996.071332,2004.568268,1626.381072,1728.815796,1542.653075,1709.02683,1873.527461,1427.961374,1142.369099,1370.842919,1645.011502,1316.009202,1273.364441,1528.037329,1334.232808,1280.636821,1536.764185,1387.735066,1231.591834,1477.910201,1536.310664,1229.048531,1474.858237
BELGIUM,3517.354331,2604.502585,2603.96732,3268.880838,3537.571465,3630.49853,3622.459025,3720.224336,3563.465979,3936.683609,3997.369289,3997.54913,3407.047099,1982.127558,4824.239896,5789.087876,4631.2703,3964.67926,4757.615112,5433.496892,4346.797512,4625.16848,5550.202176,4440.16174,4242.056532,5090.467836,4761.18708,4063.9365,4876.7238,5445.583868
FINLAND,454.9348164,421.1170192,410.1430652,490.6528844,564.4044812,546.3819148,592.6876972,488.794478,494.604404,491.1873904,425.3348752,382.505889,328.1677538,276.5688254,464.284946,557.1419352,445.713548,388.4379365,466.1255236,510.8127832,408.6502268,466.0138912,559.2166692,447.3733356,390.4376828,468.5252196,516.671688,413.3373504,463.6037796,556.3245352
FRANCE,9570.764356,7527.255732,6332.45388,7043.05416,7822.340272,8007.430148,9288.117316,10411.82572,7995.642096,7628.075376,7782.038212,8035.720584,8832.364872,3786.009582,8129.038568,9754.846284,7803.877028,6948.406308,8338.087568,8795.175772,7036.14062,8443.36874,9361.430444,7489.144352,7881.991056,9458.389268,7566.711412,7542.083144,9050.499776,7288.101372
GERMANY,13706.00313,10706.00873,12138.86467,7536.943284,10732.58929,12989.40273,8649.4584,8289.072712,12674.92149,10158.68802,8982.376516,9756.58072,9794.703712,7723.233244,10638.88386,12766.66064,10213.32851,8947.421828,10736.90619,11968.62582,9574.90066,10532.11168,12638.53402,10110.82722,8827.57624,10593.09149,12000.41742,9600.333932,10181.88108,12218.2573
ITALY,7211.646336,5578.67544,5086.565732,5671.394804,6578.838236,6990.556244,7394.211768,7380.660744,8880.786772,7267.66326,7518.104252,8682.157508,10756.97792,8084.759516,6473.011992,5178.409592,6214.091512,7456.909816,5965.527852,5586.239084,6703.4869,6740.410136,5392.328108,6470.793732,7664.297152,6131.43772,5513.501952,6616.20234,7084.045832,5667.236664
NETHERLANDS,3963.025722,2998.42122,2763.149117,2559.488769,2633.797229,3798.690588,3665.699333,2029.319758,2336.550667,2141.713707,2196.334558,2065.286598,2030.811199,1014.290608,2553.413552,3064.096263,2451.27701,2199.964927,2639.957912,2803.04862,2242.438896,2690.926676,3070.102877,2456.082302,2291.858878,2750.230654,2381.771338,2161.776885,2594.132262,2724.265198
PORTUGAL,863.6940516,513.9730468,552.46134,697.4180676,775.3255908,893.3015156,896.7464624,1084.118587,1618.898392,1139.518216,1156.650017,1350.097293,1341.33003,1414.657439,1274.100958,1024.357358,1229.228829,1475.074595,1180.059676,1132.556463,1359.067755,1267.020624,1037.714833,1245.2578,1483.366679,1186.693343,1107.09448,1328.513376,1313.4819,1050.78552
SPAIN,8210.639792,7255.536568,7073.515072,6825.996392,7980.933404,9363.109976,9323.329704,8787.818308,8282.344264,8352.959364,7211.050224,9531.093968,10209.68306,8726.100572,8773.203216,8682.658876,9135.058888,8321.68126,8778.287432,9328.036984,7735.29014,9261.783864,9625.519968,7700.415976,9177.5028,10158.98536,8127.188292,8429.129152,10114.95498,8091.963984
SWEDEN,1836.966496,1264.708722,1507.046227,1599.955177,1495.898695,1649.582416,202.2015191,738.7988816,1089.122425,587.1754952,1225.279885,640.4619732,584.7903952,575.3909028,890.222104,1068.266525,854.61322,683.690576,820.4286912,984.5144292,787.6115436,821.5285668,985.83428,788.667424,892.0555772,1037.687546,830.1500372,729.54669,875.4560276,964.0172116
UNITED KINGDOM  ,6757.350116,9587.50826,7679.0377,10096.21962,11174.95652,10563.29122,7342.176488,9954.563696,11055.58562,7205.028492,6094.152732,4727.491048,4290.245724,5597.33904,5343.199616,5122.53542,5955.075528,4844.499564,5476.570488,6270.691084,5016.552868,4913.169952,5895.803944,4964.587528,4745.229784,5694.27574,5286.758028,4631.394752,5557.673704,5530.53704
CZECH REPUBLIC ,1984.532186,1935.99747,1853.255422,2034.845178,2082.975821,2356.4107,2311.097452,2352.106594,2120.119234,2479.681662,2068.638448,2192.305268,2524.613672,2523.155968,1777.131666,1421.705332,1706.046399,2047.255679,1637.804543,1546.724027,1856.068833,1810.708915,1448.567132,1738.280558,2085.93667,1668.749336,1557.092282,1868.510738,1771.49046,1466.701785
HUNGARY,206.3726596,299.8430125,418.5606528,519.1067712,576.743778,433.9001312,482.6569612,609.7992224,704.4497708,733.745914,865.2725164,801.0312516,799.2155556,722.4669544,723.4478252,646.0509632,775.261156,764.9124172,611.9299336,734.3159204,879.0975104,703.2780084,605.930702,727.1168424,806.5642036,645.2513628,702.933224,843.5198688,674.8158952,607.2577688
POLAND,1517.044858,1057.672491,1075.88796,1227.315614,1556.276428,2319.090112,2981.773633,3213.32932,3199.888649,2479.671083,2558.81295,2767.583614,3824.896977,3962.644456,1334.02416,1067.219328,1280.663194,1536.795832,1229.436666,1150.470027,1380.564032,1357.413013,1085.93041,1303.116492,1563.73979,1250.991832,1000.793466,1200.952159,1441.142591,1152.914073
ROMANIA,716.9630336,727.9285156,693.5947624,702.8367692,754.931192,689.2750896,728.445724,973.315382,1090.121936,928.1997904,887.9539456,741.728536,553.2745904,663.4721772,938.411844,1126.094213,900.8753704,807.9487708,969.5385252,974.987906,779.9903248,935.9883896,1123.186068,898.548854,765.8392112,919.0070536,1078.422717,862.7381736,847.229018,1016.674822
SLOVAKIA,1895.090604,2603.03092,2864.204497,2878.642637,3042.981693,3079.923977,3062.013674,3200.357167,3272.962569,2992.238137,3031.58867,2933.033125,3150.863649,2984.39232,2547.617722,2038.094178,2445.713013,2934.855616,2347.884492,2250.136744,2700.164093,2480.774338,2111.101529,2533.321835,2912.550022,2330.040018,2411.321363,2893.585635,2314.868508,2299.861939
SLOVENIA,135.9461054,189.2030676,135.6018582,102.4617824,156.7862389,187.9307778,259.1680074,290.840942,260.9125968,134.014123,222.7363458,77.76291212,308.4967452,288.0572018,66.19107436,286.142064,244.832022,225.884299,204.9999206,181.4454997,155.2025564,126.2708216,94.65029028,60.34096032,23.34283046,91.9614918,79.31327888,69.92177036,64.97606636,65.90308756
SERBIA,45.87103212,46.17134916,295.4490388,320.6427864,264.3940969,245.0424832,236.4565808,179.1330093,115.2671547,75.53830912,64.87475764,24.2093443,5.587342768,3.7097728,49.31769344,59.18123212,47.34498568,47.4516798,56.94201576,45.5536126,40.10440836,48.12529004,43.08906732,51.7068808,60.02495864,48.01996692,38.41597353,46.09916824,49.89143612,39.91314891
RUSSIA,12167.61607,12822.18428,14799.83194,13587.43191,11052.71494,9803.862744,10341.43352,9189.977704,9215.6482,8815.01762,9201.822228,7505.351068,7502.3932,7798.629228,8180.46076,8839.91048,7071.928384,8462.195848,9595.97534,7676.780272,7227.34346,8672.812152,8379.66262,6703.730096,8044.476116,9653.371336,7722.697072,7087.08416,8504.500992,8585.1765
AZERBAIJAN,102.0241121,190.9724477,228.2516618,164.8418237,86.98933216,36.95383325,50.49720168,96.74262284,139.459299,141.2152522,196.924764,151.2282622,166.6274956,176.4859436,124.3733625,99.49868996,119.398428,143.2781136,114.6224908,100.665635,120.798762,144.8580998,115.8864798,114.5984893,137.5181871,110.0145497,115.9337716,139.120526,111.2964208,124.4231182
BELARUS,2032.897908,2462.920657,2628.034992,1560.18204,1516.993584,1831.835002,1884.987266,679.0339128,722.2362976,687.3747128,627.6921296,730.7382364,755.4461696,866.8612788,885.420554,1062.504665,850.0037316,710.2631228,852.3157472,971.2124648,776.969972,932.3639664,1062.811415,850.2491324,869.4036812,1043.284417,834.6275336,816.1959516,979.435142,865.9450008
KAZAKHSTAN,396.6102496,807.8571928,843.2573648,823.4688828,689.4062364,395.5142004,462.9370424,382.3348646,459.4757396,448.305106,488.3015476,552.2043388,1013.754746,1103.295698,551.0620012,979.3955076,1061.301348,1045.14903,1024.27368,1000.718766,974.4757864,945.5440364,913.9234948,879.6141576,842.616022,802.9290872,760.553352,715.488816,667.7354784,617.2933392
UKRAINE,1786.751944,2207.382664,1868.20534,1202.457976,588.512362,494.5088928,590.1380972,664.034344,1120.61586,868.471824,1323.884767,856.0610444,723.3031588,321.1047889,1214.303108,1457.163729,1165.730983,973.3238752,1167.98865,1370.721282,1096.577025,1045.910227,1255.092272,1185.882936,1048.275552,1257.930663,1347.18343,1077.746744,1293.296092,1403.592953
UZBEKISTAN ,726.5865088,599.3751552,680.4044216,728.172472,578.9375512,309.1326874,340.6048464,634.8770548,871.0035384,851.093616,765.620988,1044.89158,947.5189512,929.5439472,1111.039987,1277.587115,1022.069692,1037.846848,1245.416218,996.3329744,1031.398963,1237.678755,990.1430044,1043.865376,1252.638451,1002.110761,1014.329327,1217.195192,1006.030998,1019.843232
