Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,1191053.792,1102808.291,1026278.685,1123266.703,1231891.732,1206638.285,1100974.792,1170799.995,1196392.269,993558.5458,928168.8411,974156.5236,1030510.22,1028997.91,942734.5011,877924.2849,1053509.142,892886.5792,825349.0121,990418.815,968597.1585,774877.7266,929853.2718,1115823.927,892659.1413,804527.0924,965432.5112,992543.6399,794034.9119,952841.8943
AUSTRIA,31065.01907,28473.7426,29456.06384,29362.51944,28920.0198,23894.8731,27410.99706,28064.76292,28184.22985,22866.91787,24307.15009,21689.70223,24028.91724,26341.7961,20077.13691,16061.70953,19274.05144,23128.86172,18503.08938,17903.50404,21484.20485,18759.31327,18005.7537,21606.90444,19511.55503,17316.18119,20779.41743,21600.52793,17280.42234,20736.50682
BELGIUM,49454.00189,36619.30634,36611.78052,45960.46458,49738.2548,51044.80934,50931.77389,52306.35417,50102.33166,55349.77154,56203.0122,56205.54077,47903.08221,27868.71346,67828.81294,81394.57554,65115.66042,55743.39039,66892.06847,76394.9663,61115.97302,65029.86883,78035.84259,62428.67406,59643.31484,71571.97777,66942.29034,57138.94719,68566.73663,76564.90918
FINLAND,6396.383519,5920.90529,5766.611497,6898.579555,7935.527006,7682.129722,8333.189023,6872.450361,6954.13792,6906.094709,5980.208345,5378.0328,4614.038618,3888.557685,6527.846341,7833.415609,6266.732485,5461.437387,6553.724862,7182.027732,5745.622189,6552.15531,7862.586369,6290.069099,5489.553821,6587.464588,7264.403933,5811.523147,6518.269141,7821.922965
FRANCE,134564.9468,105833.2156,89034.30155,99025.34149,109982.1042,112584.4679,130590.9295,146390.2696,112418.7279,107250.7398,109415.4573,112982.2314,124183.0501,53231.29472,114294.2823,137153.1388,109722.511,97694.59269,117233.5112,123660.1714,98928.13712,118713.7645,131621.712,105297.3696,110820.7942,132984.9531,106387.9625,106041.689,127250.0269,102470.7053
GERMANY,192706.404,150526.4827,170672.4373,105969.4226,150900.2054,182631.0024,121611.3851,116544.3623,178209.3961,142831.1536,126292.2138,137177.5249,137713.5342,108588.6594,149582.7071,179499.2485,143599.3989,125800.7509,150960.9011,168278.8791,134623.1033,148081.4903,177697.7883,142158.2307,124115.7219,148938.8663,168725.8689,134980.6951,143157.248,171788.6976
ITALY,101395.7475,78436.17669,71517.11419,79739.81094,92498.4656,98287.22079,103962.6175,103772.0901,124863.862,102183.3454,105704.5458,122071.1346,151243.1096,113671.7188,91010.54861,72808.43886,87370.12666,104844.152,83875.3216,78542.52152,94251.02581,94770.16651,75816.1332,90979.35987,107760.018,86208.01434,77519.83745,93023.8049,99601.6844,79681.3475
NETHERLANDS,55720.14166,42157.80235,38849.87659,35986.41209,37031.18904,53409.58967,51539.73262,28532.2358,32851.90238,30112.49472,30880.46389,29037.92956,28553.20546,14260.92595,35900.99455,43081.19345,34464.95477,30931.50687,37117.80824,39410.8636,31528.69088,37834.42906,43165.64645,34532.51716,32223.53583,38668.243,33487.70501,30394.583,36473.4996,38303.16868
PORTUGAL,12143.53837,7226.461038,7767.60644,9805.69803,10901.07781,12559.81931,12608.25526,15242.70733,22761.7114,16021.62612,16262.49924,18982.36794,18859.10022,19890.08359,17913.85948,14402.46445,17282.95734,20739.5488,16591.63904,15923.74387,19108.49264,17814.30997,14590.27055,17508.32466,20856.1355,16684.90841,15565.74839,18678.89807,18467.55551,14774.04441
SPAIN,115441.5955,102012.8441,99453.62191,95973.50927,112211.9237,131645.3263,131086.0156,123556.7254,116449.7604,117442.6087,101387.3661,134007.1812,143548.1438,122688.974,123351.2372,122078.1838,128438.928,117002.8385,123422.7213,131152.2,108758.1794,130220.6811,135334.8108,108267.8486,129035.6894,142835.3342,114268.2674,118513.5559,142216.2671,113773.0136
SWEDEN,25827.74893,17781.80463,21189.06995,22495.36979,21032.33565,23193.12877,2842.953359,10387.51228,15313.06129,8255.687463,17227.43518,9004.895343,8222.152957,8089.996093,12516.52278,15019.82734,12015.86187,9612.689499,11535.2274,13842.27287,11073.8183,11550.69165,13860.82998,11088.66398,12542.30142,14589.8869,11671.90952,10257.42646,12308.91175,13554.082
UNITED KINGDOM  ,95008.34263,134800.3661,107967.2701,141952.8479,157119.8887,148519.8746,103231.0014,139961.1656,155441.5338,101302.7006,85683.78741,66468.52413,60320.85488,78698.5869,75125.3866,72022.84801,83728.36192,68113.66387,77000.58106,88165.91664,70532.73332,69079.16953,82895.00345,69802.10064,66717.93076,80061.5169,74331.81787,65117.41021,78140.89228,77759.35078
CZECH REPUBLIC ,27902.52254,27220.12443,26056.77124,28609.9232,29286.64004,33131.13444,32494.03018,33070.61871,29808.87642,34864.32417,29085.05658,30823.81206,35496.06823,35475.57291,24986.47122,19989.17697,23987.01237,28784.41484,23027.53188,21746.93982,26096.32779,25458.56735,20366.85388,24440.22465,29328.26959,23462.61566,21892.71748,26271.26097,24907.15586,20621.82709
HUNGARY,2901.599595,4215.792755,5884.962778,7298.641203,8109.017519,6100.635845,6786.156874,8573.777067,9904.563777,10316.46755,12165.73158,11262.4994,11236.97071,10157.88538,10171.67642,9083.476543,10900.17185,10754.66859,8603.734866,10324.48184,12360.111,9888.088798,8519.38567,10223.2628,11340.2927,9072.234161,9883.241129,11859.88936,9487.911487,8538.044229
POLAND,21329.65071,14870.87522,15126.98472,17256.05753,21881.24658,32606.40697,41923.73728,45179.41024,44990.43441,34864.17543,35976.91008,38912.22562,53778.05149,55714.78105,18756.37969,15005.10375,18006.1245,21607.3494,17285.87952,16175.60858,19410.73029,19085.22696,15268.18156,18321.81788,21986.18145,17588.94516,14071.15613,16885.38736,20262.46483,16209.97186
