Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,893290.3439,827106.2179,769709.0136,842450.0273,923918.7992,904978.7138,825731.0938,878099.9959,897294.2019,745168.9093,696126.6308,730617.3927,772882.665,771748.4326,707050.8758,658443.2137,790131.8563,669664.9344,619011.7591,742814.1113,726447.8689,581158.2949,697389.9538,836867.945,669494.3559,603395.3193,724074.3834,744407.7299,595526.1839,714631.4207
AUSTRIA,23298.7643,21355.30695,22092.04788,22021.88958,21690.01485,17921.15483,20558.2478,21048.57219,21138.17239,17150.1884,18230.36257,16267.27667,18021.68793,19756.34708,15057.85268,12046.28215,14455.53858,17346.64629,13877.31704,13427.62803,16113.15364,14069.48496,13504.31528,16205.17833,14633.66628,12987.13589,15584.56307,16200.39595,12960.31676,15552.38011
BELGIUM,37090.50142,27464.47976,27458.83539,34470.34843,37303.6911,38283.607,38198.83042,39229.76563,37576.74875,41512.32865,42152.25915,42154.15558,35927.31166,20901.53509,50871.6097,61045.93165,48836.74531,41807.54279,50169.05136,57296.22473,45836.97976,48772.40162,58526.88195,46821.50555,44732.48613,53678.98333,50206.71776,42854.21039,51425.05247,57423.68189
FINLAND,4797.287639,4440.678967,4324.958623,5173.934666,5951.645254,5761.597292,6249.891767,5154.337771,5215.60344,5179.571032,4485.156259,4033.5246,3460.528963,2916.418264,4895.884756,5875.061707,4700.049364,4096.07804,4915.293646,5386.520799,4309.216642,4914.116483,5896.939777,4717.551824,4117.165366,4940.598441,5448.30295,4358.64236,4888.701856,5866.442224
FRANCE,100923.7101,79374.91169,66775.72616,74269.00612,82486.57817,84438.35091,97943.1971,109792.7022,84314.0459,80438.05484,82061.59295,84736.67356,93137.28758,39923.47104,85720.7117,102864.8541,82291.88326,73270.94452,87925.1334,92745.12852,74196.10284,89035.32336,98716.28403,78973.02719,83115.59569,99738.71483,79790.97184,79531.26675,95437.52014,76853.02897
GERMANY,144529.803,112894.862,128004.328,79477.06693,113175.1541,136973.2518,91208.53883,87408.27175,133657.0471,107123.3652,94719.16036,102883.1437,103285.1506,81441.49456,112187.0303,134624.4364,107699.5492,94350.56318,113220.6758,126209.1593,100967.3275,111061.1177,133273.3412,106618.673,93086.79145,111704.1497,126544.4017,101235.5213,107367.936,128841.5232
ITALY,76046.81061,58827.13251,53637.83564,59804.85821,69373.8492,73715.41559,77971.96309,77829.06755,93647.89651,76637.50908,79278.40934,91553.35092,113432.3322,85253.7891,68257.91146,54606.32915,65527.59499,78633.11401,62906.4912,58906.89114,70688.26936,71077.62488,56862.0999,68234.5199,80820.01347,64656.01076,58139.87808,69767.85368,74701.2633,59761.01062
NETHERLANDS,41790.10624,31618.35176,29137.40744,26989.80907,27773.39178,40057.19225,38654.79946,21399.17685,24638.92679,22584.37104,23160.34791,21778.44717,21414.90409,10695.69446,26925.74591,32310.89509,25848.71607,23198.63015,27838.35618,29558.1477,23646.51816,28375.82179,32374.23484,25899.38787,24167.65187,29001.18225,25115.77876,22795.93725,27355.1247,28727.37651
PORTUGAL,9107.653774,5419.845779,5825.70483,7354.273523,8175.808355,9419.864482,9456.191446,11432.0305,17071.28355,12016.21959,12196.87443,14236.77596,14144.32517,14917.56269,13435.39461,10801.84834,12962.218,15554.6616,12443.72928,11942.8079,14331.36948,13360.73248,10942.70292,13131.2435,15642.10163,12513.6813,11674.31129,14009.17355,13850.66663,11080.5333
SPAIN,86581.19661,76509.63311,74590.21643,71980.13195,84158.94275,98733.9947,98314.51173,92667.54406,87337.32026,88081.95649,76040.52461,100505.3859,107661.1079,92016.73053,92513.42791,91558.63785,96329.19597,87752.12889,92567.04097,98364.15,81568.63453,97665.51085,101501.1081,81200.88647,96776.76703,107126.5007,85701.20054,88885.16691,106662.2003,85329.76021
