Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,-804766.0756,-745140.7369,-693431.5438,-758963.9885,-832359.2785,-815296.1385,-743901.8863,-791081.0774,-808373.1549,-671323.3417,-627141.1088,-658213.8673,-696290.6892,-695268.8582,-636982.771,-593192.0844,-711830.5012,-603301.7427,-557668.2514,-669201.9021,-654457.5395,-523566.0315,-628279.2377,-753935.0856,-603148.0684,-543599.3868,-652319.2643,-670637.5945,-536510.0756,-643812.0907
AUSTRIA,-20989.87775,-19239.01527,-19902.74584,-19839.54016,-19540.55392,-16145.18453,-18520.94396,-18962.67765,-19043.39855,-15450.62018,-16423.75006,-14655.20421,-16235.75489,-17798.51088,-13565.63305,-10852.50644,-13023.00773,-15627.60927,-12502.08742,-12096.96219,-14516.35463,-12675.21167,-12166.0498,-14599.25976,-13183.48313,-11700.12243,-14040.14691,-14594.9513,-11675.96104,-14011.15325
BELGIUM,-33414.86614,-24742.77456,-24737.68954,-31054.36796,-33606.92892,-34489.73604,-34413.36074,-35342.1312,-33852.9268,-37398.49428,-37975.00824,-37976.71674,-32366.94744,-18830.2118,-45830.27901,-54996.33482,-43997.06785,-37664.45297,-45197.34356,-51618.22047,-41294.57636,-43939.10056,-52726.92067,-42181.53653,-40299.53705,-48359.44444,-45231.27726,-38607.39675,-46328.8761,-51733.04675
FINLAND,-4321.880756,-4000.611682,,-4661.202402,-5361.842571,-5190.628191,-5630.533123,-4643.547541,-4698.741838,-4666.280209,-4040.681314,-3633.805946,-3117.593661,-2627.403841,-4410.706987,-5292.848384,-4234.278706,-3690.160397,-4428.192474,-4852.72144,-3882.177155,-4427.131966,-5312.558357,-4250.046688,-3709.157987,-4450.989586,-4908.381036,-3926.704829,-4404.235906,-5285.083084
FRANCE,-90922.26138,-71508.92945,-60158.31186,-66909.01452,-74312.23258,-76070.58641,-88237.1145,-98912.3443,-75958.59991,-72466.71607,-73929.36301,-76339.34555,-83907.46628,-35967.09103,-77225.8664,-92671.0397,-74136.83177,-66009.85993,-79211.8319,-83554.16983,-66843.33589,-80212.00303,-88933.58922,-71146.87134,-74878.91503,-89854.69805,-71883.75841,-71649.78987,-85979.74787,-69236.96303
GERMANY,-130207.0298,-101707.0829,-115319.2144,-71600.9612,-101959.5983,-123399.326,-82169.8548,-78746.19076,-120411.7541,-96507.53619,-85332.5769,-92687.51684,-93049.68526,-73370.71582,-101069.3967,-121283.276,-97026.62086,-85000.50737,-102000.6088,-113701.9453,-90961.55627,-100055.061,-120066.0732,-96052.85855,-83861.97428,-100634.3691,-114003.9655,-91203.17235,-96727.87026,-116073.4443
ITALY,-68510.64019,-52997.41668,-48322.37445,-53878.25064,-62498.96324,-66410.28432,-70245.0118,-70116.27707,-84367.47433,-69042.80097,-71421.99039,-82480.49633,-102191.2902,-76805.2154,-61493.61392,-49194.89112,-59033.86936,-70840.64325,-56672.51459,-53069.2713,-63683.12555,-64033.89629,-51227.11703,-61472.54045,-72810.82294,-58248.65834,-52378.26854,-62853.92223,-67298.4354,-53838.74831
NETHERLANDS,-37648.74436,-28485.00159,-26249.91661,-24315.14331,-25021.07367,-36087.56059,-34824.14366,-19278.5377,-22197.23134,-20346.28022,-20865.1783,-19620.22268,-19292.70639,-9635.760776,-24257.42875,-29108.9145,-23287.1316,-20899.6668,-25079.60016,-26628.96189,-21303.16952,-25563.80342,-29165.97733,-23332.78187,-21772.65934,-26127.19121,-22626.82771,-20536.88041,-24644.25649,-25880.51938
PORTUGAL,-8205.09349,-4882.743945,-5248.38273,-6625.471642,-7365.593113,-8486.364398,-8519.091393,-10299.12657,-15379.53473,-10825.42305,-10988.17516,-12825.92429,-12742.63529,-13439.24567,-12103.9591,-9731.394897,-11677.67388,-14013.20865,-11210.56692,-10759.2864,-12911.14367,-12036.69593,-9858.290915,-11829.9491,-14091.98345,-11273.58676,-10517.39756,-12620.87707,-12478.07805,-9982.462436
SPAIN,-78001.07802,-68927.5974,-67198.39318,-64846.96572,-75818.86734,-88949.54477,-88571.63219,-83484.27393,-78682.27051,-79353.11396,-68504.97713,-90545.3927,-96991.98907,-82897.95543,-83345.43055,-82485.25932,-86783.05944,-79055.97197,-83393.7306,-88616.35135,-73485.25633,-87986.94671,-91442.4397,-73153.95177,-87186.2766,-96510.36096,-77208.28877,-80076.72694,-96092.07235,-76873.65785
