Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,-656519.6932,-607877.9696,-565694.1541,-619154.8327,-679029.9377,-665110.0077,-606867.3283,-645355.6158,-659462.3106,-547658.5156,-511615.1151,-536963.9444,-568026.6149,-567193.0159,-519643.8395,-483919.8583,-580703.8299,-492167.2112,-454939.8893,-545927.8675,-533899.5717,-427119.6573,-512543.5887,-615052.3067,-519643.8395,-483919.8583,-580703.8299,-492167.2112,-454939.8893,-545927.8675
AUSTRIA,-17123.32132,-15694.98614,-16236.45055,-16184.88803,-15940.9782,-13171.07159,-15109.19113,-15469.55282,-15535.40408,-12604.4533,-13398.32242,-11955.56133,-13244.95794,-14519.83782,-11066.70065,-8853.360516,-10624.03262,-12748.83914,-10199.07132,-9868.574419,-11842.2893,-10340.30426,-9924.935361,-11909.92243,-11066.70065,-8853.360516,-10624.03262,-12748.83914,-10199.07132,-9868.574419
BELGIUM,-27259.49606,-20184.89503,-20180.74673,-25333.82649,-27416.17886,-28136.36361,-28074.05745,-28831.73861,-27616.86134,-30509.29797,-30979.61199,-30981.00576,-26404.61502,-15361.48857,-37387.85919,-44865.43104,-35892.34483,-30726.26426,-36871.51712,-42109.60091,-33687.68072,-35845.05572,-43014.06686,-34411.25349,-37387.85919,-44865.43104,-35892.34483,-30726.26426,-36871.51712,-42109.60091
FINLAND,-3525.744827,-3263.656899,-3178.608755,-3802.559854,-4374.134729,-4234.45984,-4593.329653,-3788.157205,-3833.184131,-3806.702276,-3296.345283,-2964.42064,-2543.300092,-2143.408397,-3598.208332,-4317.849998,-3454.279997,-3010.394008,-3612.472808,-3958.79907,-3167.039258,-3611.607657,-4333.929186,-3467.143351,-3598.208332,-4317.849998,-3454.279997,-3010.394008,-3612.472808,-3958.79907
FRANCE,-74173.42376,-58336.23192,-49076.51757,-54583.66974,-60623.13711,-62057.58365,-71982.9092,-80691.6493,-61966.22624,-59117.58416,-60310.79614,-62276.83453,-68450.82776,-29341.57426,-63000.0489,-75600.0587,-60480.04697,-53850.14889,-64620.17865,-68162.61223,-54530.08981,-65436.10774,-72551.08594,-58040.86873,-63000.0489,-75600.0587,-60480.04697,-53850.14889,-64620.17865,-68162.61223
GERMANY,-106221.5243,-82971.56764,-94076.20121,-58411.31045,-83177.56701,-100667.8712,-67033.3026,-64240.31352,-98230.64153,-78729.83216,-69613.418,-75613.50058,-75908.95377,-59855.05764,-82451.34995,-98941.61993,-79153.29597,-69342.51917,-83211.02299,-92756.85014,-74205.48012,-81623.86555,-97948.63866,-78358.91092,-82451.34995,-98941.61993,-79153.29597,-69342.51917,-83211.02299,-92756.85014
ITALY,-55890.2591,-43234.73466,-39420.88442,-43953.30973,-50985.99633,-54176.81089,-57305.1412,-57200.12077,-68826.09748,-56324.39027,-58265.30795,-67286.72069,-83366.57888,-62656.88625,-50165.84294,-40132.67434,-48159.20922,-57791.05107,-46232.84085,-43293.3529,-51952.02348,-52238.17855,-41790.54284,-50148.65142,-50165.84294,-40132.67434,-48159.20922,-57791.05107,-46232.84085,-43293.3529
NETHERLANDS,-30713.44935,-23237.76446,-21414.40566,-19836.03796,-20411.92852,-29439.85206,-28409.16983,-15727.22813,-18108.26767,-16598.28123,-17021.59282,-16005.97113,-15738.78679,-7860.752212,-19788.95503,-23746.74604,-18997.39683,-17049.72818,-20459.67382,-21723.62681,-17378.90145,-20854.68174,-23793.2973,-19034.63784,-19788.95503,-23746.74604,-18997.39683,-17049.72818,-20459.67382,-21723.62681
PORTUGAL,-6693.6289,-3983.291113,-4281.575385,-5404.990024,-6008.773329,-6923.086746,-6949.785084,-8401.919048,-12546.46254,-8831.266174,-8964.037633,-10463.25402,-10395.30773,-10963.59515,-9874.282428,-7938.769521,-9526.523426,-11431.82811,-9145.462489,-8777.312587,-10532.7751,-9819.409836,-8042.289957,-9650.747947,-9874.282428,-7938.769521,-9526.523426,-11431.82811,-9145.462489,-8777.312587
SPAIN,-63632.45839,-56230.4084,-54819.74181,-52901.47204,-61852.23388,-72564.10231,-72255.80521,-68105.59189,-64188.16805,-64735.43507,-55885.63924,-73865.97825,-79125.04372,-67627.27943,-67992.32492,-67290.60629,-70796.70638,-64493.02977,-68031.7276,-72292.28663,-59948.49859,-71778.82495,-74597.77975,-59678.22381,-67992.32492,-67290.60629,-70796.70638,-64493.02977,-68031.7276,-72292.28663
SWEDEN,-14236.49034,-9801.492596,-11679.60826,-12399.65262,-11593.21488,-12784.26372,-1567.061773,-5725.691332,-8440.698792,-4550.610088,-9495.919107,-4963.580292,-4532.125563,-4459.279497,-6899.221306,-8279.065567,-6623.252455,-5298.601964,-6358.322357,-7629.986826,-6103.989463,-6366.846393,-7640.21567,-6112.172536,-6899.221306,-8279.065567,-6623.252455,-5298.601964,-6358.322357,-7629.986826
UNITED KINGDOM  ,-52369.4634,-74303.18902,-59512.54218,-78245.70206,-86605.91306,-81865.50696,-56901.86778,-77147.86864,-85680.78852,-55838.97081,-47229.68367,-36638.05562,-33249.40436,-43379.37756,-41409.79702,-39699.64951,-46151.83534,-37544.87162,-42443.42128,-48597.8559,-38878.28473,-38077.06713,-45692.48057,-38475.55334,-41409.79702,-39699.64951,-46151.83534,-37544.87162,-42443.42128,-48597.8559
CZECH REPUBLIC ,-15380.12444,-15003.9804,-14362.72952,-15770.05013,-16143.06261,-18262.18292,-17911.00525,-18228.8261,-16430.92406,-19217.53288,-16031.94798,-16990.36582,-19565.75596,-19554.45875,-13772.77041,-11018.21633,-13221.85959,-15866.23151,-12692.98521,-11987.11121,-14384.53345,-14032.99409,-11226.39527,-13471.67433,-13772.77041,-11018.21633,-13221.85959,-15866.23151,-12692.98521,-11987.11121
HUNGARY,-1599.388112,-2323.783347,-3243.845059,-4023.077477,-4469.76428,-3362.726017,-3740.591449,-4725.943974,-5459.485724,-5686.530834,-6705.862002,-6207.9922,-6193.920556,-5599.118897,-5606.720645,-5006.894965,-6008.273959,-5928.071233,-4742.456985,-5690.948383,-6813.005706,-5450.404565,-4695.962941,-5635.155529,-5606.720645,-5006.894965,-6008.273959,-5928.071233,-4742.456985,-5690.948383
POLAND,-11757.09765,-8196.961804,-8338.13169,-9511.696009,-12061.14232,-17972.94836,-23108.74565,-24903.30223,-24799.13703,-19217.45089,-19830.80036,-21448.77301,-29642.95157,-30710.49453,-10338.68724,-8270.949792,-9925.13975,-11910.1677,-9528.134162,-8916.142708,-10699.37125,-10519.95085,-8415.960678,-10099.15281,-10338.68724,-8270.949792,-9925.13975,-11910.1677,-9528.134162,-8916.142708
ROMANIA,-5556.46351,-5641.445996,-5375.359409,-5446.984961,-5850.716738,-5341.881944,-5645.454361,-7543.194211,-8448.445004,-7193.548376,-6881.643078,-5748.396154,-4287.878076,-5141.909373,-7272.691791,-8727.230149,-6981.784121,-6261.602974,-7513.92357,-7556.156272,-6044.925017,-7253.910019,-8704.692024,-6963.753619,-7272.691791,-8727.230149,-6981.784121,-6261.602974,-7513.92357,-7556.156272
SLOVAKIA,-14686.95218,-20173.48963,-22197.58485,-22309.48044,-23583.10812,-23869.41082,-23730.60597,-24802.76804,-25365.45991,-23189.84556,-23494.8122,-22731.00672,-24419.19328,-23129.04048,-19744.03735,-15795.22988,-18954.27585,-22745.13102,-18196.10482,-17438.55977,-20926.27172,-19226.00112,-16361.03685,-19633.24422,-19744.03735,-15795.22988,-18954.27585,-22745.13102,-18196.10482,-17438.55977
SLOVENIA,-1053.582317,-1466.323774,-1050.914401,-794.0788139,-1215.093352,-1456.463528,-2008.552057,-2254.017301,-2022.072625,-1038.609454,-1726.20668,-602.6625689,-2390.849775,-2232.443314,-512.9808263,-2217.600996,-1897.448171,-1750.603318,-1588.749384,-1406.202623,-1202.819812,-978.5988674,-733.5397497,-467.6424425,-512.9808263,-2217.600996,-1897.448171,-1750.603318,-1588.749384,-1406.202623
SERBIA,-355.5004989,-357.827956,-2289.73005,-2484.981595,-2049.054251,-1899.079245,-1832.538501,-1388.280822,-893.3204488,-585.4218957,-502.7793717,-187.6224184,-43.30190645,-28.7507392,-382.2121242,-458.6545489,-366.923639,-367.7505185,-441.3006221,-353.0404977,-310.8091648,-372.9709978,-333.9402717,-400.7283262,-382.2121242,-458.6545489,-366.923639,-367.7505185,-441.3006221,-353.0404977
