Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,1058902.731,980448.338,912409.926,998636.827,1095209.577,1072758.077,978818.2715,1040896.155,1063648.888,883320.1865,825185.6695,866070.878,916171.9595,914827.445,838135.225,780515.9005,936619.0805,793818.0825,733774.015,880528.8185,861128.3415,688902.673,826683.2075,992019.8495,793615.8795,715262.351,858314.8215,882417.8875,705934.31,847121.172
AUSTRIA,27618.2602,25314.49378,26187.82348,26104.65811,25711.25516,21243.66386,24369.66311,24950.89165,25057.10336,20329.7634,21610.19745,19283.16344,21362.83538,23419.09327,17849.51717,14279.61374,17135.53649,20562.64378,16450.11503,15917.05552,19100.46662,16677.9101,16007.96026,19209.55231,17346.68833,15394.89793,18473.87752,19203.8833,15363.10664,18435.72797
BELGIUM,43966.92914,32556.28231,32549.59151,40861.01047,44219.64332,45381.23163,45280.73782,46502.80421,44543.32474,49208.54511,49967.11611,49969.36413,42588.08874,24776.59447,60302.9987,72363.59845,57890.87875,49558.49075,59470.1889,67918.71115,54334.9689,57814.606,69377.5272,55502.02175,53025.70665,63630.84795,59514.8385,50799.20625,60959.0475,68069.79835
FINLAND,5686.685205,5263.96274,5126.788315,6133.161055,7055.056015,6829.773935,7408.596215,6109.930975,6182.55505,6139.84238,5316.68594,4781.323613,4102.096922,3457.110318,5803.561825,6964.27419,5571.41935,4855.474206,5826.569045,6385.15979,5108.127835,5825.17364,6990.208365,5592.166695,4880.471036,5856.565245,6458.3961,5166.71688,5795.047245,6954.05669
FRANCE,119634.5545,94090.69665,79155.6735,88038.177,97779.2534,100092.8769,116101.4665,130147.8215,99945.5262,95350.9422,97275.47765,100446.5073,110404.5609,47325.11978,101612.9821,121935.5786,97548.46285,86855.07885,104226.0946,109939.6972,87951.75775,105542.1093,117017.8806,93614.3044,98524.8882,118229.8659,94583.89265,94276.0393,113131.2472,91101.26715
GERMANY,171325.0392,133825.1091,151735.8084,94211.79105,134157.3662,162367.5342,108118.23,103613.4089,158436.5186,126983.6003,112279.7065,121957.259,122433.7964,96540.41555,132986.0483,159583.258,127666.6064,111842.7729,134211.3274,149607.8228,119686.2583,131651.3961,157981.6753,126385.3402,110344.703,132413.6436,150005.2177,120004.1742,127273.5135,152728.2162
ITALY,90145.5792,69733.443,63582.07165,70892.43505,82235.47795,87381.95305,92427.6471,92258.2593,111009.8347,90845.79075,93976.30315,108526.9689,134462.224,101059.494,80912.6499,64730.1199,77676.1439,93211.3727,74569.09815,69827.98855,83793.58625,84255.1267,67404.10135,80884.92165,95803.7144,76642.9715,68918.7744,82702.52925,88550.5729,70840.4583
NETHERLANDS,49537.82153,37480.26525,34539.36397,31993.60962,32922.46536,47483.63235,45821.24166,25366.49698,29206.88334,26771.42134,27454.18198,25816.08247,25385.13999,12678.6326,31917.66941,38301.20329,30640.96263,27499.56159,32999.4739,35038.10776,28030.48621,33636.58345,38376.28597,30701.02877,28648.23598,34377.88318,29772.14173,27022.21106,32426.65327,34053.31498
PORTUGAL,10796.17565,6424.663085,6905.76675,8717.725845,9691.569885,11166.26895,11209.33078,13551.48234,20236.22991,14243.9777,14458.12522,16876.21617,16766.62538,17683.21799,15926.26198,12804.46697,15365.36037,18438.43244,14750.74595,14156.95579,16988.34694,15837.7578,12971.43542,15565.7225,18542.08349,14833.66679,13838.681,16606.4172,16418.52375,13134.819
SPAIN,102632.9974,90694.2071,88418.9384,85324.9549,99761.66755,117038.8747,116541.6213,109847.7289,103529.3033,104411.9921,90138.1278,119138.6746,127621.0383,109076.2572,109665.0402,108533.236,114188.2361,104021.0158,109728.5929,116600.4623,96691.12675,115772.2983,120318.9996,96255.1997,114718.785,126987.3171,101589.8537,105364.1144,126436.9373,101149.5498
