Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,9445412.361,8745599.175,8138696.54,8907840.497,9769269.427,9569002.047,8731058.982,9284793.698,9487748.081,7879216.064,7360656.172,7725352.232,8172253.879,8160260.809,7476166.207,6962201.832,8354642.198,7080857.296,6545264.214,7854317.061,7681264.806,6145011.843,7374014.211,8848817.058,7079053.645,6380140.171,7656168.208,7871167.557,6296934.045,7556320.854
AUSTRIA,246354.8809,225805.2845,233595.3854,232853.5503,229344.396,189493.4816,217377.3949,222561.9535,223509.3619,181341.4895,192762.9613,172005.8178,190556.4916,208898.3119,159217.6932,127374.1545,152848.9854,183418.7825,146735.026,141980.1352,170376.1622,148766.958,142791.0055,171349.2066,154732.4599,137322.4895,164786.9874,171298.639,137038.9112,164446.6934
BELGIUM,392185.0079,290402.0382,290342.3562,364480.2134,394439.2184,404800.5861,403904.1813,414805.0135,397326.4566,438940.2224,445706.6757,445726.728,379885.7516,221007.2227,537902.7484,645483.2982,516386.6385,442061.7374,530474.085,605834.9035,484667.9226,515706.2855,618847.5426,495078.034,472989.3033,567587.1637,530872.3594,453128.9198,543754.7037,607182.6013
FINLAND,50725.23203,46954.54764,45730.95177,54707.79661,62931.09965,60921.5835,66084.67824,54500.5843,55148.39105,54767.39403,47424.83858,42649.40663,36590.70454,30837.42403,51767.77148,62121.32577,49697.0606,43310.82992,51972.99588,56955.62533,45564.50029,51960.54887,62352.65862,49882.12692,43533.80164,52240.56199,57608.89321,46087.11457,51691.82143,62030.18567
FRANCE,1067140.226,839289.0141,706068.6076,785300.5388,872190.9403,892828.4615,1035625.081,1160918.567,891514.0937,850530.4044,867697.2606,895982.8451,984808.6832,422140.0684,906387.8003,1087665.361,870132.2886,774747.3033,929696.7638,980662.0986,784529.6791,941435.6145,1043799.495,835039.5952,878842.0027,1054610.403,843688.3224,840942.2706,1009130.725,812623.303
GERMANY,1528219.349,1193719.973,1353483.411,840369.1762,1196683.706,1448318.405,964414.6116,924231.6074,1413253.746,1132693.714,1001534.982,1087858.75,1092109.464,861140.5067,1186235.551,1423482.661,1138786.129,997637.5338,1197165.04,1334501.779,1067601.424,1174330.453,1409196.543,1127357.235,984274.7508,1181129.701,1338046.542,1070437.233,1135279.74,1362335.689
ITALY,804098.5665,622022.3116,567152.0791,632360.5206,733540.4633,779447.0212,824454.6121,822943.673,990207.7251,810344.4535,838268.6241,968060.5621,1199403.038,901450.686,721740.8371,577392.6695,692871.2036,831445.4445,665156.3555,622865.6579,747438.7894,751555.7302,601244.584,721493.5011,854569.1324,683655.3058,614755.4676,737706.5609,789871.1103,631896.888
NETHERLANDS,441877.368,334323.966,308091.1266,285382.9978,293668.391,423554.0006,408725.4756,226269.1531,260525.3994,238801.0784,244891.3032,230279.4556,226435.4487,113093.4028,284705.6111,341646.7333,273317.3867,245296.0893,294355.3072,312539.9212,250031.9369,300038.3243,342316.4708,273853.1766,255542.2649,306650.7179,265567.5042,241038.1227,289245.7472,303755.5696
PORTUGAL,96301.88675,57307.99472,61599.43941,77762.11454,86448.80337,99603.11899,99987.23056,120879.2224,180507.1708,127056.2811,128966.4769,150535.8482,149558.2983,157734.3044,142062.2569,114215.8454,137059.0145,164470.8173,131576.6539,126280.0456,151536.0547,141272.7996,115705.2039,138846.2447,165395.3847,132316.3078,123441.0345,148129.2414,146453.2318,117162.5854
SPAIN,915486.3368,808992.3273,788696.9305,761098.5977,889874.0745,1043986.762,1039551.262,979841.7413,923481.3854,931354.9691,804032.1,1062716.977,1138379.661,972960.2138,978212.1586,968116.4647,1018559.066,927867.4605,978779.0487,1040076.124,862484.8506,1032688.901,1073245.476,858596.3813,1023291.562,1132726.868,906181.4946,939847.9004,1127817.481,902253.9842
