Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,22656126.95,24861327.53,25027068.88,25534428.39,23553817.29,25126483.47,26899008.01,27831810.21,29755266.16,28336027.29,29499784.29,28781789.09,29986818.11,29823897.72,30020706.01,30042998.73,30141386.66,30199073.75,30271651.65,30335872.53,30406373.96,30479544.14,30558611.7,30641302.8,30725929.8,30809597.26,30890461.65,30967904.47,31043027.83,31118122.25
AUSTRIA,492750.8849,493039.5776,530956.9288,471837.5161,461353.2883,435597.599,487670.9893,504834.2325,500903.7253,435553.1803,413331.0522,421633.9466,417000.2193,333101.2215,365451.987,347312.8183,345258.7918,328983.6537,312300.9266,292062.6462,273360.157,257227.5721,244707.7167,234534.7219,224426.3797,211599.7304,193975.7863,170901.5907,145266.3521,123476.3993
BELGIUM,429623.9904,299844.5787,313009.3553,390695.937,426313.9781,437234.3922,440676.6668,450303.1499,429797.1228,473995.3615,483951.2261,483405.445,416550.5168,246135.6489,312456.4884,279337.8626,283247.5168,263836.3777,247972.5227,226769.6311,207780.3781,191033.2627,178018.94,167290.5555,156642.2958,143250.4363,125036.1183,106280.7006,90338.5955,76787.80618
FINLAND,181058.5522,185476.6324,,204727.6437,208946.4593,231564.8694,266381.9854,258350.2073,220603.2369,236019.1754,284340.6258,309175.6565,300254.2705,274420.7507,287361.5675,281996.9216,278960.1996,267741.8176,253617.1891,237117.8354,221733.9604,209191.7712,200243.2922,193751.6217,187379.3144,178362.562,164608.8113,145467.5141,123647.387,105100.2789
FRANCE,2380921.689,2177156.79,2038780.899,2291846.236,2258030.5,2269883.597,2575258.434,2345022.496,1793411.248,1806219.204,2511561.582,2504148.579,2551278.836,2204233.032,2354809.822,2293426,2320018.91,2300258.978,2295227.036,2280200.05,2269630.205,2260421.822,2255421.27,2252586.569,2250007.621,2244774.454,2234889.875,2219673.339,2200169.654,2178689.903
GERMANY,1805196.067,1744670.758,2023436.099,1806373.647,2532847.082,2690811.801,2319883.571,2709356.435,3227485.983,3299388.958,3234832.138,3224243.253,3338456.61,2914089.086,3112261.655,3045046.1,3090189.365,3078081.819,3086435.329,3082405.573,3084538.135,3087623.4,3095468.894,3105493.008,3116111.433,3124336.336,3128317.436,3127386.454,3122582.899,3116071.848
ITALY,860092.5307,761544.1274,739966.6338,850808.4629,1097684.532,1292884.346,1525173.357,1521382.592,1766315.1,1402910.954,1567650.959,1462141.905,1986402.591,1713946.327,1852955.249,1809143.962,1841059.935,1832147.758,1836026.016,1830959.298,1830344.855,1831440.436,1836903.987,1844672.372,1852915.764,1858758.646,1860294.665,1856878.805,1849452.467,1840301.806
NETHERLANDS,2273365.879,1758585.099,1957597.447,2059382.113,1079490.283,1366619.321,1482721.484,1270315.548,1397958.023,1372843.527,1302146.708,1375097.374,1343610.989,907892.637,1080822.501,996854.2167,1019551.709,987684.7719,973609.8855,947896.0576,927014.9306,907003.2039,891090.3771,877107.1684,863232.9727,846516.6554,824982.1755,797960.2324,766519.0735,732970.6839
PORTUGAL,107243.3762,74382.12436,82211.98006,109771.532,142084.0232,159198.5192,181153.8199,199379.6812,271639.1087,232966.4753,258061.8848,283086.2604,306079.8823,314592.3874,316184.9211,317990.7603,314197.7277,305741.7313,292944.468,278450.9897,264837.8562,254218.0019,247174.6741,242639.7281,238247.3693,231251.8156,219563.0902,202542.0954,181233.7491,157959.6647
SPAIN,990038.2789,976222.6338,813320.2348,1071421.116,1373093.571,1511925.619,1821798.883,1784637.695,1623890.667,1716517.461,1702717.036,1670828.775,1912878.684,1539336.444,1705211.924,1639340.18,1670150.864,1650779.112,1647977.325,1634452.861,1625761.499,1618336.721,1615230.036,1614313.944,1613716.086,1610510.478,1602706.38,1589619.341,1572291.775,1553014.86
