Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,77809.95637,85383.47329,85952.69356,87695.16357,80892.9743,86294.12195,92381.661,95585.26673,102191.163,97316.94442,101313.7388,98847.86387,102986.4025,102426.8705,103102.7867,103179.3486,103517.251,103715.3709,103964.6317,104185.1912,104427.3205,104678.6154,104950.1642,105234.1576,105524.7996,105812.1462,106089.866,106355.8348,106613.8377,106871.7411
AUSTRIA,1692.298288,1693.289771,1823.51271,1620.473641,1584.466723,1496.011664,1674.85195,1733.797206,1720.298315,1495.859112,1419.539677,1448.055047,1432.141025,1143.999218,1255.104336,1192.807372,1185.753045,1129.857888,1072.562911,1003.05678,938.8251547,883.4195803,840.4215246,805.4835019,770.7675212,726.7158162,666.1883339,586.9425673,498.9011822,424.0660049
BELGIUM,1475.495967,1029.782965,1074.99593,1341.801883,1464.128097,1501.633048,1513.455159,1546.516248,1476.090571,1627.884522,1662.076835,1660.202411,1430.596571,845.3255995,1073.097171,959.3549219,972.7821958,906.1167903,851.6341391,778.8151583,713.5986741,656.0825629,611.3863142,574.5408671,537.9705995,491.9777427,429.422687,365.0092839,310.2578913,263.7192076
FINLAND,621.8255253,636.9989321,640.1967904,703.1143961,717.6034507,795.2838727,914.8593977,887.2751463,757.637361,810.5816929,976.5363574,1061.829517,1031.190006,942.4676462,986.9114468,968.4871652,958.05788,919.5295907,871.02012,814.354919,761.5207056,718.4459473,687.7133883,665.4184655,643.5334826,612.5664459,565.3307139,499.5920507,424.6532431,360.9552567
FRANCE,8177.011593,7477.203638,7001.966979,7871.091825,7754.955429,7795.663575,8844.4396,8053.719793,6159.272115,6203.259619,8625.679823,8600.220685,8762.084328,7570.193988,8087.333279,7876.517349,7967.84775,7899.984455,7882.702807,7831.094289,7794.793327,7763.168159,7745.994317,7736.258851,7727.401738,7709.429008,7675.481517,7623.222012,7556.238767,7482.468942
GERMANY,6199.745769,5991.878305,6949.266964,6203.790036,8698.782512,9241.294829,7967.382941,9304.984317,11084.44281,11331.38561,11109.67237,11073.30601,11465.55913,10008.11591,10688.71763,10457.87326,10612.9128,10571.33077,10600.01998,10586.18023,10593.50427,10604.10027,10631.04475,10665.47146,10701.93927,10730.18678,10743.85943,10740.66208,10724.1648,10701.80332
ITALY,2953.892447,2615.438881,2541.333371,2922.007345,3769.875836,4440.267956,5238.038815,5225.019853,6066.213399,4818.142146,5383.923428,5021.564279,6822.079487,5886.358653,6363.769385,6213.304375,6322.916246,6292.308365,6305.62781,6288.22673,6286.116494,6289.879146,6308.643103,6335.32276,6363.633777,6383.70051,6388.975794,6377.244401,6351.739467,6320.312536
NETHERLANDS,7807.623086,6039.665566,6723.151415,7072.719564,3707.389706,4693.502556,5092.242563,4362.757924,4801.131852,4714.878899,4472.078514,4722.619488,4614.482989,3118.056613,3711.965059,3423.585296,3501.537317,3392.093855,3343.755218,3255.443926,3183.73001,3115.001954,3060.351114,3012.327334,2964.677947,2907.267608,2833.309824,2740.505956,2632.524782,2517.306557
PORTUGAL,368.3154866,255.4571601,282.3479315,376.9981573,487.9718262,546.7496654,622.1527116,684.7474121,932.914405,800.0975327,886.2849346,972.2283783,1051.197424,1080.432679,1085.902059,1092.104014,1079.077264,1050.036082,1006.0853,956.3090553,909.5562571,873.0835449,848.8940165,833.3192472,818.234178,794.2087242,754.0650926,695.6083729,622.4272197,542.494957
SPAIN,3400.176714,3352.728412,2793.258182,3679.677046,4715.737649,5192.540926,6256.766301,6129.140318,5577.072472,5895.188927,5847.792898,5738.276198,6569.569779,5286.680366,5856.361313,5630.132112,5735.947991,5669.417854,5659.795427,5613.347157,5583.497637,5557.998058,5547.328495,5544.182278,5542.129,5531.119696,5504.317387,5459.371404,5399.861797,5333.657369
SWEDEN,1194.940911,1022.681768,1157.319987,1280.972767,1275.389999,1626.952532,1155.33774,1335.664702,1633.798979,1034.922912,1333.954112,1456.418031,1649.635168,1332.780625,1473.406993,1413.531312,1421.657914,1375.529116,1330.94719,1273.05419,1221.118052,1177.988385,1147.576246,1125.389367,1103.662611,1072.834191,1025.811322,960.3875553,880.1724707,793.1373673
UNITED KINGDOM  ,5565.103558,8974.720284,6730.093808,10185.5933,11694.22877,12769.20754,11087.99615,10934.62585,13422.59397,11794.51338,9690.283356,8902.921565,7465.312361,8452.996329,7982.482736,8146.839812,8020.150572,8000.306693,7911.625872,7839.924112,7760.618296,7695.413312,7639.936587,7593.234106,7546.006021,7489.39741,7416.071628,7323.982894,7216.701725,7102.213858
CZECH REPUBLIC ,887.2494822,864.5385084,806.4176495,939.8221117,947.4652615,1108.128309,1033.208209,1040.986199,993.5169894,943.2101582,888.1497385,935.5527348,1213.301986,1159.40659,1195.548093,1181.532071,1170.16633,1133.013149,1084.973655,1029.225608,977.1677865,934.9580858,905.0624523,883.6102662,862.5631686,832.4583141,786.1355297,721.3923643,641.8162611,555.3729693
HUNGARY,290.7910893,462.8357863,580.4963316,743.6643821,806.2880224,644.4490866,801.8668399,984.8514233,1143.143978,1039.313921,1180.882527,980.5043568,1076.829414,1251.071202,1190.818399,1220.113878,1192.571371,1165.840149,1116.971754,1065.338857,1015.36532,976.1902667,948.9980506,930.4620097,912.3115712,885.1866009,841.8901116,780.2440482,703.8354562,620.6412147
POLAND,1450.759442,1730.79086,1795.663711,1703.840641,2075.714168,2778.169783,3557.861643,4141.879535,4525.767751,4432.843421,3742.565775,4291.224879,5005.205926,5493.584319,5368.009174,5488.788484,5485.466849,5516.464441,5511.1167,5511.527794,5511.139046,5523.868261,5548.38733,5582.572453,5617.819192,5645.331108,5658.058465,5654.027041,5636.629752,5613.415661
ROMANIA,625.8494339,622.6421049,618.9087478,706.6886457,807.6643057,795.2166533,930.6372455,1113.272113,1289.51913,1398.297272,1312.955912,1269.770039,1204.22132,967.1742218,1071.318766,1027.112321,1027.834965,984.59052,938.115,880.4271866,827.8259516,784.4254678,753.5895945,731.0790612,709.011114,677.8417505,630.4206965,564.514181,483.6947808,411.1405637
