Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,1947.81182,2137.3992,2151.648455,2195.267599,2024.988817,2160.195411,2312.584399,2392.780063,2558.145054,2436.129043,2536.180549,2474.452455,2578.052236,2564.045505,2580.965675,2582.882244,2591.340935,2596.300458,2602.540187,2608.061439,2614.122648,2620.413297,2627.21096,2634.32015,2641.595775,2648.788905,2655.741047,2662.399027,2668.857597,2675.313678
AUSTRIA,42.36319825,42.38801799,45.64788076,40.56521631,39.66385737,37.44956734,41.92646514,43.40203809,43.06412118,37.44574853,35.53524884,36.24907233,35.85069759,28.63766158,31.41894911,29.85947307,29.68288256,28.28366254,26.84940093,25.10945827,23.50155196,22.11458765,21.03821998,20.16361863,19.29457563,18.19183203,16.67665131,14.69289694,12.4889624,10.61561804
BELGIUM,36.93599917,25.77849319,26.91030656,33.58924345,36.65142798,37.59028711,37.88622927,38.71384546,36.95088386,40.75073243,41.6066665,41.55974414,35.81203538,21.16098339,26.86277502,24.01547235,24.35159647,22.6827655,21.31890467,19.49603163,17.86347142,16.42367417,15.30479574,14.38244595,13.4669847,12.31564837,10.74971153,9.137254802,7.766666582,6.601666594
FINLAND,15.56611987,15.94595482,16.02600661,17.60101914,17.96372274,19.90829194,22.90161865,22.21110379,18.96588914,20.29124132,24.44557416,26.58071255,25.81371556,23.59273423,24.70529314,24.24407923,23.98300358,23.0185273,21.80419273,20.38569626,19.06310067,17.98481291,17.21548666,16.65737924,16.10953382,15.33433791,14.15188875,12.50625687,10.63031834,9.035770588
FRANCE,204.6946249,187.1763756,175.2798058,197.0365543,194.129319,195.1483635,221.4023088,201.6082689,154.1846775,155.2858139,215.9261089,215.2887919,219.3407144,189.5041973,202.4497132,197.1723711,199.4586393,197.7598217,197.3272112,196.0352984,195.1265787,194.3349078,193.9049961,193.6612888,193.4395692,192.989659,192.1398535,190.8316446,189.1548571,187.3081817
GERMANY,155.1978519,149.9943186,173.9605696,155.2990918,217.756084,231.3367612,199.4470038,232.9310962,277.4761704,283.6578742,278.1077404,277.1973838,287.0166316,250.5325458,267.5700065,261.7912937,265.6723889,264.6314686,265.3496437,265.0031941,265.1865365,265.4517855,266.126285,266.9880866,267.9009829,268.6081013,268.9503678,268.8703286,268.4573533,267.8975797
ITALY,73.94460671,65.47211955,63.61704091,73.14642894,94.37106837,111.1529528,131.1235013,130.7975984,151.8551444,120.612254,134.7754218,125.7045077,170.7766933,147.3528516,159.303845,155.5372637,158.2811709,157.5149657,157.8483905,157.4127903,157.3599649,157.4541552,157.9238722,158.5917424,159.3004503,159.8027796,159.9348354,159.6411642,159.0027007,158.2159923
NETHERLANDS,195.4477452,151.1905741,168.300233,177.0509509,92.80685694,117.4921588,127.4737928,109.212649,120.1864363,118.0272715,111.9492645,118.2210412,115.5140669,78.05411812,92.92139146,85.70239872,87.65376682,84.91407542,83.70401731,81.49332622,79.6981162,77.97765101,76.60957993,75.40740362,74.21459946,72.77745002,70.92606939,68.6029159,65.89982985,63.01557915
PORTUGAL,9.220018768,6.39484327,7.067998285,9.437371526,12.21536851,13.68675052,15.5743103,17.14123956,23.35358853,20.02879199,22.18631589,24.33773279,26.31456002,27.04640435,27.18331901,27.33857215,27.01247433,26.28548821,25.18527101,23.93922536,22.76886546,21.85584632,21.25031135,20.86042911,20.48280551,19.88137781,18.87646477,17.41312132,15.58118205,13.58024267
SPAIN,85.11641312,83.92864272,69.9234591,92.11312762,118.0487685,129.9845555,156.6252434,153.43039,139.6105098,147.5738994,146.3874375,143.6459127,164.4556335,132.3411422,146.6019301,140.9387485,143.5876309,141.9221861,141.6813084,140.5185718,139.7713506,139.1330212,138.8659307,138.7871717,138.7357721,138.4601768,137.7892363,136.6641063,135.174406,133.5171146
SWEDEN,29.91288182,25.60072936,28.97111956,32.06651196,31.92675888,40.72740198,28.9214981,33.43561179,40.89878867,25.90716116,33.39279069,36.45842238,41.295215,33.36341485,36.88370602,35.3848418,35.58827453,34.43353519,33.3175186,31.8682867,30.56817259,29.48851031,28.72720511,28.17180233,27.62791781,26.85619187,25.67907129,24.0413222,22.03330296,19.8545586
