Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,512582.0578,562473.4736,566223.2777,577701.9998,532891.7938,568472.4766,608574.8419,629678.964,673196.0669,641086.5904,667415.9341,651171.6988,678434.799,674748.8172,679201.4935,679705.8536,681931.8249,683236.9627,684878.9967,686331.9576,687927.0126,689582.4466,691371.3053,693242.1448,695156.7829,697049.7117,698879.2229,700631.323,702330.9465,704029.9152
AUSTRIA,11148.21007,11154.74158,12012.6002,10675.05692,10437.8572,9855.1493,11033.2803,11421.58897,11332.66347,9854.14435,9351.381273,9539.229561,9434.394102,7536.226731,8268.144503,7857.756071,7811.284883,7443.069089,7065.631824,6607.752177,6184.618938,5819.628329,5536.37368,5306.215428,5077.519903,4787.324217,4388.59245,3866.551827,3286.569053,2793.583695
BELGIUM,9719.999782,6783.813998,7081.659621,8839.274592,9645.112627,9892.180819,9970.060334,10187.85407,9723.916807,10723.87696,10949.12276,10936.77477,9424.219837,5568.679838,7069.151322,6319.861146,6408.31486,5969.148816,5610.23807,5130.534639,4700.913532,4322.019518,4027.577828,3784.854197,3543.943343,3240.960097,2828.871456,2404.540737,2043.859627,1737.280683
FINLAND,4096.347334,4196.303901,4196.303901,4631.847142,4727.295459,5239.024194,6026.74175,5845.027314,4991.023458,5339.800348,6433.045833,6994.924356,6793.083043,6208.61427,6501.39293,6380.020851,6311.316732,6057.507185,5737.945454,5364.65691,5016.605438,4732.845503,4530.391227,4383.520853,4239.351005,4035.352081,3724.181251,3291.120229,2797.452195,2377.834365
FRANCE,53867.00654,49256.94096,46126.26468,51851.7248,51086.66291,51354.83251,58263.76548,53054.8076,40574.91512,40864.68787,56822.66023,56654.94523,57721.24064,49869.52561,53276.24031,51887.46607,52489.11562,52042.05833,51928.21348,51588.23642,51349.09965,51140.76521,51027.63055,50963.49704,50905.14979,50786.75236,50563.11935,50218.85383,49777.59398,49291.62676
GERMANY,40841.53998,39472.1891,45779.09726,40868.18206,57304.23262,60878.09505,52486.05363,61297.6569,73020.04485,74646.80901,73186.24747,72946.67993,75530.69253,65929.61732,70413.15961,68892.44571,69913.78654,69639.86017,69828.85361,69737.68265,69785.93065,69855.73303,70033.2329,70260.0228,70500.25867,70686.34244,70776.41259,70755.34964,70646.67193,70499.36309
ITALY,19459.10703,17229.50514,16741.32656,19249.06025,24834.49168,29250.77705,34506.18455,34420.42064,39961.8801,31740.06684,35467.21626,33080.13359,44941.23509,38777.06622,41922.06446,40930.85886,41652.9397,41451.30675,41539.05013,41424.41851,41410.51709,41435.30399,41558.91373,41734.66904,41921.17113,42053.36304,42088.11458,42010.83268,41842.81599,41635.78746
NETHERLANDS,51433.61717,39786.99319,44289.53501,46592.35549,24422.85709,30918.98917,33545.73494,28740.17078,31628.00956,31059.80829,29460.33277,31110.80031,30398.43866,20540.5574,24452.99775,22553.26282,23066.78074,22345.80932,22027.37298,21445.61216,20973.18847,20520.43448,20160.41577,19844.05358,19530.15775,19151.96053,18664.7551,18053.39892,17342.06049,16583.04715
PORTUGAL,2426.320728,1682.853492,1859.999549,2483.518823,3214.57066,3601.776452,4098.502712,4510.852517,6145.681192,5270.734735,5838.504181,6404.666524,6924.884216,7117.474828,7153.505002,7194.361092,7108.545875,6917.233739,6627.702897,6299.796148,5991.8067,5751.538504,5592.187197,5489.586609,5390.211976,5231.941529,4967.490728,4582.400348,4100.311065,3573.74807
SPAIN,22399.05608,22086.48493,18400.91029,24240.29674,31065.46541,34206.46196,41217.16931,40376.41843,36739.60785,38835.23667,38523.00987,37801.55598,43277.79828,34826.61638,38579.45529,37089.14435,37786.21865,37347.9437,37284.55486,36978.57152,36781.93437,36613.95295,36543.66597,36522.93991,36509.4137,36436.88864,36260.32534,35964.2385,35572.2121,35136.0828
