Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,3015.297532,2791.893313,2598.149308,2843.686272,3118.683745,3054.751572,2787.251588,2964.022581,3028.812537,2515.314297,2349.772307,2466.195718,2608.861954,2605.033358,2386.647046,2222.572102,2667.086522,2260.45097,2089.471404,2507.365687,2452.121509,1961.697207,2354.036648,2824.843979,2259.875183,2036.758182,2444.10982,2512.744939,2010.195951,2412.235142
AUSTRIA,78.64487395,72.08474242,74.57160812,74.33478907,73.21454743,60.4927774,69.39427283,71.04936062,71.35180569,57.89038369,61.53650673,54.91011914,60.83212642,66.68746057,50.82771391,40.66217112,48.79460536,58.55352642,46.84282114,45.32489794,54.38987752,47.49148309,45.58375538,54.70050645,49.39587459,43.83801871,52.60562245,54.68436355,43.74749083,52.49698901
BELGIUM,125.1988205,92.7062277,92.68717518,116.3545059,125.9184413,129.226143,128.93998,132.4198972,126.8401461,140.1246784,142.2847609,142.2911623,121.2724787,70.55303756,171.7168894,206.0602673,164.8482138,141.1211724,169.3454069,193.4031485,154.7225187,164.631022,197.5572264,158.0457811,150.9943054,181.1931664,169.4725496,144.6541941,173.585033,193.8333795
FINLAND,16.19322282,14.98949185,14.59887835,17.46459316,20.08975175,19.4482457,21.09648151,17.39844393,17.60524592,17.48361869,15.13962475,13.61514412,11.68099993,9.844356713,16.52603694,19.83124433,15.86499546,13.82629297,16.59155156,18.18217669,14.54574136,16.58757805,19.90509365,15.92407493,13.89747315,16.67696778,18.39072207,14.71257765,16.50179109,19.8021493
FRANCE,340.6675289,267.9296569,225.4011629,250.6946956,278.433073,285.0212731,330.6068206,370.6047716,284.6016822,271.5182918,276.9985373,286.0282599,314.3844947,134.7614967,289.3498762,347.2198515,277.7758813,247.3257432,296.7908917,313.0607635,250.4486109,300.538333,333.2163721,266.5730976,280.5563188,336.6675826,269.334066,268.4574327,322.1489193,259.4170531
GERMANY,487.8596991,381.0760983,432.0780325,268.2744814,382.0222228,462.3525945,307.874012,295.0462276,451.1587604,361.5944366,319.7240991,347.2815881,348.6385607,274.905398,378.6868156,454.4241787,363.5393431,318.479901,382.1758811,426.0184488,340.814759,374.8863025,449.863563,359.8908504,314.2140452,377.0568543,427.1500578,341.7200462,362.4199843,434.9039811
ITALY,256.6956667,198.5707208,181.0542726,201.8710295,234.1711155,248.8260533,263.1940102,262.7116669,316.1080528,258.6895667,267.6039136,309.0379236,382.8903263,287.7737811,230.4042727,184.3234181,221.1881017,265.4257221,212.3405777,198.8399457,238.6079348,239.9222026,191.9377621,230.3253146,272.8075914,218.2460731,196.2508966,235.5010758,252.1537778,201.7230222
NETHERLANDS,141.0623154,106.727604,98.35318757,91.10397894,93.74895884,135.212872,130.4791015,72.23282507,83.16858638,76.23344272,78.17765006,73.51305033,72.2859123,36.10326848,90.88773403,109.0652808,87.25222467,78.30687158,93.96824589,99.77339442,79.81871554,95.78245865,109.2790839,87.42326709,81.57780003,97.89336004,84.77819807,76.9475835,92.3371002,96.96913002
PORTUGAL,30.74284429,18.29466501,19.66464041,24.82431715,27.59740427,31.79671013,31.91933163,38.58876745,57.62404072,40.56069509,41.1704947,48.05617311,47.74410589,50.35416567,45.35111397,36.4615904,43.75390848,52.50469017,42.00375214,40.31289427,48.37547312,45.0990923,36.9370444,44.32445327,52.79984359,42.23987487,39.40658518,47.28790221,46.75286282,37.40229026
SPAIN,292.2544391,258.2579219,251.7789396,242.9686112,284.0781321,333.2761544,331.8601915,312.7988775,294.8067311,297.3202474,256.6744483,339.2554774,363.4095846,310.6020594,312.2786592,309.0557696,325.1587671,296.2069158,312.4596298,332.0277452,275.3345584,329.6694919,342.6165331,274.0932265,326.6695412,361.6050204,289.2840164,300.0314805,360.0377767,288.0302212
