Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,2261.473149,2093.919985,1948.611981,2132.764704,2339.012809,2291.063679,2090.438691,2223.016936,2271.609403,1886.485723,1762.32923,1849.646788,1956.646466,1953.775018,1789.985285,1666.929076,2000.314891,1695.338227,1567.103553,1880.524265,1839.091132,1471.272905,1765.527486,2118.632984,1694.906387,1527.568637,1833.082365,1884.558704,1507.646963,1809.176356
AUSTRIA,58.98365546,54.06355682,55.92870609,55.7510918,54.91091058,45.36958305,52.04570462,53.28702046,53.51385426,43.41778777,46.15238005,41.18258935,45.62409481,50.01559543,38.12078543,30.49662834,36.59595402,43.91514482,35.13211586,33.99367345,40.79240814,35.61861232,34.18781654,41.02537984,37.04690595,32.87851403,39.45421684,41.01327266,32.81061813,39.37274176
BELGIUM,93.89911535,69.52967078,69.51538139,87.2658794,94.43883096,96.91960724,96.70498501,99.31492287,95.1301096,105.0935088,106.7135707,106.7183717,90.95435901,52.91477817,128.7876671,154.5452005,123.6361604,105.8408793,127.0090551,145.0523614,116.041889,123.4732665,148.1679198,118.5343358,113.2457291,135.8948748,127.1044122,108.4906456,130.1887747,145.3750347
FINLAND,12.14491711,11.24211889,,13.09844487,15.06731381,14.58618428,15.82236113,13.04883294,13.20393444,13.11271401,11.35471856,10.21135809,8.760749946,7.383267534,12.3945277,14.87343325,11.89874659,10.36971973,12.44366367,13.63663252,10.90930602,12.44068354,14.92882024,11.9430562,10.42310486,12.50772584,13.79304155,11.03443324,12.37634332,14.85161198
FRANCE,255.5006467,200.9472427,169.0508722,188.0210217,208.8248048,213.7659549,247.9551155,277.9535787,213.4512616,203.6387188,207.748903,214.5211949,235.788371,101.0711225,217.0124072,260.4148887,208.3319109,185.4943074,222.5931688,234.7955727,187.8364582,225.4037497,249.9122791,199.9298232,210.4172391,252.500687,202.0005495,201.3430745,241.6116895,194.5627898
GERMANY,365.8947743,285.8070737,324.0585243,201.2058611,286.5166671,346.7644459,230.905509,221.2846707,338.3690703,271.1958274,239.7930744,260.4611911,261.4789206,206.1790485,284.0151117,340.818134,272.6545073,238.8599257,286.6319109,319.5138366,255.6110693,281.1647269,337.3976723,269.9181378,235.6605339,282.7926407,320.3625433,256.2900346,271.8149882,326.1779859
ITALY,192.52175,148.9280406,135.7907045,151.4032721,175.6283366,186.61954,197.3955076,197.0337502,237.0810396,194.017175,200.7029352,231.7784427,287.1677447,215.8303358,172.8032045,138.2425635,165.8910763,199.0692916,159.2554333,149.1299593,178.9559511,179.941652,143.9533216,172.7439859,204.6056936,163.6845548,147.1881724,176.6258069,189.1153333,151.2922666
NETHERLANDS,105.7967365,80.04570297,73.76489068,68.32798421,70.31171913,101.409654,97.8593261,54.1746188,62.37643978,57.17508204,58.63323754,55.13478775,54.21443422,27.07745136,68.16580052,81.79896063,65.43916851,58.73015369,70.47618442,74.83004582,59.86403666,71.83684399,81.9593129,65.56745032,61.18335002,73.42002003,63.58364855,57.71068763,69.25282515,72.72684751
PORTUGAL,23.05713322,13.72099876,14.74848031,18.61823786,20.69805321,23.8475326,23.93949872,28.94157559,43.21803054,30.42052132,30.87787103,36.04212983,35.80807941,37.76562425,34.01333548,27.3461928,32.81543136,39.37851763,31.50281411,30.2346707,36.28160484,33.82431923,27.7027833,33.24333996,39.59988269,31.67990616,29.55493888,35.46592666,35.06464712,28.05171769
SPAIN,219.1908294,193.6934414,188.8342047,182.2264584,213.0585991,249.9571158,248.8951436,234.5991582,221.1050484,222.9901855,192.5058362,254.441608,272.5571885,232.9515446,234.2089944,231.7918272,243.8690753,222.1551868,234.3447224,249.0208089,206.5009188,247.2521189,256.9623998,205.5699199,245.0021559,271.2037653,216.9630123,225.0236104,270.0283325,216.0226659
SWEDEN,49.03956573,33.76260081,40.23203073,42.71232341,39.93443676,44.0371697,5.397961644,19.722938,29.0751578,15.67520766,32.71001054,17.09774081,15.61153515,15.36060677,23.76532478,28.51838973,22.81471179,18.25176943,21.90212332,26.28254798,21.02603839,21.93148554,26.31778265,21.05422612,23.81427109,27.70205485,22.16164389,19.47594196,23.37113034,25.73535528
UNITED KINGDOM  ,180.3938808,255.9476411,204.9992065,269.5281742,298.3260806,281.9970942,196.0063764,265.7465347,295.1393608,192.3450804,162.6891966,126.2048646,114.5321853,149.4262831,142.6417898,136.7509494,158.9763985,129.3285181,146.2022519,167.4020556,133.9216445,131.1617394,157.3940873,132.5343804,126.6784171,152.0141004,141.135028,123.6394827,148.3673793,147.6429403
CZECH REPUBLIC ,52.97897202,51.68329167,49.47441409,54.32212512,55.60701836,62.90662222,61.69694202,62.79172002,56.59859705,66.19745768,55.22426859,58.52567181,67.39696037,67.35804556,47.44221809,37.95377447,45.54452937,54.65343524,43.7227482,41.29126729,49.54952076,48.33859466,38.67087573,46.40505087,55.68606106,44.54884884,41.56805769,49.88166923,47.29162073,39.15499751
HUNGARY,5.509314203,8.004594069,11.17387426,13.85804841,15.39672306,11.58337621,12.8849861,16.27916955,18.80595586,19.58804423,23.09927183,21.38429024,21.33581851,19.28694169,19.31312697,17.24694421,20.69633306,20.42006364,16.33605091,19.6032611,23.46834318,18.77467455,16.17589572,19.41107487,21.53199765,17.22559812,18.7654702,22.51856424,18.0148514,16.21132303
POLAND,40.49895369,28.23557193,28.72185119,32.76435627,41.54627772,61.91031366,79.60127981,85.78287886,85.42406738,66.19717525,68.30994257,73.88327379,102.1092584,105.7865583,35.61304227,28.49043382,34.18852058,41.0262247,32.82097976,30.71289031,36.85546837,36.23742992,28.98994393,34.78793271,41.74551926,33.39641541,26.71713233,32.06055879,38.47267055,30.77813644
ROMANIA,19.1400093,19.43274326,18.5161711,18.76289525,20.15360536,18.40085333,19.44655063,25.98357877,29.1018407,24.77917519,23.70477413,19.80114791,14.7701908,17.71202007,25.05179567,30.0621548,24.04972384,21.56895999,25.88275199,26.02822839,20.82258271,24.98709925,29.9845191,23.98761528,20.44480529,24.53376635,28.78951894,23.03161515,22.6175835,27.1411002
SLOVAKIA,50.59124402,69.4903833,76.46266005,76.8480999,81.23528712,82.2214965,81.74336393,85.43657491,87.37484509,79.88063969,80.93113957,78.30010566,84.11529844,79.67118816,68.01107533,54.40886026,65.29063231,78.34875877,62.67900701,60.06953801,72.08344561,66.2266277,56.35786086,67.62943304,77.75328976,62.20263181,64.37251454,77.24701744,61.79761395,61.39699933
SLOVENIA,3.629210431,5.050955634,3.620020425,2.735314621,4.185557595,5.016990648,6.918736166,7.764275246,6.965309639,3.577634328,5.946158351,2.075954814,8.235613685,7.689960657,1.767033612,7.638834233,6.536023419,6.030195953,5.472667629,4.843859987,4.143279686,3.37091954,2.526779417,1.61085926,0.623159035,2.454999387,2.117343327,1.866628085,1.734597819,1.75934553
SERBIA,1.22457078,1.232588029,7.887292766,8.559863795,7.058251591,6.541641879,6.312433058,4.782125859,3.077166198,2.016566923,1.731893286,0.646291445,0.149159423,0.099035909,1.316582678,1.579899214,1.26391937,1.266767671,1.520121206,1.216096964,1.07062528,1.284750337,1.150303587,1.380364304,1.602423295,1.281938636,1.025550909,1.23066109,1.331899284,1.065519428
RUSSIA,324.8260703,342.3003904,395.0955735,362.729403,295.0627254,261.7234296,276.0743922,245.3351853,246.0204836,235.3252696,245.6513861,200.3624768,200.2835137,208.1918159,218.3851714,235.9898082,188.7918465,225.9063572,256.1736779,204.9389423,192.9407996,231.5289596,223.7030543,178.9624435,214.7549322,257.7059185,206.1647349,189.1964444,227.0357333,229.1894426
AZERBAIJAN,2.723630596,5.098190915,6.093394952,4.400609083,2.322262862,0.986517685,1.348070771,2.582636222,3.722998472,3.769875313,5.257093654,4.037182127,4.448279292,4.711459925,3.320265066,2.656212052,3.187454463,3.824945356,3.059956284,2.687364758,3.224837709,3.867124588,3.09369967,3.05931554,3.671178647,2.936942919,3.094962171,3.713954605,2.971163684,3.321593341
BELARUS,54.27014092,65.75000671,70.15789074,41.65054173,40.49758488,48.90257562,50.32152579,18.12745538,19.28078409,18.35012096,16.75683771,19.50775142,20.16735317,23.14168536,23.63714284,28.36457141,22.69165712,18.96114881,22.75337857,25.9274394,20.74195152,24.89034183,28.3727604,22.69820833,23.2095572,27.85146864,22.28117491,21.78912631,26.14695158,23.11722444
KAZAKHSTAN,10.58788739,21.56651523,22.51155645,21.98328412,18.40435442,10.55862732,12.35854414,10.20679243,12.26614137,11.96793069,13.0356737,14.74161942,27.063146,29.45352678,14.71112363,26.1458935,28.33244772,27.90124626,27.34395894,26.71513813,26.01455687,25.24219632,24.39805592,23.48213557,22.49443519,21.43495477,20.30369426,19.10065366,17.82583294,16.47923212
UKRAINE,47.69904056,58.92817723,49.87351634,32.100758,15.71089659,13.20138468,15.75429714,17.72702765,29.91590498,23.18468039,35.34236154,22.85336284,19.30926496,8.57219739,32.41697505,38.90037006,31.12029604,25.98380551,31.18056661,36.5927068,29.27416544,27.92156713,33.50588055,31.65827157,27.98471173,33.58165409,35.96434148,28.77147318,34.52576782,37.4702473
