Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,1507.648766,1395.946656,1299.074654,1421.843136,1559.341872,1527.375786,1393.625794,1482.01129,1514.406268,1257.657148,1174.886153,1233.097859,1304.430977,1302.516679,1193.323523,1111.286051,1333.543261,1130.225485,1044.735702,1253.682843,1226.060755,980.8486034,1177.018324,1412.421989,1129.937591,1018.379091,1222.05491,1256.37247,1005.097976,1206.117571
AUSTRIA,39.32243697,36.04237121,37.28580406,37.16739454,36.60727372,30.2463887,34.69713641,35.52468031,35.67590284,28.94519185,30.76825337,27.45505957,30.41606321,33.34373029,25.41385695,20.33108556,24.39730268,29.27676321,23.42141057,22.66244897,27.19493876,23.74574155,22.79187769,27.35025323,24.6979373,21.91900935,26.30281122,27.34218177,21.87374542,26.2484945
BELGIUM,62.59941023,46.35311385,46.34358759,58.17725293,62.95922064,64.6130715,64.46999001,66.20994858,63.42007306,70.06233919,71.14238044,71.14558114,60.63623934,35.27651878,85.8584447,103.0301337,82.42410691,70.56058619,84.67270343,96.70157424,77.36125936,82.31551099,98.77861319,79.02289054,75.49715272,90.59658322,84.73627482,72.32709707,86.79251649,96.91668977
FINLAND,8.096611408,7.494745926,7.299439174,8.73229658,10.04487587,9.724122852,10.54824075,8.699221963,8.802622959,8.741809343,7.569812374,6.807572059,5.840499964,4.922178356,8.263018469,9.915622163,7.932497728,6.913146487,8.295775781,9.091088346,7.272870681,8.293789026,9.952546827,7.962037466,6.948736573,8.338483891,9.195361033,7.356288826,8.250895547,9.90107465
FRANCE,170.3337645,133.9648284,112.7005814,125.3473478,139.2165365,142.5106366,165.3034103,185.3023858,142.3008411,135.7591459,138.4992687,143.0141299,157.1922473,67.38074833,144.6749381,173.6099258,138.8879406,123.6628716,148.3954459,156.5303818,125.2243055,150.2691665,166.608186,133.2865488,140.2781594,168.3337913,134.667033,134.2287163,161.0744597,129.7085265
GERMANY,243.9298495,190.5380491,216.0390162,134.1372407,191.0111114,231.1762972,153.937006,147.5231138,225.5793802,180.7972183,159.8620496,173.640794,174.3192804,137.452699,189.3434078,227.2120893,181.7696715,159.2399505,191.0879406,213.0092244,170.4073795,187.4431513,224.9317815,179.9454252,157.1070226,188.5284271,213.5750289,170.8600231,181.2099921,217.4519906
ITALY,128.3478333,99.28536041,90.5271363,100.9355147,117.0855577,124.4130266,131.5970051,131.3558335,158.0540264,129.3447833,133.8019568,154.5189618,191.4451631,143.8868905,115.2021363,92.16170903,110.5940509,132.7128611,106.1702888,99.41997285,119.3039674,119.9611013,95.96888104,115.1626573,136.4037957,109.1230365,98.12544829,117.7505379,126.0768889,100.8615111
NETHERLANDS,70.53115769,53.36380198,49.17659378,45.55198947,46.87447942,67.606436,65.23955074,36.11641254,41.58429319,38.11672136,39.08882503,36.75652516,36.14295615,18.05163424,45.44386702,54.53264042,43.62611234,39.15343579,46.98412295,49.88669721,39.90935777,47.89122932,54.63954194,43.71163355,40.78890002,48.94668002,42.38909903,38.47379175,46.1685501,48.48456501
PORTUGAL,15.37142214,9.147332506,9.832320206,12.41215857,13.79870214,15.89835506,15.95966582,19.29438372,28.81202036,20.28034755,20.58524735,24.02808656,23.87205294,25.17708284,22.67555699,18.2307952,21.87695424,26.25234509,21.00187607,20.15644714,24.18773656,22.54954615,18.4685222,22.16222664,26.39992179,21.11993744,19.70329259,23.64395111,23.37643141,18.70114513
SPAIN,146.1272196,129.128961,125.8894698,121.4843056,142.0390661,166.6380772,165.9300957,156.3994388,147.4033656,148.6601237,128.3372242,169.6277387,181.7047923,155.3010297,156.1393296,154.5278848,162.5793835,148.1034579,156.2298149,166.0138726,137.6672792,164.834746,171.3082665,137.0466132,163.3347706,180.8025102,144.6420082,150.0157403,180.0188883,144.0151106
SWEDEN,32.69304382,22.50840054,26.82135382,28.47488228,26.62295784,29.35811313,3.598641096,13.14862534,19.38343853,10.45013844,21.80667369,11.39849388,10.4076901,10.24040451,15.84354985,19.01225982,15.20980786,12.16784629,14.60141555,17.52169865,14.01735892,14.62099036,17.54518843,14.03615075,15.87618072,18.46803657,14.77442926,12.98396131,15.58075356,17.15690352
UNITED KINGDOM  ,120.2625872,170.6317608,136.6661377,179.6854494,198.8840537,187.9980628,130.6709176,177.1643565,196.7595739,128.2300536,108.4594644,84.13657643,76.35479022,99.6175221,95.09452653,91.16729963,105.9842657,86.21901209,97.46816795,111.6013704,89.28109636,87.44115959,104.9293915,88.35625361,84.45227803,101.3427336,94.09001865,82.42632182,98.91158621,98.42862686
CZECH REPUBLIC ,35.31931468,34.45552778,32.98294273,36.21475008,37.07134558,41.93774814,41.13129468,41.86114668,37.73239804,44.13163845,36.81617906,39.01711454,44.93130691,44.90536371,31.62814539,25.30251631,30.36301958,36.43562349,29.1484988,27.52751153,33.03301384,32.22572978,25.78058382,30.93670058,37.1240407,29.69923256,27.71203846,33.25444615,31.52774716,26.10333167
HUNGARY,3.672876135,5.336396046,7.449249506,9.238698939,10.26448204,7.722250805,8.589990736,10.8527797,12.53730391,13.05869616,15.39951456,14.25619349,14.22387901,12.85796113,12.87541798,11.49796281,13.79755537,13.61337576,10.89070061,13.06884073,15.64556212,12.5164497,10.78393048,12.94071658,14.3546651,11.48373208,12.51031347,15.01237616,12.00990093,10.80754869
POLAND,26.99930246,18.82371462,19.14790079,21.84290418,27.69751848,41.27354244,53.06751988,57.18858591,56.94937826,44.13145017,45.53996172,49.25551586,68.07283897,70.52437217,23.74202818,18.99362255,22.79234706,27.35081647,21.88065318,20.47526021,24.57031225,24.15828661,19.32662929,23.19195514,27.83034617,22.26427694,17.81142155,21.37370586,25.64844703,20.51875763
