Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,33891.92566,37190.74608,37438.68312,38197.65623,35234.80541,37587.40015,40238.96855,41634.3731,44511.72394,42388.64536,44129.54156,43055.47272,44858.10891,44614.39179,44908.80275,44942.15104,45089.33227,45175.62797,45284.19926,45380.26904,45485.73407,45595.19137,45713.47071,45837.17061,45963.76649,46088.92694,46209.89422,46325.74307,46438.12218,46550.458
AUSTRIA,737.1196495,737.551513,794.2731252,705.8347638,690.1511182,651.6224717,729.5204935,755.1954628,749.3157086,651.5560244,618.3133297,630.7338586,623.802138,498.2953115,546.6897145,519.5548314,516.4821565,492.1357282,467.1795762,436.9045739,408.9270042,384.7938251,366.0650277,350.8469641,335.725616,316.5378773,290.1737328,255.6564068,217.3079458,184.7117539
BELGIUM,642.6863856,448.5457816,468.2393341,584.452836,637.7348469,654.0709958,659.2203893,673.6209111,642.9453792,709.0627444,723.955997,723.139548,623.1294156,368.2011109,467.4122854,417.8692189,423.7177785,394.6801197,370.9489412,339.2309504,310.8244027,285.7719306,266.303446,250.2545595,234.3255338,214.2922816,187.0449806,158.9882336,135.1399985,114.8689987
FINLAND,270.8504857,277.4596139,278.852515,306.257733,312.5687758,346.4042797,398.4881645,386.473206,330.0064711,353.067599,425.3529905,462.5043984,449.1586508,410.5135755,429.8721006,421.8469787,417.3042623,400.5223751,379.3929534,354.7111149,331.6979516,312.9357446,299.5494679,289.8383988,280.3058885,266.8174796,246.2428643,217.6088695,184.9675391,157.2224082
FRANCE,3561.686473,3256.868936,3049.868621,3428.436044,3377.850151,3395.581526,3852.400174,3507.983878,2682.813388,2701.973162,3757.114294,3746.024978,3816.528431,3297.373033,3522.625009,3430.799256,3470.580325,3441.020897,3433.493476,3411.014192,3395.202469,3381.427396,3373.946932,3369.706425,3365.848504,3358.020066,3343.233451,3320.470616,3291.294514,3259.162361
GERMANY,2700.442624,2609.901143,3026.913911,2702.204198,3788.955861,4025.259645,3470.377866,4053.001074,4828.085366,4935.647012,4839.074683,4823.234477,4994.08939,4359.266297,4655.718114,4555.16851,4622.699566,4604.587554,4617.0838,4611.055577,4614.245734,4618.861068,4630.597359,4645.592707,4661.477103,4673.780962,4679.7364,4678.343718,4671.157948,4661.417887
ITALY,1286.636157,1139.21488,1106.936512,1272.747864,1642.05659,1934.061378,2281.548923,2275.878213,2642.279512,2098.653219,2345.092339,2187.258433,2971.514464,2563.939619,2771.886902,2706.348388,2754.092373,2740.760403,2746.561995,2738.982552,2738.06339,2739.7023,2747.875376,2759.496317,2771.827835,2780.568364,2782.866136,2777.756257,2766.646993,2752.958267
NETHERLANDS,3400.790767,2630.71599,2928.424055,3080.686545,1614.839311,2044.363564,2218.043994,1900.300092,2091.243992,2053.674524,1947.917203,2057.046117,2009.944764,1358.141655,1616.832211,1491.221738,1525.175543,1477.504912,1456.449901,1417.983876,1386.747222,1356.811128,1333.006691,1312.088823,1291.334031,1266.32763,1234.113607,1193.690737,1146.657039,1096.471077
PORTUGAL,160.4283266,111.2702729,122.9831702,164.2102645,212.5474121,238.149459,270.9929993,298.2575684,406.3524404,348.5009807,386.0418964,423.4765506,457.8733443,470.6074356,472.9897507,475.6911554,470.0170533,457.3674948,438.2237155,416.5425213,396.178259,380.2917259,369.7554175,362.9714666,356.4008159,345.9359739,328.450487,302.988311,271.1125676,236.2962224
SPAIN,1481.025588,1460.358383,1216.668188,1602.768421,2054.048573,2261.731265,2725.279235,2669.688787,2429.222871,2567.785849,2547.141412,2499.438882,2861.528023,2302.735875,2550.873584,2452.334224,2498.424777,2469.446038,2465.254767,2445.023149,2432.0215,2420.914569,2416.267194,2414.896787,2414.002434,2409.207077,2397.532711,2377.955449,2352.034664,2323.197795
SWEDEN,520.4841437,445.4526909,504.0974803,557.9573082,555.5256045,708.6567945,503.2340669,581.7796451,711.6389229,450.7846042,581.034558,634.3765494,718.536741,580.5234184,641.7764848,615.6962473,619.2359768,599.1435122,579.7248237,554.5081886,531.886203,513.1000794,499.8533689,490.1893606,480.7257698,467.2977385,446.8158405,418.3190063,383.3794714,345.4693197
UNITED KINGDOM  ,2424.009534,3909.146938,2931.447975,4436.570679,5093.69174,5561.923601,4829.633106,4762.829124,5846.521168,5137.373022,4220.82698,3877.873346,3251.689416,3681.898006,3476.954931,3548.544456,3493.362028,3484.718568,3446.091585,3414.860226,3380.316744,3351.915205,3327.751035,3307.40869,3286.837405,3262.180216,3230.241476,3190.130098,3143.401305,3093.533467
CZECH REPUBLIC ,386.4620274,376.5697376,351.2538537,409.3612518,412.6904024,482.6709078,450.0377259,453.4256092,432.7492974,410.8369938,386.8541549,407.501626,528.4817346,505.0063489,520.748616,514.6436134,509.6930024,493.5100751,472.5853629,448.3030118,425.628024,407.2426129,394.2208784,384.8768828,375.7093327,362.5964672,342.4195074,314.2191247,279.5579129,241.9055384
HUNGARY,126.6607828,201.5988287,252.8485998,323.920217,351.1973916,280.7047009,349.2716433,428.9748097,497.9227919,452.69721,514.3606898,427.0813443,469.0379501,544.93299,518.6884882,531.4488117,519.452036,507.8086341,486.5228748,464.0329723,442.265843,425.2022427,413.3580442,405.284243,397.3783998,385.5634918,366.7047047,339.8533364,306.5718074,270.3346318
POLAND,631.9118201,753.8859794,782.1428495,742.1471881,904.1253015,1210.096087,1549.708905,1804.091402,1971.302791,1930.827451,1630.161061,1869.14222,2180.133174,2392.857676,2338.160518,2390.768739,2389.321924,2402.823642,2400.49431,2400.673371,2400.504043,2406.048547,2416.728394,2431.618515,2446.971047,2458.954499,2464.498193,2462.742213,2455.164422,2445.052988
ROMANIA,272.6031922,271.2061658,269.5800158,307.8145801,351.7968636,346.3750008,405.360571,484.9114107,561.6798738,609.060709,571.8883065,553.077701,524.5264407,421.2750958,466.6376601,447.3825208,447.6972849,428.8611672,408.6176798,383.4904188,360.5787347,341.6746504,328.2433728,318.4383895,308.8261848,295.2496479,274.5943113,245.8872045,210.684446,179.0817791
SLOVAKIA,167.8170412,243.0458132,255.7534824,254.7462071,272.4110346,272.8037146,270.821953,285.9192778,290.615174,259.8450135,270.1806019,257.6405496,283.2961651,260.4750852,270.647808,263.4157371,255.0963747,236.4251161,212.4990464,185.3043105,159.529884,138.0000911,121.7625597,109.1827689,96.73706199,82.22650269,69.89252729,59.4086482,50.49735097,42.92274832
SLOVENIA,86.94481719,97.97690014,89.41821215,58.82292206,96.48894868,127.5180404,147.3713965,196.1080714,209.695521,184.8632967,126.6084199,197.8499548,183.4984115,195.0112449,192.6644911,192.5587261,183.1910104,166.9428413,143.9655997,122.3707598,104.0151458,88.41287393,75.15094284,63.87830142,54.2965562,46.15207277,39.22926186,33.34487258,28.34314169,24.09167044
SERBIA,32.58430521,32.71497508,217.5618367,202.7546573,164.1704191,156.6406286,152.8308004,121.4800867,76.03062841,97.30888096,77.01269264,139.4504706,192.0947515,195.3838433,198.7038068,197.4939489,189.8521049,174.1657662,152.2632862,129.4237933,110.0102243,93.50869067,79.48238707,69.69140538,59.88496007,50.90221606,43.26688365,36.7768511,31.26032344,26.57127492
