Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,25418.94425,27893.05956,28079.01234,28648.24217,26426.10406,28190.55012,30179.22641,31225.77982,33383.79296,31791.48402,33097.15617,32291.60454,33643.58168,33460.79385,33681.60206,33706.61328,33816.9992,33881.72098,33963.14944,34035.20178,34114.30055,34196.39353,34285.10303,34377.87796,34472.82486,34566.69521,34657.42066,34744.30731,34828.59164,34912.8435
AUSTRIA,552.8397371,553.1636347,595.7048439,529.3760729,517.6133386,488.7168538,547.1403701,566.3965971,561.9867814,488.6670183,463.7349973,473.0503939,467.8516035,373.7214836,410.0172859,389.6661236,387.3616174,369.1017961,350.3846821,327.6784305,306.6952531,288.5953688,274.5487708,263.1352231,251.794212,237.4034079,217.6302996,191.7423051,162.9809593,138.5338154
BELGIUM,482.0147892,336.4093362,351.1795006,438.339627,478.3011352,490.5532468,494.415292,505.2156833,482.2090344,531.7970583,542.9669978,542.354661,467.3470617,276.1508332,350.559214,313.4019142,317.7883339,296.0100898,278.2117059,254.4232128,233.118302,214.3289479,199.7275845,187.6909196,175.7441504,160.7192112,140.2837355,119.2411752,101.3549989,86.15174906
FINLAND,203.1378643,208.0947104,209.1393863,229.6932997,234.4265818,259.8032098,298.8661234,289.8549045,247.5048533,264.8006993,319.0147428,346.8782988,336.8689881,307.8851817,322.4040754,316.385234,312.9781968,300.3917813,284.5447151,266.0333362,248.7734637,234.7018085,224.662101,217.3787991,210.2294164,200.1131097,184.6821482,163.2066521,138.7256543,117.9168062
FRANCE,2671.264854,2442.651702,2287.401466,2571.327033,2533.387614,2546.686144,2889.30013,2630.987909,2012.110041,2026.479871,2817.835721,2809.518734,2862.396323,2473.029775,2641.968757,2573.099442,2602.935243,2580.765673,2575.120107,2558.260644,2546.401852,2536.070547,2530.460199,2527.279818,2524.386378,2518.515049,2507.425088,2490.352962,2468.470886,2444.371771
GERMANY,2025.331968,1957.425857,2270.185433,2026.653148,2841.716896,3018.944734,2602.7834,3039.750806,3621.064024,3701.735259,3629.306012,3617.425858,3745.567043,3269.449723,3491.788585,3416.376383,3467.024675,3453.440666,3462.81285,3458.291683,3460.684301,3464.145801,3472.948019,3484.194531,3496.107827,3505.335721,3509.8023,3508.757789,3503.368461,3496.063415
ITALY,964.9771176,854.4111601,830.2023839,954.5608976,1231.542442,1450.546034,1711.161692,1706.908659,1981.709634,1573.989915,1758.819254,1640.443825,2228.635848,1922.954714,2078.915177,2029.761291,2065.56928,2055.570302,2059.921496,2054.236914,2053.547543,2054.776725,2060.906532,2069.622238,2078.870876,2085.426273,2087.149602,2083.317193,2074.985245,2064.7187
NETHERLANDS,2550.593075,1973.036992,2196.318041,2310.514909,1211.129483,1533.272673,1663.532995,1425.225069,1568.432994,1540.255893,1460.937902,1542.784588,1507.458573,1018.606241,1212.624159,1118.416303,1143.881657,1108.128684,1092.337426,1063.487907,1040.060416,1017.608346,999.7550181,984.0666172,968.500523,949.7457227,925.5852055,895.2680526,859.9927795,822.353308
PORTUGAL,120.3212449,83.45270468,92.23737762,123.1576984,159.410559,178.6120942,203.2447495,223.6931763,304.7643303,261.3757355,289.5314223,317.6074129,343.4050083,352.9555767,354.7423131,356.7683666,352.51279,343.0256211,328.6677867,312.406891,297.1336943,285.2187944,277.3165631,272.2285999,267.3006119,259.4519804,246.3378652,227.2412333,203.3344257,177.2221668
SPAIN,1110.769191,1095.268788,912.5011413,1202.076315,1540.536429,1696.298449,2043.959426,2002.26659,1821.917154,1925.839387,1910.356059,1874.579161,2146.146017,1727.051906,1913.155188,1839.250668,1873.818583,1852.084528,1848.941075,1833.767362,1824.016125,1815.685927,1812.200396,1811.17259,1810.501826,1806.905308,1798.149534,1783.466587,1764.025998,1742.398346
