Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,16945.96283,18595.37304,18719.34156,19098.82811,17617.4027,18793.70008,20119.48427,20817.18655,22255.86197,21194.32268,22064.77078,21527.73636,22429.05445,22307.1959,5541.750108,5160.771134,6192.92536,5248.725161,4851.713787,5822.056548,5693.780594,4555.024474,5466.029368,6559.235245,5247.388195,4729.314665,5675.1776,5834.547072,4667.637658,5601.165189
AUSTRIA,368.5598248,368.7757565,397.1365626,352.9173819,345.0755591,325.8112358,364.7602467,377.5977314,374.6578543,325.7780122,309.1566649,315.3669293,311.901069,249.1476557,118.0210075,94.41680602,113.3001672,135.9602007,108.7681605,105.2435711,126.2922853,110.2743415,105.8446332,127.0135599,114.6963032,101.7910651,122.1492781,126.9760763,101.5808611,121.8970333
BELGIUM,321.3431928,224.2728908,234.1196671,292.226418,318.8674235,327.0354979,329.6101947,336.8104555,321.4726896,354.5313722,361.9779985,361.569774,311.5647078,184.1005555,398.7234274,478.468113,382.7744903,327.6807408,393.216889,449.0785181,359.2628144,382.2701749,458.7242098,366.9793678,350.6059724,420.7271666,393.5121122,335.8843517,403.0612221,450.0775067
FINLAND,135.4252429,138.729807,139.4262575,153.1288665,156.2843879,173.2021399,199.2440823,193.236603,165.0032355,176.5337995,212.6764952,231.2521992,224.5793254,205.2567878,38.37315079,46.04778094,36.83822474,32.10439545,38.52527453,42.21867653,33.77494125,38.51604811,46.21925771,36.97540619,32.26967449,38.7236094,42.70291501,34.16233201,38.31685238,45.98022283
FRANCE,1780.843236,1628.434468,1524.93431,1714.218022,1688.925076,1697.790763,1926.200087,1753.991939,1341.406694,1350.986581,1878.557147,1873.012489,1908.264215,1648.686517,671.8650376,806.2380454,644.9904364,574.2857814,689.1429375,726.9212776,581.5370222,697.8444264,773.7222262,618.9777807,651.4465608,781.735873,625.3886982,623.3531719,748.0238065,602.3615784
GERMANY,1350.221312,1304.950572,1513.456955,1351.102099,1894.47793,2012.629822,1735.188933,2026.500537,2414.042683,2467.823506,2419.537341,2411.617239,2497.044695,2179.633149,879.3037514,1055.164502,844.1316015,739.5044141,887.4052968,989.2069244,791.3655395,870.4790307,1044.574837,835.6598694,729.5991762,875.5190115,991.8344994,793.4675995,841.5324713,1009.838966
ITALY,643.3180784,569.6074401,553.4682559,636.3739318,821.0282948,967.0306892,1140.774461,1137.939106,1321.139756,1049.32661,1172.54617,1093.629217,1485.757232,1281.969809,534.9944411,427.9955528,513.5946635,616.3135963,493.050877,461.7026603,554.0431923,557.0948977,445.6759181,534.8111019,633.4541596,506.7633276,455.6909363,546.8291234,585.496388,468.3971103
NETHERLANDS,1700.395384,1315.357995,1464.212027,1540.343273,807.4196554,1022.181782,1109.021997,950.1500459,1045.621996,1026.837262,973.9586013,1028.523058,1004.972382,679.0708276,211.0396301,253.2475561,202.5980449,181.8271012,218.1925214,231.6719685,185.3375748,222.4050897,253.7440028,202.9952022,189.4221363,227.3065636,196.8534011,178.6708595,214.4050314,225.1605186
PORTUGAL,80.21416328,55.63513645,61.49158508,82.10513227,106.273706,119.0747295,135.4964996,149.1287842,203.1762202,174.2504903,193.0209482,211.7382753,228.9366722,235.3037178,105.3044442,84.66313561,101.5957627,121.9149153,97.53193222,93.60579165,112.32695,104.7192546,85.76713096,102.9205571,122.600256,98.08020482,91.50135877,109.8016305,108.559279,86.84742319
SPAIN,740.5127941,730.1791917,608.3340942,801.3842103,1027.024286,1130.865633,1362.639617,1334.844393,1214.611436,1283.892924,1273.570706,1249.719441,1430.764011,1151.367937,725.1052458,717.6217561,755.0126171,687.7869561,725.5254563,770.9622567,639.3217301,765.4864364,795.5492254,636.4393804,758.5206064,839.6401403,671.7121123,696.6675244,836.0010294,668.8008233
SWEDEN,260.2420719,222.7263455,252.0487402,278.9786541,277.7628022,354.3283972,251.6170334,290.8898226,355.8194615,225.3923021,290.517279,317.1882747,359.2683705,290.2617092,73.5768569,88.29222827,70.63378263,56.50702611,67.80843133,81.37011757,65.09609408,67.89933605,81.47920324,65.18336259,73.72839346,85.76487571,68.61190057,60.29703393,72.35644068,79.67602254
UNITED KINGDOM  ,1212.004767,1954.573469,1465.723987,2218.285339,2546.84587,2780.961801,2414.816553,2381.414562,2923.260584,2568.686511,2110.41349,1938.936673,1625.844708,1840.949003,441.6154483,423.3775525,492.1869924,400.397889,452.6385508,518.2726181,414.6180945,406.0734965,487.288196,410.3231592,392.1932416,470.6318899,436.950551,382.7847763,459.3417316,457.0988864
CZECH REPUBLIC ,193.2310137,188.2848688,175.6269268,204.6806259,206.3452012,241.3354539,225.018863,226.7128046,216.3746487,205.4184969,193.4270774,203.750813,264.2408673,252.5031744,146.8799322,117.5039457,141.0047349,169.2056819,135.3645455,127.8367408,153.404089,149.6550918,119.7240735,143.6688882,172.4026658,137.9221326,128.6936771,154.4324125,146.4136865,121.2229025
HUNGARY,63.33039138,100.7994143,126.4242999,161.9601085,175.5986958,140.3523505,174.6358217,214.4874048,248.9613959,226.348605,257.1803449,213.5406722,234.518975,272.466495,59.79296275,53.39611211,64.07533454,63.22001128,50.57600901,60.69121082,72.65740923,58.12592739,50.08017252,60.09620702,66.66253143,53.33002514,58.09743096,69.71691716,55.77353374,50.18985459
POLAND,315.9559101,376.9429897,391.0714247,371.0735941,452.0626507,605.0480437,774.8544527,902.0457011,985.6513956,965.4137253,815.0805303,934.5711101,1090.066587,1196.428838,110.2570968,88.20567746,105.846813,127.0161755,101.6129404,95.08634772,114.1036172,112.1901855,89.75214839,107.7025781,129.2430937,103.3944749,82.71557996,99.25869596,119.1104351,95.28834812
ROMANIA,136.3015961,135.6030829,134.7900079,153.90729,175.8984318,173.1875004,202.6802855,242.4557053,280.8399369,304.5303545,285.9441533,276.5388505,262.2632204,210.6375479,77.55973891,93.07168669,74.45734936,66.77696591,80.13235911,80.58275043,64.46620034,77.3594404,92.83132849,74.26506278,63.29661081,75.95593298,89.13163758,71.30531005,70.02347834,84.02817401
SLOVAKIA,83.9085206,121.5229066,127.8767412,127.3731036,136.2055173,136.4018573,135.4109765,142.9596389,145.307587,129.9225067,135.090301,128.8202748,141.6480826,130.2375426,210.5606047,168.4484838,202.1381805,242.5658166,194.0526533,185.9738019,223.1685623,205.0359991,174.4825414,209.3790496,240.7222593,192.5778075,199.2957106,239.1548527,191.3238822,190.0835892
SLOVENIA,43.4724086,48.98845007,44.70910608,29.41146103,48.24447434,63.75902021,73.68569824,98.0540357,104.8477605,92.43164837,63.30420995,98.9249774,91.74920576,97.50562243,5.470692296,23.64964159,20.23536662,18.66933732,16.94324343,14.99647055,12.82749129,10.43628341,7.822846492,4.98718037,1.929284937,7.600617297,6.555242499,5.77903432,5.370271885,5.446890187
SERBIA,16.29215261,16.35748754,108.7809184,101.3773287,82.08520957,78.32031429,76.41540018,60.74004336,38.01531421,48.65444048,38.50634632,69.72523529,96.04737575,97.69192165,4.076107363,4.891328835,3.913063066,3.921881335,4.706257603,3.765006081,3.314629351,3.977555222,3.561311414,4.273573698,4.961062832,3.968850266,3.175080212,3.810096255,4.123527195,3.298821757
RUSSIA,3969.538937,4217.497379,4929.155329,4093.336146,2605.385133,2692.081324,3400.289264,3460.09173,3696.343064,2961.732302,3598.400903,2885.628435,3179.848612,3646.560441,676.1150818,730.6186012,584.4948809,699.4004868,793.1073619,634.4858895,597.339937,716.8079244,692.5791155,554.0632924,664.875951,797.8511409,638.280913,585.7475058,702.897007,709.5648377
AZERBAIJAN,30.05803322,816.5846364,897.8791304,917.8255577,921.7925611,916.5790578,930.1148886,958.695388,1003.201167,1046.25357,1130.888034,1175.99975,1248.105765,1439.709798,10.27945841,8.223566725,9.868280071,11.84193609,9.473548868,8.320014729,9.984017676,11.97252195,9.578017555,9.471565139,11.36587817,9.092702534,9.581926226,11.49831147,9.198649176,10.28357072
BELARUS,1726.466515,1872.238978,1419.230096,1499.47585,720.0940973,758.6586897,943.1447126,1166.605912,1167.121078,1094.728774,1120.938829,1152.437199,680.1179806,688.3862117,73.18000879,87.81601055,70.25280842,58.7032471,70.44389651,80.27071022,64.21656819,77.05988182,87.84136347,70.27309079,71.85621425,86.22745708,68.98196565,67.4585954,80.95031449,71.57035432
KAZAKHSTAN,216.3747077,479.4912164,398.9986118,350.3899683,327.105381,251.7271154,233.8075137,228.4206106,354.9985135,483.5883502,474.9880744,497.3482861,541.8751463,682.4917122,45.5452744,80.9470387,87.71655641,86.38156736,84.65621962,82.70940598,80.54042375,78.14921461,75.53577685,72.70011013,69.64221422,66.36208906,62.85973454,59.13515064,55.18833729,51.01929448
UKRAINE,620.5813571,804.2608186,812.0279763,663.4356378,603.4201988,632.5825319,697.4705605,764.9844802,878.3442787,962.8211254,1126.116868,1124.316375,1186.124619,1282.662317,100.3621518,120.4345822,96.34766576,80.44521829,96.53426196,113.2901139,90.63209113,86.44448028,103.7333763,98.01322466,86.63997441,103.9679693,111.3447105,89.07576836,106.890922,116.0069576
UZBEKISTAN ,185.6498863,206.4564522,245.5060743,299.2055619,339.7326522,359.0020376,385.2864099,436.3405641,504.0974312,560.9940793,615.188442,695.3445726,794.7268004,894.120983,91.82745491,105.5925751,84.47406004,85.77804202,102.9336505,82.34692033,85.24512428,102.2941491,81.83531931,86.27547329,103.530568,82.82445438,83.83431886,100.6011827,83.14846195,84.29004316
