Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,205032.8231,224989.3894,226489.3111,231080.7999,213156.7175,227388.9906,243429.9368,251871.5856,269278.4267,256434.6361,266966.3736,260468.6795,271373.9196,269899.5269,271680.5974,271882.3415,272772.73,273294.7851,273951.5987,274532.783,275170.805,275832.9786,276548.5221,277296.8579,278062.7132,278819.8847,279551.6892,280252.5292,280932.3786,281611.9661
AUSTRIA,4459.284026,4461.89663,4805.04008,4270.02277,4175.142881,3942.05972,4413.31212,4568.635588,4533.065388,3941.65774,3740.552509,3815.691824,3773.757641,3014.490693,3307.257801,3143.102428,3124.513953,2977.227636,2826.252729,2643.100871,2473.847575,2327.851332,2214.549472,2122.486171,2031.007961,1914.929687,1755.43698,1546.620731,1314.627621,1117.433478
BELGIUM,3887.999913,2713.525599,2832.663848,3535.709837,3858.045051,3956.872328,3988.024134,4075.141628,3889.566723,4289.550783,4379.649105,4374.709909,3769.687935,2227.471935,2827.660529,2527.944458,2563.325944,2387.659527,2244.095228,2052.213856,1880.365413,1728.807807,1611.031131,1513.941679,1417.577337,1296.384039,1131.548582,961.8162949,817.5438507,694.9122731
FINLAND,1638.538934,1678.52156,1686.948064,1852.738857,1890.918184,2095.609678,2410.6967,2338.010926,1996.409383,2135.920139,2573.218333,2797.969742,2717.233217,2483.445708,2600.557172,2552.00834,2524.526693,2423.002874,2295.178182,2145.862764,2006.642175,1893.138201,1812.156491,1753.408341,1695.740402,1614.140832,1489.6725,1316.448092,1118.980878,951.1337461
FRANCE,21546.80262,19702.77638,18450.50587,20740.68992,20434.66516,20541.933,23305.50619,21221.92304,16229.96605,16345.87515,22729.06409,22661.97809,23088.49625,19947.81024,21310.49612,20754.98643,20995.64625,20816.82333,20771.28539,20635.29457,20539.63986,20456.30608,20411.05222,20385.39882,20362.05992,20314.70094,20225.24774,20087.54153,19911.03759,19716.6507
GERMANY,16336.61599,15788.87564,18311.6389,16347.27282,22921.69305,24351.23802,20994.42145,24519.06276,29208.01794,29858.7236,29274.49899,29178.67197,30212.27701,26371.84693,28165.26385,27556.97828,27965.51462,27855.94407,27931.54144,27895.07306,27914.37226,27942.29321,28013.29316,28104.00912,28200.10347,28274.53697,28310.56503,28302.13986,28258.66877,28199.74523
ITALY,7783.642812,6891.802058,6696.530622,7699.624099,9933.796671,11700.31082,13802.47382,13768.16826,15984.75204,12696.02674,14186.8865,13232.05344,17976.49404,15510.82649,16768.82578,16372.34354,16661.17588,16580.5227,16615.62005,16569.7674,16564.20684,16574.1216,16623.56549,16693.86762,16768.46845,16821.34522,16835.24583,16804.33307,16737.12639,16654.31498
NETHERLANDS,20573.44687,15914.79728,17715.814,18636.9422,9769.142836,12367.59567,13418.29397,11496.06831,12651.20383,12423.92332,11784.13311,12444.32013,12159.37547,8216.22296,9781.199102,9021.305129,9226.712297,8938.323728,8810.94919,8578.244865,8389.27539,8208.173791,8064.166308,7937.621433,7812.063102,7660.784212,7465.902041,7221.359569,6936.824194,6633.218858
PORTUGAL,970.5282914,673.1413969,743.9998195,993.407529,1285.828264,1440.710581,1639.401085,1804.341007,2458.272477,2108.293894,2335.401672,2561.86661,2769.953686,2846.989931,2861.402001,2877.744437,2843.41835,2766.893496,2651.081159,2519.918459,2396.72268,2300.615402,2236.874879,2195.834644,2156.08479,2092.776612,1986.996291,1832.960139,1640.124426,1429.499228
SPAIN,8959.622434,8834.593971,7360.364116,9696.118697,12426.18616,13682.58479,16486.86772,16150.56737,14695.84314,15534.09467,15409.20395,15120.62239,17311.11931,13930.64655,15431.78212,14835.65774,15114.48746,14939.17748,14913.82194,14791.42861,14712.77375,14645.58118,14617.46639,14609.17596,14603.76548,14574.75546,14504.13014,14385.6954,14228.88484,14054.43312
