Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,2882761.493,3163350.816,3184439.714,3248996.047,2996983.449,3197089.208,3422624.911,3541314.493,3786054.68,3605470.984,3753547.213,3662189.634,3815517.309,3794787.348,3819829.199,3822665.721,3835184.583,3842524.678,3851759.477,3859930.93,3868901.519,3878211.68,3888272.221,3898793.822,3909561.747,3920207.579,3930496.75,3940350.56,3949909.243,3959464.243
AUSTRIA,62697.53341,62734.26662,67558.86352,60036.52014,58702.5089,55425.35966,62051.16841,64235.01637,63734.89935,55419.70783,52592.16828,53648.62705,53059.03243,42383.73914,46500.04468,44192.02014,43930.66618,41859.82056,39737.11338,37161.99824,34782.29691,32729.58972,31136.56558,29842.15557,28555.97193,26923.9114,24681.44394,21745.48747,18483.66435,15711.1147
BELGIUM,54665.27877,38152.16993,39827.25371,49712.08031,54244.11342,55633.62493,56071.61932,57296.49129,54687.30812,60311.084,61577.86642,61508.42133,53001.81236,31318.25541,39756.90703,35542.89908,36040.36277,33570.49294,31551.97891,28854.12681,26437.9377,24307.03777,22651.0977,21286.02,19931.13736,18227.15959,15909.57307,13523.13711,11494.66654,9770.46656
FINLAND,23037.85741,23600.01314,23718.48978,26049.50832,26586.30966,29464.27207,33894.3956,32872.43361,28069.51593,30031.03716,36179.44976,39339.45458,38204.29904,34917.24666,36563.83384,35881.23727,35494.8453,34067.42041,32270.20524,30170.83046,28213.38899,26617.52311,25478.92026,24652.92128,23842.11005,22694.8201,20944.79535,18509.26017,15732.87114,13372.94047
FRANCE,302948.0448,277021.036,259414.1126,291614.1003,287311.3922,288819.578,327675.4171,298380.2379,228193.3226,229823.0046,319570.6411,318627.412,324624.2573,280466.212,299625.5755,291815.1092,295198.7862,292684.5361,292044.2726,290132.2416,288787.3364,287615.6635,286979.3942,286618.7074,286290.5624,285624.6953,284366.9832,282430.834,279949.1886,277216.1089
GERMANY,229692.8209,221991.5915,257461.643,229842.6559,322279.0043,342378.4066,295181.5656,344738.0224,410664.7323,419813.6539,411599.4558,410252.128,424784.6148,370788.1678,396003.6097,387451.1147,393195.1355,391654.5736,392717.4727,392204.7272,392476.074,392868.6426,393866.9018,395142.3682,396493.4548,397539.9899,398046.5444,397928.0864,397316.8829,396488.418
ITALY,109438.0179,96898.73693,94153.22055,108256.7148,139669.1812,164506.3701,194062.7819,193580.4457,224745.6137,178506.1359,199467.6243,186042.6713,252749.5061,218082.2204,235769.6905,230195.1502,234256.1329,233122.1492,233615.6179,232970.9297,232892.7481,233032.1497,233727.3308,234715.7787,235764.6664,236508.1137,236703.5564,236268.923,235323.9971,234159.6687
NETHERLANDS,289262.663,223762.0497,249084.3449,262035.4073,137354.1483,173888.3951,188661.2133,161634.7204,177875.9258,174680.3618,165684.9115,174967.141,170960.819,115520.0948,137523.6594,126839.5501,129727.5749,125672.8316,123881.9456,120610.1228,117953.212,115406.9235,113382.1783,111602.9574,109837.6072,107710.626,104970.5827,101532.3155,97531.74817,93263.05715
PORTUGAL,13645.62778,9464.36804,10460.63746,13967.30986,18078.74539,20256.39076,23049.97925,25369.03456,34563.31103,29642.61215,32835.74751,36019.84453,38945.54883,40028.67843,40231.31213,40461.08678,39978.462,38902.52255,37274.20109,35430.05354,33697.92088,32346.65255,31450.4608,30873.43509,30314.55215,29424.43916,27937.16786,25771.41956,23060.14943,20098.75915
SPAIN,125972.2914,124214.3912,103486.7195,136327.4289,174712.1774,192377.1421,231805.3602,227076.9773,206623.5546,218409.371,216653.4075,212595.9509,243394.3375,195864.8905,216970.8566,208589.3478,212509.6937,210044.8354,209688.3365,207967.4862,206861.5989,205916.8714,205521.5774,205405.0141,205328.9427,204921.0617,203928.0697,202262.8773,200058.1209,197605.3297
