Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,2162071.12,2372513.112,2388329.785,2436747.035,2247737.586,2397816.906,2566968.683,2655985.87,2839541.01,2704103.238,2815160.41,2746642.225,2861637.982,2846090.511,2864871.899,2866999.291,2876388.438,2881893.509,2888819.608,2894948.197,2901676.139,2908658.76,2916204.166,2924095.367,2932171.31,2940155.684,2947872.562,2955262.92,2962431.932,2969598.182
AUSTRIA,47023.15006,47050.69997,50669.14764,45027.39011,44026.88168,41569.01975,46538.37631,48176.26228,47801.17451,41564.78087,39444.12621,40236.47029,39794.27432,31787.80435,34875.03351,33144.01511,32947.99964,31394.86542,29802.83503,27871.49868,26086.72268,24547.19229,23352.42418,22381.61667,21416.97895,20192.93355,18511.08295,16309.1156,13862.74826,11783.33602
BELGIUM,40998.95908,28614.12744,29870.44028,37284.06023,40683.08506,41725.2187,42053.71449,42972.36847,41015.48109,45233.313,46183.39981,46131.31599,39751.35927,23488.69156,29817.68027,26657.17431,27030.27208,25177.86971,23663.98418,21640.59511,19828.45328,18230.27833,16988.32328,15964.515,14948.35302,13670.36969,11932.1798,10142.35283,8620.999906,7327.84992
FINLAND,17278.39305,17700.00985,17788.86734,19537.13124,19939.73225,22098.20405,25420.7967,24654.32521,21052.13695,22523.27787,27134.58732,29504.59093,28653.22428,26187.93499,27422.87538,26910.92795,26621.13398,25550.56531,24202.65393,22628.12285,21160.04174,19963.14233,19109.1902,18489.69096,17881.58254,17021.11508,15708.59652,13881.94513,11799.65336,10029.70535
FRANCE,227211.0336,207765.777,194560.5844,218710.5752,215483.5441,216614.6835,245756.5628,223785.1784,171144.992,172367.2534,239677.9809,238970.559,243468.193,210349.659,224719.1816,218861.3319,221399.0897,219513.402,219033.2045,217599.1812,216590.5023,215711.7477,215234.5456,214964.0305,214717.9218,214218.5214,213275.2374,211823.1255,209961.8914,207912.0817
GERMANY,172269.6156,166493.6936,193096.2322,172381.9919,241709.2532,256783.8049,221386.1742,258553.5168,307998.5492,314860.2404,308699.5918,307689.096,318588.4611,278091.1259,297002.7072,290588.336,294896.3516,293740.9302,294538.1045,294153.5454,294357.0555,294651.4819,295400.1764,296356.7762,297370.0911,298154.9924,298534.9083,298446.0648,297987.6622,297366.3135
ITALY,82078.51345,72674.0527,70614.91541,81192.53612,104751.8859,123379.7776,145547.0864,145185.3343,168559.2103,133879.6019,149600.7182,139532.0035,189562.1296,163561.6653,176827.2679,172646.3627,175692.0996,174841.6119,175211.7135,174728.1973,174669.5611,174774.1122,175295.4981,176036.834,176823.4998,177381.0853,177527.6673,177201.6922,176492.9978,175619.7515
NETHERLANDS,216946.9972,167821.5373,186813.2587,196526.5555,103015.6112,130416.2963,141495.91,121226.0403,133406.9443,131010.2714,124263.6836,131225.3557,128220.6143,86640.07111,103142.7445,95129.66258,97295.68117,94254.62371,92911.45921,90457.5921,88464.90898,86555.19263,85036.63372,83702.21801,82378.20541,80782.96952,78727.93702,76149.23665,73148.81113,69947.29286
PORTUGAL,10234.22083,7098.27603,7845.478097,10475.48239,13559.05904,15192.29307,17287.48444,19026.77592,25922.48327,22231.95911,24626.81063,27014.8834,29209.16162,30021.50882,30173.4841,30345.81509,29983.8465,29176.89191,27955.65082,26572.54015,25273.44066,24259.98941,23587.8456,23155.07632,22735.91412,22068.32937,20952.87589,19328.56467,17295.11207,15074.06936
SPAIN,94479.21856,93160.79342,77615.0396,102245.5717,131034.1331,144282.8566,173854.0201,170307.7329,154967.6659,163807.0283,162490.0556,159446.9631,182545.7532,146898.6679,162728.1424,156442.0109,159382.2703,157533.6265,157266.2524,155975.6147,155146.1992,154437.6536,154141.1831,154053.7605,153996.707,153690.7963,152946.0523,151697.158,150043.5906,148203.9973
