Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,720690.3733,790837.7039,796109.9285,812249.0117,749245.8621,799272.3021,855656.2277,885328.6233,946513.67,901367.7461,938386.8033,915547.4085,953879.3274,948696.837,954957.2998,955666.4302,958796.1459,960631.1696,962939.8693,964982.7324,967225.3797,969552.92,972068.0553,974698.4556,977390.4368,980051.8947,982624.1874,985087.6401,987477.3107,989866.0608
AUSTRIA,15674.38335,15683.56666,16889.71588,15009.13004,14675.62723,13856.33992,15512.7921,16058.75409,15933.72484,13854.92696,13148.04207,13412.15676,13264.75811,10595.93478,11625.01117,11048.00504,10982.66655,10464.95514,9934.278344,9290.499561,8695.574226,8182.39743,7784.141394,7460.538892,7138.992983,6730.97785,6170.360984,5436.371868,4620.916088,3927.778675
BELGIUM,13666.31969,9538.042482,9956.813427,12428.02008,13561.02835,13908.40623,14017.90483,14324.12282,13671.82703,15077.771,15394.4666,15377.10533,13250.45309,7829.563853,9939.226758,8885.724771,9010.090693,8392.623236,7887.994727,7213.531703,6609.484426,6076.759443,5662.774426,5321.505001,4982.78434,4556.789896,3977.393267,3380.784277,2873.666635,2442.61664
FINLAND,5759.464352,5900.003284,5929.622446,6512.377081,6646.577416,7366.068017,8473.598901,8218.108403,7017.378982,7507.75929,9044.862441,9834.863645,9551.074759,8729.311664,9140.95846,8970.309317,8873.711325,8516.855103,8067.551309,7542.707616,7053.347246,6654.380777,6369.730066,6163.23032,5960.527513,5673.705026,5236.198839,4627.315042,3933.217786,3343.235118
FRANCE,75737.0112,69255.25899,64853.52815,72903.52507,71827.84805,72204.89451,81918.85427,74595.05948,57048.33066,57455.75114,79892.66029,79656.85299,81156.06433,70116.55301,74906.39387,72953.77729,73799.69656,73171.13401,73011.06816,72533.06041,72196.83411,71903.91589,71744.84855,71654.67684,71572.64061,71406.17382,71091.7458,70607.70849,69987.29714,69304.02722
GERMANY,57423.20522,55497.89787,64365.41074,57460.66397,80569.75107,85594.60164,73795.39141,86184.5056,102666.1831,104953.4135,102899.8639,102563.032,106196.1537,92697.04196,99000.90242,96862.77866,98298.78388,97913.6434,98179.36817,98051.18181,98119.01849,98217.16064,98466.72545,98785.59205,99123.36369,99384.99746,99511.6361,99482.02159,99329.22074,99122.1045
ITALY,27359.50448,24224.68423,23538.30514,27064.17871,34917.2953,41126.59253,48515.69548,48395.11142,56186.40342,44626.53398,49866.90606,46510.66783,63187.37654,54520.55511,58942.42263,57548.78756,58564.03322,58280.5373,58403.90448,58242.73243,58223.18703,58258.03741,58431.8327,58678.94467,58941.1666,59127.02844,59175.8891,59067.23075,58830.99928,58539.91716
NETHERLANDS,72315.66574,55940.51243,62271.08623,65508.85182,34338.53707,43472.09877,47165.30332,40408.68011,44468.98145,43670.09046,41421.22787,43741.78524,42740.20476,28880.0237,34380.91484,31709.88753,32431.89372,31418.2079,30970.4864,30152.5307,29488.30299,28851.73088,28345.54457,27900.73934,27459.4018,26927.65651,26242.64567,25383.07888,24382.93704,23315.76429
PORTUGAL,3411.406944,2366.09201,2615.159366,3491.827464,4519.686348,5064.097691,5762.494813,6342.258639,8640.827757,7410.653037,8208.936878,9004.961132,9736.387207,10007.16961,10057.82803,10115.2717,9994.615501,9725.630637,9318.550273,8857.513384,8424.480221,8086.663137,7862.615199,7718.358772,7578.638038,7356.10979,6984.291964,6442.85489,5765.037358,5024.689786
SPAIN,31493.07285,31053.59781,25871.67987,34081.85722,43678.04436,48094.28552,57951.34005,56769.24431,51655.88864,54602.34276,54163.35187,53148.98771,60848.58439,48966.22263,54242.71414,52147.33695,53127.42342,52511.20885,52422.08413,51991.87156,51715.39972,51479.21785,51380.39436,51351.25351,51332.23567,51230.26543,50982.01743,50565.71932,50014.53022,49401.33242
SWEDEN,11067.76627,9472.269865,10719.31424,11864.60943,11812.90079,15069.13873,10700.9543,12371.17636,15132.55181,9585.64963,12355.33255,13489.61628,15279.22955,12344.46349,13646.97123,13092.39146,13167.66158,12740.40802,12327.48188,11791.26608,11310.22386,10910.74881,10629.06589,10423.56686,10222.32959,9936.790991,9501.256378,8895.289214,8152.322094,7346.186683
UNITED KINGDOM  ,51545.03032,83125.53834,62335.38797,94340.87076,108314.1347,118270.7892,102699.0948,101278.5503,124322.5766,109242.9896,89753.21738,82460.52517,69145.11976,78293.23345,73935.24853,75457.55452,74284.13508,74100.33736,73278.959,72614.84388,71880.29858,71276.35782,70762.52201,70329.9549,69892.51954,69368.19999,68689.04288,67836.0998,66842.44154,65782.03349
CZECH REPUBLIC ,8217.870698,8007.51741,7469.191141,8704.808228,8775.600512,10263.69172,9569.767736,9641.80893,9202.140231,8736.188949,8226.20904,8665.264461,11237.82999,10738.64075,11073.39011,10943.57109,10838.29948,10494.17976,10049.22898,9532.880136,9050.710855,8659.756711,8382.85776,8184.163599,7989.221443,7710.384648,7281.334353,6681.671043,5944.622287,5143.968346
HUNGARY,2693.361473,4286.871644,5376.665627,6887.958638,7467.99051,5969.008009,7427.040691,9121.878137,10588.01339,9626.319983,10937.5549,9081.614793,9973.795491,11587.65554,11029.5828,11300.92301,11045.81916,10798.22958,10345.60136,9867.367802,9404.503558,9041.656884,8789.797491,8618.113213,8450.000455,8198.763905,7797.743721,7226.766348,6519.055675,5748.495045
POLAND,13437.20537,16030.90876,16631.77324,15781.29078,19225.65296,25731.92829,32953.58017,38362.86315,41918.50763,41057.8251,34664.34439,39746.12767,46359.1537,50882.60575,49719.50526,50838.18582,50807.42023,51094.52572,51044.99394,51048.80157,51045.20092,51163.10129,51390.20149,51706.8305,52033.29238,52288.1129,52405.99605,52368.65625,52207.51931,51992.50606
ROMANIA,5796.734546,5767.027664,5732.448612,6545.48245,7480.737904,7365.445418,8619.73628,10311.33459,11943.76743,12951.29094,12160.8433,11760.84766,11153.72317,8958.148589,9922.754842,9513.306476,9519.999737,9119.461602,8688.99664,8154.68132,7667.478841,7265.49544,6979.887812,6771.391041,6566.993586,6278.29711,5839.074435,5228.635959,4480.071553,3808.06082
