Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,-22041028.49,-24186359.37,-24347600.94,-24841185.99,-22914347.13,-24444316.49,-26168718.2,-27076195.45,-28947430.88,-27566723.39,-28698885.16,-28000383.05,-29172696.36,-29014199.14,-29205664.22,-29227351.71,-29323068.47,-29379189.4,-29449796.86,-29512274.18,-29580861.54,-29652045.2,-29728966.13,-29809412.23,-29891741.66,-29973137.6,-30051806.59,-30127146.89,-30200230.7,-30273286.36
AUSTRIA,-479373.0328,-479653.8878,-516541.8086,-459027.4477,-448827.8597,-423771.4199,-474431.0529,-491128.3258,-487304.5292,-423728.2071,-402109.3947,-410186.8711,-405678.9464,-324057.7494,-355530.2136,-337883.5111,-335885.25,-320051.9708,-303822.1684,-284133.3436,-265938.6143,-250244.0181,-238064.0682,-228167.2634,-218333.3558,-205854.9413,-188709.4753,-166261.7285,-141322.4693,-120124.0989
BELGIUM,-417959.9906,-291704.0019,-304511.3637,-380088.8075,-414739.843,-425363.7752,-428712.5944,-438077.725,-418128.4227,-461126.7091,-470812.2788,-470281.3153,-405241.453,-239453.233,-303973.5068,-271754.0293,-275557.539,-256673.3991,-241240.237,-220612.9895,-202139.2819,-185846.8393,-173185.8466,-162748.7305,-152389.5637,-139361.2842,-121641.4726,-103395.2517,-87885.96395,-74703.06936
FINLAND,-176142.9354,-180441.0677,-181346.9169,-199169.4271,-203273.7047,-225278.0404,-259149.8953,-251336.1745,-214614.0087,-229611.415,-276620.9708,-300781.7473,-292102.5709,-266970.4136,-279559.896,-274340.8966,-271386.6195,-260472.809,-246731.6545,-230680.2471,-215714.0339,-203512.3566,-194806.8228,-188491.3967,-182292.0932,-173520.1395,-160139.7938,-141518.1698,-120290.4444,-102246.8777
FRANCE,-2316281.281,-2118048.461,-1983429.381,-2229624.167,-2196726.505,-2208257.798,-2505341.916,-2281356.727,-1744721.35,-1757181.578,-2443374.39,-2436162.645,-2482013.347,-2144389.601,-2290878.333,-2231161.041,-2257031.971,-2237808.508,-2232913.18,-2218294.166,-2208011.285,-2199052.904,-2194188.113,-2191430.373,-2188921.441,-2183830.351,-2174214.132,-2159410.715,-2140436.541,-2119539.951
GERMANY,-1756186.219,-1697304.131,-1968501.182,-1757331.828,-2464082.003,-2617758.087,-2256900.306,-2635799.247,-3139861.929,-3209812.787,-3147008.641,-3136707.237,-3247819.779,-2834973.545,-3027765.863,-2962375.165,-3006292.821,-2994513.987,-3002640.705,-2998720.354,-3000795.018,-3003796.52,-3011429.015,-3021180.98,-3031511.123,-3039512.725,-3043385.741,-3042480.035,-3037806.893,-3031472.613
ITALY,-836741.6023,-740868.7212,-719877.0419,-827709.5906,-1067883.142,-1257783.413,-1483765.936,-1480078.087,-1718360.844,-1364822.874,-1525090.299,-1422445.744,-1932473.109,-1667413.848,-1802648.772,-1760026.931,-1791076.407,-1782406.19,-1786179.156,-1781249.996,-1780652.235,-1781718.072,-1787033.29,-1794590.769,-1802610.358,-1808294.611,-1809788.927,-1806465.805,-1799241.087,-1790338.861
NETHERLANDS,-2211645.538,-1710840.707,-1904450.005,-2003471.286,-1050182.855,-1329516.534,-1442466.602,-1235827.343,-1360004.411,-1335571.757,-1266794.309,-1337764.414,-1307132.863,-883243.9682,-1051478.903,-969790.3013,-991871.5719,-960869.8008,-947177.0379,-922161.323,-901847.1044,-882378.6825,-866897.8781,-853294.3041,-839796.7834,-823534.3028,-802584.4694,-776296.1537,-745708.6009,-713071.0273
PORTUGAL,-104331.7913,-72362.70017,-79979.9806,-106791.3094,-138226.5384,-154876.3874,-176235.6166,-193966.6582,-264264.2913,-226641.5936,-251055.6798,-275400.6605,-297770.0213,-306051.4176,-307600.7151,-309357.527,-305667.4726,-297441.0508,-284991.2246,-270891.2344,-257647.6881,-247316.1557,-240464.0495,-236052.2242,-231779.115,-224973.4858,-213602.1013,-197043.215,-176313.3758,-153671.167
SPAIN,-963159.4116,-949718.8519,-791239.1425,-1042332.76,-1335815.012,-1470877.864,-1772338.28,-1736185.992,-1579803.138,-1669915.177,-1656489.424,-1625466.907,-1860945.326,-1497544.504,-1658916.577,-1594833.207,-1624807.402,-1605961.579,-1603235.859,-1590078.575,-1581623.178,-1574399.977,-1571377.637,-1570486.416,-1569904.789,-1566786.212,-1559193.99,-1546462.255,-1529605.12,-1510851.561
