Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,-1947811.82,-2137399.2,-2151648.455,-2195267.599,-2024988.817,-2160195.411,-2312584.399,-2392780.063,-2558145.054,-2436129.043,-2536180.549,-2474452.455,-2578052.236,-2564045.505,-2580965.675,-2582882.244,-2591340.935,-2596300.458,-2602540.187,-2608061.439,-2614122.648,-2620413.297,-2627210.96,-2634320.15,-2641595.775,-2648788.905,-2655741.047,-2662399.027,-2668857.597,-2675313.678
AUSTRIA,-42363.19825,-42388.01799,-45647.88076,-40565.21631,-39663.85737,-37449.56734,-41926.46514,-43402.03809,-43064.12118,-37445.74853,-35535.24884,-36249.07233,-35850.69759,-28637.66158,-31418.94911,-29859.47307,-29682.88256,-28283.66254,-26849.40093,-25109.45827,-23501.55196,-22114.58765,-21038.21998,-20163.61863,-19294.57563,-18191.83203,-16676.65131,-14692.89694,-12488.9624,-10615.61804
BELGIUM,-36935.99917,-25778.49319,-26910.30656,-33589.24345,-36651.42798,-37590.28711,-37886.22927,-38713.84546,-36950.88386,-40750.73243,-41606.6665,-41559.74414,-35812.03538,-21160.98339,-26862.77502,-24015.47235,-24351.59647,-22682.7655,-21318.90467,-19496.03163,-17863.47142,-16423.67417,-15304.79574,-14382.44595,-13466.9847,-12315.64837,-10749.71153,-9137.254802,-7766.666582,-6601.666594
FINLAND,-15566.11987,-15945.95482,-15945.95482,-17601.01914,-17963.72274,-19908.29194,-22901.61865,-22211.10379,-18965.88914,-20291.24132,-24445.57416,-26580.71255,-25813.71556,-23592.73423,-24705.29314,-24244.07923,-23983.00358,-23018.5273,-21804.19273,-20385.69626,-19063.10067,-17984.81291,-17215.48666,-16657.37924,-16109.53382,-15334.33791,-14151.88875,-12506.25687,-10630.31834,-9035.770588
FRANCE,-204694.6249,-187176.3756,-175279.8058,-197036.5543,-194129.319,-195148.3635,-221402.3088,-201608.2689,-154184.6775,-155285.8139,-215926.1089,-215288.7919,-219340.7144,-189504.1973,-202449.7132,-197172.3711,-199458.6393,-197759.8217,-197327.2112,-196035.2984,-195126.5787,-194334.9078,-193904.9961,-193661.2888,-193439.5692,-192989.659,-192139.8535,-190831.6446,-189154.8571,-187308.1817
GERMANY,-155197.8519,-149994.3186,-173960.5696,-155299.0918,-217756.084,-231336.7612,-199447.0038,-232931.0962,-277476.1704,-283657.8742,-278107.7404,-277197.3838,-287016.6316,-250532.5458,-267570.0065,-261791.2937,-265672.3889,-264631.4686,-265349.6437,-265003.1941,-265186.5365,-265451.7855,-266126.285,-266988.0866,-267900.9829,-268608.1013,-268950.3678,-268870.3286,-268457.3533,-267897.5797
ITALY,-73944.60671,-65472.11955,-63617.04091,-73146.42894,-94371.06837,-111152.9528,-131123.5013,-130797.5984,-151855.1444,-120612.254,-134775.4218,-125704.5077,-170776.6933,-147352.8516,-159303.845,-155537.2637,-158281.1709,-157514.9657,-157848.3905,-157412.7903,-157359.9649,-157454.1552,-157923.8722,-158591.7424,-159300.4503,-159802.7796,-159934.8354,-159641.1642,-159002.7007,-158215.9923
NETHERLANDS,-195447.7452,-151190.5741,-168300.233,-177050.9509,-92806.85694,-117492.1588,-127473.7928,-109212.649,-120186.4363,-118027.2715,-111949.2645,-118221.0412,-115514.0669,-78054.11812,-92921.39146,-85702.39872,-87653.76682,-84914.07542,-83704.01731,-81493.32622,-79698.1162,-77977.65101,-76609.57993,-75407.40362,-74214.59946,-72777.45002,-70926.06939,-68602.9159,-65899.82985,-63015.57915
PORTUGAL,-9220.018768,-6394.84327,-7067.998285,-9437.371526,-12215.36851,-13686.75052,-15574.3103,-17141.23956,-23353.58853,-20028.79199,-22186.31589,-24337.73279,-26314.56002,-27046.40435,-27183.31901,-27338.57215,-27012.47433,-26285.48821,-25185.27101,-23939.22536,-22768.86546,-21855.84632,-21250.31135,-20860.42911,-20482.80551,-19881.37781,-18876.46477,-17413.12132,-15581.18205,-13580.24267
SPAIN,-85116.41312,-83928.64272,-69923.4591,-92113.12762,-118048.7685,-129984.5555,-156625.2434,-153430.39,-139610.5098,-147573.8994,-146387.4375,-143645.9127,-164455.6335,-132341.1422,-146601.9301,-140938.7485,-143587.6309,-141922.1861,-141681.3084,-140518.5718,-139771.3506,-139133.0212,-138865.9307,-138787.1717,-138735.7721,-138460.1768,-137789.2363,-136664.1063,-135174.406,-133517.1146
