Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,-1589004.379,-1743667.768,-1755292.161,-1790876.199,-1651964.561,-1762264.677,-1886582.01,-1952004.788,-2086907.807,-1987368.43,-2068989.396,-2018632.266,-2103147.877,-2091721.333,-2105524.63,-2107088.146,-2113988.657,-2118034.584,-2123124.89,-2127629.069,-2132573.739,-2137705.585,-2143251.047,-2149050.649,-2105524.63,-2107088.146,-2113988.657,-2118034.584,-2123124.89,-2127629.069
AUSTRIA,-34559.4512,-34579.69888,-37239.06062,-33092.67647,-32357.35732,-30550.96283,-34203.16893,-35406.92581,-35131.25675,-30547.84749,-28989.28195,-29571.61164,-29246.62172,-23362.30287,-25631.24796,-24359.04382,-24214.98314,-23073.51418,-21903.45865,-20484.03175,-19172.31871,-18040.84782,-17162.75841,-16449.26783,-25631.24796,-24359.04382,-24214.98314,-23073.51418,-21903.45865,-20484.03175
BELGIUM,-30131.99932,-21029.82339,-21953.14483,-27401.75124,-29899.84914,-30665.76054,-30907.18704,-31582.34762,-30144.1421,-33244.01857,-33942.28056,-33904.0018,-29215.08149,-17262.9075,-21914.3691,-19591.56955,-19865.77607,-18504.36133,-17391.73802,-15904.65738,-14572.83195,-13398.26051,-12485.49127,-11733.04801,-21914.3691,-19591.56955,-19865.77607,-18504.36133,-17391.73802,-15904.65738
FINLAND,-12698.67674,-13008.54209,-13073.8475,-14358.72614,-14654.61592,-16240.975,-18682.89943,-18119.58467,-15472.17272,-16553.38108,-19942.44208,-21684.2655,-21058.55743,-19246.70424,-20154.31808,-19778.06464,-19565.08187,-18778.27227,-17787.63091,-16630.43642,-15551.47686,-14671.82106,-14044.2128,-13588.91465,-20154.31808,-19778.06464,-19565.08187,-18778.27227,-17787.63091,-16630.43642
FRANCE,-166987.7203,-152696.517,-142991.4205,-160740.3469,-158368.655,-159199.9808,-180617.673,-164469.9036,-125782.2369,-126680.5324,-176150.2467,-175630.3302,-178935.846,-154595.5294,-165156.345,-160851.1448,-162716.2584,-161330.3808,-160977.4618,-159923.5329,-159182.2089,-158536.3722,-158185.6547,-157986.8408,-165156.345,-160851.1448,-162716.2584,-161330.3808,-160977.4618,-159923.5329
GERMANY,-126608.7739,-122363.7862,-141915.2015,-126691.3644,-177643.1211,-188722.0947,-162706.7663,-190022.7364,-226362.139,-231405.1079,-226877.3671,-226134.7078,-234145.1468,-204381.8137,-218280.7948,-213566.5817,-216732.7383,-215883.5665,-216469.4462,-216186.8162,-216336.385,-216552.7724,-217103.022,-217806.0707,-218280.7948,-213566.5817,-216732.7383,-215883.5665,-216469.4462,-216186.8162
ITALY,-60323.23179,-53411.46595,-51898.11232,-59672.08676,-76986.9242,-90677.40885,-106969.1721,-106703.304,-123881.8283,-98394.2072,-109948.3704,-102548.4141,-139317.8288,-120208.9053,-129958.3998,-126885.6625,-129124.1131,-128499.0509,-128771.0554,-128415.6974,-128372.603,-128449.4424,-128832.6325,-129377.474,-129958.3998,-126885.6625,-129124.1131,-128499.0509,-128771.0554,-128415.6974
NETHERLANDS,-159444.2132,-123339.6789,-137297.5585,-144436.302,-75710.85698,-95848.86642,-103991.7783,-89094.52941,-98046.82965,-96285.40571,-91327.03158,-96443.48098,-94235.15986,-63675.72794,-75804.29304,-69915.11475,-71507.0203,-69272.00889,-68284.85622,-66481.3977,-65016.88427,-63613.34688,-62497.28889,-61516.56611,-75804.29304,-69915.11475,-71507.0203,-69272.00889,-68284.85622,-66481.3977
PORTUGAL,-7521.594258,-5216.845826,-5765.998601,-7698.90835,-9965.169047,-11165.507,-12705.35841,-13983.6428,-19051.6117,-16339.27768,-18099.36296,-19854.46622,-21467.14107,-22064.17197,-22175.86551,-22302.51939,-22036.49221,-21443.42459,-20545.87898,-19529.36806,-18574.60077,-17829.76936,-17335.78031,-17017.71849,-22175.86551,-22302.51939,-22036.49221,-21443.42459,-20545.87898,-19529.36806
SPAIN,-69437.07386,-68468.10328,-57042.8219,-75144.9199,-96302.94276,-106040.0321,-127773.2249,-125166.8971,-113892.7844,-120389.2337,-119421.3306,-117184.8236,-134161.1747,-107962.5108,-119596.3114,-114976.3475,-117137.2778,-115778.6255,-115582.1201,-114633.5717,-114023.9965,-113503.2542,-113285.3645,-113221.1137,-119596.3114,-114976.3475,-117137.2778,-115778.6255,-115582.1201,-114633.5717
