Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,2562910.289,2812367.368,2831116.389,2888509.999,2664458.969,2842362.383,3042874.209,3148394.82,3365980.334,3205432.952,3337079.67,3255858.494,3392173.995,3373744.086,3396007.467,3398529.268,3409659.125,3416184.814,3424394.983,3431659.788,3439635.063,3447912.233,3456856.527,3466210.724,3475783.914,3485248.559,3494396.115,3503156.615,3511654.732,3520149.576
AUSTRIA,55741.05033,55773.70788,60063.001,53375.28462,52189.28601,49275.7465,55166.4015,57107.94486,56663.31735,49270.72175,46756.90636,47696.1478,47171.97051,37681.13366,41340.72251,39288.78036,39056.42442,37215.34545,35328.15912,33038.76088,30923.09469,29098.14164,27681.8684,26531.07714,25387.59951,23936.62109,21942.96225,19332.75913,16432.84526,13967.91847
BELGIUM,48599.99891,33919.06999,35408.29811,44196.37296,48225.56314,49460.9041,49850.30167,50939.27035,48619.58403,53619.38478,54745.61381,54683.87387,47121.09918,27843.39919,35345.75661,31599.30573,32041.5743,29845.74408,28051.19035,25652.6732,23504.56766,21610.09759,20137.88914,18924.27099,17719.71671,16204.80049,14144.35728,12022.70369,10219.29813,8686.403414
FINLAND,20481.73667,20981.5195,21086.8508,23159.23571,23636.4773,26195.12097,30133.70875,29225.13657,24955.11729,26699.00174,32165.22916,34974.62178,33965.41522,31043.07135,32506.96465,31900.10426,31556.58366,30287.53593,28689.72727,26823.28455,25083.02719,23664.22751,22651.95614,21917.60427,21196.75503,20176.7604,18620.90625,16455.60114,13987.26097,11889.17183
FRANCE,269335.0327,246284.7048,230631.3234,259258.624,255433.3145,256774.1626,291318.8274,265274.038,202874.5756,204323.4393,284113.3012,283274.7261,288606.2032,249347.6281,266381.2015,259437.3303,262445.5781,260210.2917,259641.0674,257941.1821,256745.4983,255703.826,255138.1527,254817.4852,254525.749,253933.7618,252815.5967,251094.2692,248887.9699,246458.1338
GERMANY,204207.6999,197360.9455,228895.4863,204340.9103,286521.1631,304390.4753,262430.2682,306488.2845,365100.2243,373234.045,365931.2373,364733.3997,377653.4627,329648.0866,352065.7981,344462.2285,349568.9327,348199.3008,349144.268,348688.4133,348929.6532,349278.6652,350166.1645,351300.114,352501.2933,353431.7122,353882.0629,353776.7482,353233.3597,352496.8154
ITALY,97295.53515,86147.52572,83706.63278,96245.30123,124172.4584,146253.8852,172530.9228,172102.1032,199809.4005,158700.3342,177336.0813,165400.668,224706.1754,193885.3311,209610.3223,204654.2943,208264.6985,207256.5338,207695.2507,207122.0926,207052.5855,207176.52,207794.5686,208673.3452,209605.8556,210266.8152,210440.5729,210054.1634,209214.0799,208178.9373
NETHERLANDS,257168.0858,198934.9659,221447.6751,232961.7775,122114.2855,154594.9458,167728.6747,143700.8539,158140.0478,155299.0415,147301.6638,155554.0016,151992.1933,102702.787,122264.9888,112766.3141,115333.9037,111729.0466,110136.8649,107228.0608,104865.9424,102602.1724,100802.0789,99220.26792,97650.78877,95759.80265,93323.77551,90266.99461,86710.30243,82915.23573
PORTUGAL,12131.60364,8414.267461,9299.997744,12417.59411,16072.8533,18008.88226,20492.51356,22554.26258,30728.40596,26353.67367,29192.5209,32023.33262,34624.42108,35587.37414,35767.52501,35971.80546,35542.72938,34586.16869,33138.51448,31498.98074,29959.0335,28757.69252,27960.93598,27447.93304,26951.05988,26159.70765,24837.45364,22912.00174,20501.55533,17868.74035
SPAIN,111995.2804,110432.4246,92004.55145,121201.4837,155327.327,171032.3098,206085.8465,201882.0922,183698.0393,194176.1834,192615.0493,189007.7799,216388.9914,174133.0819,192897.2765,185445.7217,188931.0932,186739.7185,186422.7743,184892.8576,183909.6718,183069.7648,182718.3299,182614.6996,182547.0685,182184.4432,181301.6267,179821.1925,177861.0605,175680.414
