Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,102516.4116,112494.6947,113244.6555,115540.4,106578.3588,113694.4953,121714.9684,125935.7928,134639.2134,128217.3181,133483.1868,130234.3398,135686.9598,134949.7634,135840.2987,135941.1707,136386.365,136647.3925,136975.7993,137266.3915,137585.4025,137916.4893,138274.2611,138648.429,135840.2987,135941.1707,136386.365,136647.3925,136975.7993,137266.3915
AUSTRIA,2229.642013,2230.948315,2402.52004,2135.011385,2087.57144,1971.02986,2206.65606,2284.317794,2266.532694,1970.82887,1870.276255,1907.845912,1886.87882,1507.245346,1653.628901,1571.551214,1562.256977,1488.613818,1413.126365,1321.550435,1236.923788,1163.925666,1107.274736,1061.243086,1653.628901,1571.551214,1562.256977,1488.613818,1413.126365,1321.550435
BELGIUM,1943.999956,1356.7628,1416.331924,1767.854918,1929.022525,1978.436164,1994.012067,2037.570814,1944.783361,2144.775391,2189.824552,2187.354955,1884.843967,1113.735968,1413.830264,1263.972229,1281.662972,1193.829763,1122.047614,1026.106928,940.1827063,864.4039037,805.5155655,756.9708394,1413.830264,1263.972229,1281.662972,1193.829763,1122.047614,1026.106928
FINLAND,819.2694668,839.2607801,839.2607801,926.3694283,945.4590918,1047.804839,1205.34835,1169.005463,998.2046917,1067.96007,1286.609167,1398.984871,1358.616609,1241.722854,1300.278586,1276.00417,1262.263346,1211.501437,1147.589091,1072.931382,1003.321088,946.5691005,906.0782455,876.7041707,1300.278586,1276.00417,1262.263346,1211.501437,1147.589091,1072.931382
FRANCE,10773.40131,9851.388192,9225.252937,10370.34496,10217.33258,10270.9665,11652.7531,10610.96152,8114.983024,8172.937574,11364.53205,11330.98905,11544.24813,9973.905122,10655.24806,10377.49321,10497.82312,10408.41167,10385.6427,10317.64728,10269.81993,10228.15304,10205.52611,10192.69941,10655.24806,10377.49321,10497.82312,10408.41167,10385.6427,10317.64728
GERMANY,8168.307997,7894.437819,9155.819451,8173.636411,11460.84652,12175.61901,10497.21073,12259.53138,14604.00897,14929.3618,14637.24949,14589.33599,15106.13851,13185.92346,14082.63192,13778.48914,13982.75731,13927.97203,13965.77072,13947.53653,13957.18613,13971.14661,14006.64658,14052.00456,14082.63192,13778.48914,13982.75731,13927.97203,13965.77072,13947.53653
ITALY,3891.821406,3445.901029,3348.265311,3849.812049,4966.898335,5850.15541,6901.236911,6884.084128,7992.37602,6348.013368,7093.443252,6616.026719,8988.247018,7755.413244,8384.412892,8186.171772,8330.58794,8290.261351,8307.810026,8284.883702,8282.103418,8287.060798,8311.782745,8346.933808,8384.412892,8186.171772,8330.58794,8290.261351,8307.810026,8284.883702
NETHERLANDS,10286.72343,7957.398638,8857.907002,9318.471098,4884.571418,6183.797833,6709.146987,5748.034155,6325.601913,6211.961658,5892.066554,6222.160063,6079.687733,4108.11148,4890.599551,4510.652564,4613.356148,4469.161864,4405.474595,4289.122433,4194.637695,4104.086896,4032.083154,3968.810717,4890.599551,4510.652564,4613.356148,4469.161864,4405.474595,4289.122433
PORTUGAL,485.2641457,336.5706984,371.9999098,496.7037645,642.914132,720.3552903,819.7005423,902.1705034,1229.136238,1054.146947,1167.700836,1280.933305,1384.976843,1423.494966,1430.701,1438.872218,1421.709175,1383.446748,1325.540579,1259.95923,1198.36134,1150.307701,1118.437439,1097.917322,1430.701,1438.872218,1421.709175,1383.446748,1325.540579,1259.95923
SPAIN,4479.811217,4417.296986,3680.182058,4848.059349,6213.093081,6841.292393,8243.433862,8075.283686,7347.921571,7767.047334,7704.601973,7560.311197,8655.559657,6965.323275,7715.891058,7417.828869,7557.24373,7469.588741,7456.910971,7395.714304,7356.386873,7322.790591,7308.733195,7304.587982,7715.891058,7417.828869,7557.24373,7469.588741,7456.910971,7395.714304
SWEDEN,1574.362201,1347.406809,1524.795766,1687.711156,1680.35573,2143.547473,1522.18411,1759.769041,2152.567825,1363.534798,1757.515299,1918.864336,2173.432368,1755.969203,1941.247685,1862.360095,1873.067081,1812.291326,1753.553611,1677.278247,1608.851189,1552.026858,1511.958164,1482.726439,1941.247685,1862.360095,1873.067081,1812.291326,1753.553611,1677.278247
UNITED KINGDOM  ,7332.15225,11824.4009,8867.053765,13419.75402,15407.41603,16823.72535,14608.69058,14406.62167,17684.57704,15539.54332,12767.17175,11729.80443,9835.72116,11137.01756,10517.10505,10733.64929,10566.7333,10540.58853,10423.7495,10329.28078,10224.79354,10138.88447,10065.79261,10004.26101,10517.10505,10733.64929,10566.7333,10540.58853,10423.7495,10329.28078
CZECH REPUBLIC ,1168.97165,1139.049418,1062.473847,1238.237301,1248.307327,1459.984597,1361.275638,1371.523319,1308.981541,1242.701131,1170.157758,1232.612299,1598.553341,1527.544915,1575.162178,1556.695745,1541.72112,1492.770947,1429.477807,1356.028469,1287.441089,1231.828835,1192.440649,1164.176899,1575.162178,1556.695745,1541.72112,1492.770947,1429.477807,1356.028469
HUNGARY,383.1239648,609.7968199,764.8173011,979.7949698,1062.30306,849.0765304,1056.47805,1297.564458,1506.118548,1369.320054,1555.839957,1291.837097,1418.74758,1648.315154,1568.930696,1607.528166,1571.240278,1536.021277,1471.63604,1403.608507,1337.76722,1286.153184,1250.326812,1225.905151,1568.930696,1607.528166,1571.240278,1536.021277,1471.63604,1403.608507
POLAND,1911.409014,2280.356864,2365.828341,2244.849329,2734.801275,3660.302745,4687.564747,5457.021786,5962.803361,5840.373414,4930.916699,5653.78772,6594.47421,7237.924004,7072.475855,7231.60538,7227.229051,7268.069092,7261.02332,7261.564946,7261.052762,7277.823796,7310.128235,7355.167923,7072.475855,7231.60538,7227.229051,7268.069092,7261.02332,7261.564946
ROMANIA,824.5710592,820.3453292,815.4265452,931.0785846,1064.116345,1047.716276,1226.136028,1466.761678,1698.971185,1842.288896,1729.849687,1672.951304,1586.589355,1274.274337,1411.487175,1353.244164,1354.196264,1297.220711,1235.988142,1159.983118,1090.679778,1033.49864,992.871666,963.2135193,1411.487175,1353.244164,1354.196264,1297.220711,1235.988142,1159.983118
SLOVAKIA,507.6135547,735.1657992,773.604,770.5571904,823.9898203,825.1776,819.1831608,864.8496,879.0537629,785.9800771,817.2432,779.3120074,856.9152,787.88592,818.6564066,796.780814,771.6163784,715.1394922,642.7678356,560.5091062,482.5465335,417.4231432,368.307803,330.2564094,818.6564066,796.780814,771.6163784,715.1394922,642.7678356,560.5091062
SLOVENIA,262.9909776,296.3608595,270.4725111,177.9277739,291.8600988,385.7170007,445.7694993,593.1883587,634.2877223,559.1751263,382.9655774,598.4572135,555.0466168,589.8706741,582.7722052,582.4522871,554.116789,504.9692718,435.4676338,370.1474887,314.6253654,267.4315606,227.3168265,193.2193025,582.7722052,582.4522871,554.116789,504.9692718,435.4676338,370.1474887
SERBIA,98.5611168,98.95636747,658.0817808,613.2929744,496.58324,473.807104,462.2831227,367.4533779,229.9777024,294.3402328,232.9482536,421.8102559,581.0488551,590.9977111,601.0399481,597.3803657,574.2652902,526.8171997,460.5665041,391.4815285,332.7592992,282.8454043,240.4185937,210.8027991,601.0399481,597.3803657,574.2652902,526.8171997,460.5665041,391.4815285
RUSSIA,24014.14965,25514.20072,29819.45147,24763.07408,15761.55555,16286.03342,20570.41297,20932.19437,22361.42205,17917.3158,21768.91048,17456.91733,19236.83371,22060.25675,20931.95352,21468.90851,21266.99878,21373.11753,21314.27751,21315.56591,21292.43922,21296.23006,21311.13522,21340.04358,20931.95352,21468.90851,21266.99878,21373.11753,21314.27751,21315.56591
AZERBAIJAN,181.8392815,4940.015949,5431.815671,5552.483713,5576.482523,5544.942879,5626.829332,5799.730115,6068.972575,6329.422687,6841.427912,7114.336056,7550.549093,8709.678148,8279.129722,8515.939458,8442.350067,8479.976126,8440.432178,8420.4599,8393.656241,8386.006684,8392.930649,8412.455558,8279.129722,8515.939458,8442.350067,8479.976126,8440.432178,8420.4599
BELARUS,10444.44353,11326.3096,8585.784007,9071.239264,4356.28613,4589.58675,5705.654643,7057.50703,7060.623579,6622.678607,6781.239136,6971.791889,4114.446343,4164.465891,4089.439826,4081.20951,4018.837526,3946.805911,3849.341902,3745.864249,3644.725201,3556.825704,3484.126548,3422.027571,4089.439826,4081.20951,4018.837526,3946.805911,3849.341902,3745.864249
KAZAKHSTAN,1308.981898,2900.733312,2413.784705,2119.721526,1978.85893,1522.850063,1414.443519,1381.854874,2147.601412,2925.51936,2873.491073,3008.761561,3278.131557,4128.806486,3820.031768,3993.586133,3936.692048,3953.621667,3910.190407,3878.061624,3842.485432,3824.378405,3821.394735,3830.824296,3820.031768,3993.586133,3936.692048,3953.621667,3910.190407,3878.061624
UKRAINE,3754.273182,4865.461698,4912.449947,4013.524729,3650.454923,3826.875571,4219.422629,4627.855295,5313.6375,5824.689204,6812.564233,6801.671959,7175.587532,7759.602646,7605.747308,7755.139816,7750.067934,7785.899263,7775.747274,7772.079064,7767.710751,7780.314048,7808.58113,7849.381799,7605.747308,7755.139816,7750.067934,7785.899263,7775.747274,7772.079064
UZBEKISTAN ,1123.10881,1248.980352,1485.21521,1810.075994,2055.248954,2171.821159,2330.831276,2639.688833,3049.591235,3393.793583,3721.648167,4206.561238,4807.784636,5409.080357,5245.437725,5392.12399,5381.538925,5412.81006,5397.676233,5388.87744,5379.37104,5386.768365,5409.898967,5445.304036,5245.437725,5392.12399,5381.538925,5412.81006,5397.676233,5388.87744
