Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,-927645.2065,-880153.6007,-875916.0387,-879826.0798,-916968.568,-916900.2843,-898544.8574,-879953.8161,-891728.0336,-759050.5951,-728009.6023,-766413.6237,-815946.8821,-788543.578,-738280.6159,-708180.806,-800978.9895,-703709.8993,-684124.2072,-820949.0485,-677248.3481,-667503.1189,-801003.7427,-694328.5159,-649043.4914,-778852.1895,-740900.1995,-598340.294,-718008.3527,-861610.0232
AUSTRIA,-16974.19322,-15281.98749,-15832.05136,-15927.72563,-15205.96287,-12171.49148,-12185.65126,-14538.63506,-15277.83138,-14849.03672,-15073.87382,-15219.43019,-15114.12713,-15145.55222,-15606.06264,-16311.8459,-14276.27893,-16312.56978,-17067.86761,-13654.29409,-16385.1529,-18088.75726,-14471.0058,-14930.08385,-17916.10062,-14332.8805,-13879.19228,-16655.03074,-15031.96134,-13566.58199
BELGIUM,-35641.02491,-34321.78099,-33143.65936,-35554.64854,-32990.39915,-30429.77848,-29817.76878,-31020.41827,-30260.27708,-33170.74886,-32795.72181,-32457.54866,-33531.51965,-30884.60812,-32115.33409,-34104.77506,-28256.56001,-33907.87201,-36254.82873,-29003.86298,-32872.9169,-38809.39069,-31047.51256,-27232.6344,-32679.16128,-35547.78104,-28438.22483,-32990.65109,-38215.98641,-30572.78914
FINLAND,-125.0178667,-79.91950848,-102.4686876,-1151.520905,-1889.744533,-1640.557208,-2832.193544,-3170.550868,-3248.735809,-2561.434317,-2419.819144,-2115.963341,-1050.580398,-666.5165063,-3098.038801,-3717.646562,-2974.117249,-2449.79929,-2939.759148,-3527.710977,-2822.168782,-2835.163247,-3402.195896,-2755.792566,-2810.659092,-3372.790911,-2698.232729,-2936.205589,-3523.446706,-2818.757365
FRANCE,-80462.56314,-72384.89379,-65706.72576,-68970.62962,-78422.85891,-83649.71871,-88261.48842,-91956.27893,-89943.48721,-62096.68491,-62194.50857,-59220.34239,-68881.50879,-63636.53751,-52147.79531,-43905.83639,-52687.00365,-58180.11774,-46544.09419,-51296.79485,-61556.15383,-49244.92306,-46640.40227,-55968.4827,-51721.73099,-44760.79033,-53712.94836,-58641.82557,-46913.46046,-51106.35538
GERMANY,-188626.7944,-176102.2758,-176513.5229,-182731.7555,-187777.7291,-188391.9722,-159789.8267,-147025.8842,-157609.0047,-123702.9673,-107309.8738,-113106.7578,-113163.9329,-115188.8941,-124347.7211,-147686.5605,-118149.2484,-106472.2226,-127766.6672,-131475.5013,-105180.401,-126216.4812,-147053.2539,-117642.6031,-107177.3336,-128612.8003,-130348.4737,-104278.779,-125134.5348,-148701.6836
ITALY,-57755.27709,-52659.10485,-51485.43916,-54694.29764,-65032.45623,-64976.15368,-64857.57829,-67266.362,-62849.04535,-64025.40333,-64589.00706,-76896.54988,-76162.63111,-64940.31067,-76525.07887,-88088.30757,-70470.64607,-71695.40305,-86034.48364,-68827.58694,-69277.499,-83132.99881,-70099.92514,-68764.17406,-82517.00885,-72917.50042,-66604.21401,-79925.05682,-80425.20389,-64340.16311
NETHERLANDS,-19759.71757,-18423.37442,-17575.72613,-16932.51328,-16927.41781,-18114.17109,-16900.57781,-860.7674614,-4990.715936,-4676.340492,-3976.389411,-2886.159158,-3370.150329,-752.2597268,-5326.392273,-6391.670726,-5113.336578,-4452.411436,-5342.893723,-5676.78254,-4541.426029,-5449.711237,-5795.758951,-4636.60716,-5563.928593,-6676.714312,-5341.371451,-5304.512275,-5760.17938,-5370.908186
PORTUGAL,-10272.38958,-9401.848683,-8896.989617,-8690.026531,-8361.65973,-7898.285374,-8720.417787,-13047.86947,-14956.08844,-12932.34833,-13555.76003,-15872.65442,-16430.77038,-16166.27251,-14407.78724,-11735.51345,-14082.61613,-16899.13936,-13519.31149,-12238.39326,-14686.07191,-15309.0338,-12247.22704,-14696.67244,-17402.92312,-13922.3385,-11633.51189,-13960.21427,-16752.25712,-13401.8057
SPAIN,-124100.2277,-105194.1102,-108191.8382,-106639.2665,-115600.3439,-124115.7835,-122455.6205,-121962.5308,-123732.6488,-104567.7779,-95294.39527,-117454.4375,-129763.7443,-120773.885,-105656.8756,-90829.52546,-108995.4306,-117452.0562,-93961.64495,-107992.6793,-126755.2652,-101404.2122,-92039.3923,-110447.2708,-112690.1981,-90152.15851,-108182.5902,-124958.9048,-99967.12383,-93081.64554
