Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,37056.98483,35159.82015,34990.5407,35146.73656,36630.48122,36627.75346,35894.50246,35151.83928,35622.18829,30322.07377,29082.0678,30616.20739,32594.93071,31500.24083,29492.36776,28289.95957,31997.00279,28111.35861,27328.96175,32794.7541,27054.28927,26664.99301,31997.99162,27736.59703,25927.57947,31113.09536,29597.01323,23902.12016,28682.54419,34419.05303
AUSTRIA,678.0743501,610.4751844,632.4487887,636.2707237,607.4382009,486.2190543,486.7847004,580.780211,610.3091588,593.1799405,602.161591,607.976185,603.7696046,605.0249543,623.421134,651.6153176,570.2997741,651.6442347,681.8163954,545.4531164,654.5437397,722.5982504,578.0786003,596.4175602,715.7010723,572.5608579,554.4372074,665.3246488,600.4872977,541.9492491
BELGIUM,1423.765153,1371.06483,1324.001971,1420.314644,1317.879629,1215.589572,1191.141395,1239.184077,1208.818437,1325.084126,1310.102782,1296.593654,1339.495969,1233.758819,1282.923083,1362.396014,1128.775213,1354.530255,1448.285,1158.628,1313.186523,1550.333028,1240.266423,1087.872079,1305.446495,1420.040306,1136.032244,1317.889693,1526.628089,1221.302471
FINLAND,4.994134779,3.192574049,4.09,46.00022982,75.4903211,65.5359432,113.1386789,126.6551636,129.7784463,102.3225604,96.66540686,84.52716715,41.96792222,26.62558044,123.7584974,148.5101969,118.8081575,97.86303478,117.4356417,140.9227701,112.7382161,113.2573107,135.9087729,110.0866609,112.2784343,134.7341211,107.7872969,117.2936864,140.7524237,112.6019389
FRANCE,3214.267654,2891.58602,2624.810782,2755.195152,3132.786838,3341.586131,3525.814195,3673.411353,3593.005621,2480.59915,2484.506948,2365.696836,2751.635009,2542.112209,2083.167192,1753.922622,2104.707146,2324.142598,1859.314079,2049.171963,2459.006356,1967.205085,1863.161333,2235.793599,2066.147043,1788.075782,2145.690937,2342.586611,1874.069289,2041.564407
GERMANY,7535.144051,7034.822491,7051.250731,7299.652758,7501.226124,7525.763523,6383.183078,5873.297165,6296.064977,4941.60801,4286.747063,4518.317323,4520.601319,4601.493191,4967.364227,5899.689441,4719.751554,4253.285105,5103.942125,5252.100287,4201.68023,5042.016276,5874.390511,4699.512409,4281.452431,5137.742917,5207.078503,4165.662804,4998.795364,5940.24094
ITALY,2307.171332,2103.592662,2056.707807,2184.893258,2597.875488,2595.62635,2590.889575,2687.114145,2510.653969,2557.646375,2580.160861,3071.814809,3042.496685,2594.194516,3056.975519,3518.896076,2815.116861,2864.04268,3436.851215,2749.480973,2767.453776,3320.944531,2800.307536,2746.947796,3296.337354,2912.862254,2660.663076,3192.795691,3212.77525,2570.2202
NETHERLANDS,789.3487176,735.9653256,702.1040069,676.4093462,676.2057956,723.613466,675.1336081,34.38539491,199.3659682,186.8074965,158.8462928,115.2944632,134.6286368,30.05079645,212.7753545,255.3304253,204.2643402,177.86212,213.434544,226.7725236,181.4180188,217.7016226,231.5253181,185.2202545,222.2643054,266.7171664,213.3737332,211.9013062,230.1040079,214.5536481
PORTUGAL,410.3549313,375.5791132,355.4113221,347.1436914,334.0263018,315.5157157,348.3577421,521.2280489,597.4563751,516.6132832,541.51694,634.0707738,656.3660376,645.800044,575.5531849,468.8028792,562.563455,675.076146,540.0609169,488.8916042,586.6699251,611.5556132,489.2444907,587.0933887,695.2009815,556.1607853,464.7281854,557.6738226,669.2085871,535.3668697
SPAIN,4957.477516,4202.227878,4321.979221,4259.958067,4617.929527,4958.09893,4891.779789,4872.082153,4942.793706,4177.207547,3806.760316,4691.995686,5183.720101,4824.59888,4220.714138,3628.400517,4354.08062,4691.900561,3753.520448,4314.023345,5063.539277,4050.831423,3676.731513,4412.077816,4501.676863,3601.34149,4321.609787,4991.779407,3993.423526,3718.366788
