Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,927.6452065,880.1536007,875.9160387,879.8260798,916.968568,916.9002843,898.5448574,879.9538161,891.7280336,759.0505951,728.0096023,766.4136237,815.9468821,788.543578,738.2806159,708.180806,800.9789895,703.7098993,684.1242072,820.9490485,677.2483481,667.5031189,801.0037427,694.3285159,649.0434914,778.8521895,740.9001995,598.340294,718.0083527,861.6100232
AUSTRIA,16.97419322,15.28198749,15.83205136,15.92772563,15.20596287,12.17149148,12.18565126,14.53863506,15.27783138,14.84903672,15.07387382,15.21943019,15.11412713,15.14555222,15.60606264,16.3118459,14.27627893,16.31256978,17.06786761,13.65429409,16.3851529,18.08875726,14.4710058,14.93008385,17.91610062,14.3328805,13.87919228,16.65503074,15.03196134,13.56658199
BELGIUM,35.64102491,34.32178099,33.14365936,35.55464854,32.99039915,30.42977848,29.81776878,31.02041827,30.26027708,33.17074886,32.79572181,32.45754866,33.53151965,30.88460812,32.11533409,34.10477506,28.25656001,33.90787201,36.25482873,29.00386298,32.8729169,38.80939069,31.04751256,27.2326344,32.67916128,35.54778104,28.43822483,32.99065109,38.21598641,30.57278914
FINLAND,0.125017867,0.079919508,0.102468688,1.151520905,1.889744533,1.640557208,2.832193544,3.170550868,3.248735809,2.561434317,2.419819144,2.115963341,1.050580398,0.666516506,3.098038801,3.717646562,2.974117249,2.44979929,2.939759148,3.527710977,2.822168782,2.835163247,3.402195896,2.755792566,2.810659092,3.372790911,2.698232729,2.936205589,3.523446706,2.818757365
FRANCE,80.46256314,72.38489379,65.70672576,68.97062962,78.42285891,83.64971871,88.26148842,91.95627893,89.94348721,62.09668491,62.19450857,59.22034239,68.88150879,63.63653751,52.14779531,43.90583639,52.68700365,58.18011774,46.54409419,51.29679485,61.55615383,49.24492306,46.64040227,55.9684827,51.72173099,44.76079033,53.71294836,58.64182557,46.91346046,51.10635538
GERMANY,188.6267944,176.1022758,176.5135229,182.7317555,187.7777291,188.3919722,159.7898267,147.0258842,157.6090047,123.7029673,107.3098738,113.1067578,113.1639329,115.1888941,124.3477211,147.6865605,118.1492484,106.4722226,127.7666672,131.4755013,105.180401,126.2164812,147.0532539,117.6426031,107.1773336,128.6128003,130.3484737,104.278779,125.1345348,148.7016836
ITALY,57.75527709,52.65910485,51.48543916,54.69429764,65.03245623,64.97615368,64.85757829,67.266362,62.84904535,64.02540333,64.58900706,76.89654988,76.16263111,64.94031067,76.52507887,88.08830757,70.47064607,71.69540305,86.03448364,68.82758694,69.277499,83.13299881,70.09992514,68.76417406,82.51700885,72.91750042,66.60421401,79.92505682,80.42520389,64.34016311
NETHERLANDS,19.75971757,18.42337442,17.57572613,16.93251328,16.92741781,18.11417109,16.90057781,0.860767461,4.990715936,4.676340492,3.976389411,2.886159158,3.370150329,0.752259727,5.326392273,6.391670726,5.113336578,4.452411436,5.342893723,5.67678254,4.541426029,5.449711237,5.795758951,4.63660716,5.563928593,6.676714312,5.341371451,5.304512275,5.76017938,5.370908186
PORTUGAL,10.27238958,9.401848683,8.896989617,8.690026531,8.36165973,7.898285374,8.720417787,13.04786947,14.95608844,12.93234833,13.55576003,15.87265442,16.43077038,16.16627251,14.40778724,11.73551345,14.08261613,16.89913936,13.51931149,12.23839326,14.68607191,15.3090338,12.24722704,14.69667244,17.40292312,13.9223385,11.63351189,13.96021427,16.75225712,13.4018057
SPAIN,124.1002277,105.1941102,108.1918382,106.6392665,115.6003439,124.1157835,122.4556205,121.9625308,123.7326488,104.5677779,95.29439527,117.4544375,129.7637443,120.773885,105.6568756,90.82952546,108.9954306,117.4520562,93.96164495,107.9926793,126.7552652,101.4042122,92.0393923,110.4472708,112.6901981,90.15215851,108.1825902,124.9589048,99.96712383,93.08164554
