Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,244117.1596,231619.3686,230504.2207,231533.1789,241307.5179,241289.5485,236459.173,231566.7937,234665.272,199750.1566,191581.4743,201687.7957,214722.8637,207511.4679,194284.3726,186363.37,210783.9446,185186.8156,180032.6861,216039.2233,178223.2495,175658.7155,210790.4586,182718.0305,170800.9188,204961.1025,194973.7367,157457.9721,188949.5665,226739.4798
AUSTRIA,4466.892952,4021.575655,4166.329306,4191.506744,4001.569176,3203.024073,3206.750332,3825.956594,4020.481942,3907.641242,3966.8089,4005.113208,3977.401875,3985.671636,4106.85859,4292.591025,3756.915508,4292.78152,4491.544107,3593.235286,4311.882343,4760.199278,3808.159422,3928.969435,4714.763322,3771.810658,3652.419021,4382.902825,3955.7793,3570.153156
BELGIUM,9379.217081,9032.047629,8722.015621,9356.486457,8681.683986,8007.836442,7846.781258,8163.267966,7963.230811,8729.144437,8630.453108,8541.460173,8824.084118,8127.528453,8451.403709,8974.940806,7435.936844,8923.124212,9540.744403,7632.595522,8650.767606,10212.99755,8170.398041,7166.482737,8599.779284,9354.679221,7483.743376,8681.750286,10056.83853,8045.470826
FINLAND,32.8994386,21.0314496,26.9654441,303.031817,497.301193,431.725581,745.3140905,834.3554915,854.930476,674.0616624,636.7945116,556.8324582,276.4685258,175.3990806,815.2733688,978.3280425,782.662434,644.6840236,773.6208283,928.344994,742.6759952,746.0955912,895.3147095,725.2085701,739.6471296,887.5765555,710.0612444,772.6856812,927.2228174,741.7782539
FRANCE,21174.35872,19048.65626,17291.24362,18150.16569,20637.59445,22013.08387,23226.70748,24199.02077,23669.33874,16341.23287,16366.97594,15584.30063,18126.71284,16746.45724,13723.10403,11554.16747,13865.00096,15310.5573,12248.44584,13499.15654,16198.98785,12959.19028,12273.79007,14728.54808,13610.98184,11779.15535,14134.98641,15432.05936,12345.64749,13449.04089
GERMANY,49638.63011,46342.70416,46450.92708,48087.30407,49415.19186,49576.8348,42049.9544,38691.02217,41476.05387,32553.41245,28239.44047,29764.93625,29779.98234,30312.86687,32723.0845,38864.88433,31091.90747,28019.00596,33622.80715,34598.81612,27679.0529,33214.86348,38698.22471,30958.57977,28204.56147,33845.47376,34302.22993,27441.78395,32930.14074,39132.022
ITALY,15198.75713,13857.65917,13548.79978,14393.23622,17113.80427,17098.98781,17067.78376,17701.67421,16539.22246,16848.79035,16997.10712,20235.93418,20042.79766,17089.55544,20138.17865,23181.13357,18544.90686,18867.21133,22640.65359,18112.52288,18230.92079,21877.10495,18447.34872,18095.83528,21715.00233,19188.8159,17527.42474,21032.90969,21164.52734,16931.62187
NETHERLANDS,5199.925676,4848.256427,4625.191086,4455.924547,4454.583634,4766.887128,4447.520475,226.517753,1313.346299,1230.615919,1046.418266,759.515568,886.8816656,197.963086,1401.682177,1682.018612,1345.614889,1171.68722,1406.024664,1493.890142,1195.112113,1434.134536,1525.199724,1220.159779,1464.191735,1757.030082,1405.624066,1395.924283,1515.836679,1413.396891
PORTUGAL,2703.260417,2474.170706,2341.313057,2286.849087,2200.436771,2078.496151,2294.846786,3433.649861,3935.812748,3403.24956,3567.30527,4177.01432,4323.886941,4254.28224,3791.522957,3088.293012,3705.951614,4447.141937,3557.71355,3220.629804,3864.755765,4028.693104,3222.954484,3867.54538,4579.716611,3663.773289,3061.450497,3673.740597,4408.488716,3526.790973
SPAIN,32657.95465,27682.66059,28471.53637,28062.96487,30421.14313,32662.04829,32225.1633,32095.40285,32561.22336,27517.83628,25077.47244,30909.06249,34148.35376,31782.60132,27804.44096,23902.5067,28683.00804,30908.43584,24726.74867,28419.12612,33356.64873,26685.31899,24220.89271,29065.07125,29655.3153,23724.25224,28469.10268,32883.92231,26307.13785,24495.16988
SWEDEN,1399.398591,1237.990855,1195.008447,1150.243797,1356.563058,1500.659344,253.4808058,1036.901069,1721.7648,1880.98176,1899.637298,1793.101404,2002.807419,1998.462894,1491.23165,1192.98532,1431.582384,1717.898861,1374.319089,1275.846433,1531.015719,1515.638424,1269.143516,1522.972219,1625.617395,1300.493916,1560.592699,1740.737127,1392.589701,1421.820876
UNITED KINGDOM  ,14734.3818,15372.41876,15282.06172,15270.93738,16170.18737,16431.93659,15874.332,15335.15443,13589.01744,10883.57857,10126.39851,10187.57091,11287.80251,11229.2305,9626.593356,8532.360653,10238.83278,9785.856827,7828.685462,9394.422554,11273.30706,9018.645652,8322.805985,9987.367182,9849.858667,7879.886934,9455.86432,11347.03718,9077.629748,8416.230266
