Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,2606.775795,2473.319633,2461.41166,2472.399267,2576.773373,2576.581489,2525.000904,2472.758219,2505.844947,2133.008077,2045.779784,2153.698924,2292.892333,2215.886309,2074.642359,1990.058883,2250.831058,1977.495188,1922.457435,2306.948921,1903.135583,1875.750514,2250.900617,1951.132563,1823.877115,2188.652538,2082.003651,1681.39606,2017.675272,2421.210326
AUSTRIA,47.69918036,42.94391304,44.48964753,44.75850178,42.73027626,34.2031082,34.24289861,40.85501837,42.93223396,41.72727809,42.35909282,42.76812078,42.47220863,42.56051628,43.85459663,45.83791815,40.11777142,45.83995233,47.96241476,38.36993181,46.04391817,50.83121677,40.66497341,41.95502864,50.34603436,40.27682749,39.00191823,46.80230187,42.24131456,38.12345206
BELGIUM,100.1548441,96.44763676,93.13699717,99.91211785,92.70632064,85.51072051,83.79091205,87.17047738,85.03440463,93.21312137,92.15925786,91.20895748,94.22692336,86.78883728,90.24730034,95.8378284,79.40375928,95.28451112,101.8796942,81.50375537,92.37618379,109.0582688,87.24661503,76.52642593,91.83171111,99.8928195,79.91425559,92.70702862,107.3907434,85.91259476
FINLAND,0.351312707,0.224581811,0.287947259,3.235888894,5.310371113,4.61012981,7.958747078,8.909564993,9.129272496,7.197886575,6.799933777,5.946068585,2.952235977,1.872978034,8.705798836,10.4469586,8.357566882,6.884180984,8.261017181,9.913220617,7.930576494,7.967092239,9.560510688,7.744052691,7.898233116,9.477879739,7.582303791,8.251031324,9.901237589,7.920990071
FRANCE,226.1078487,203.40879,184.64247,193.8143663,220.3760758,235.0640745,248.0236086,258.4063394,252.7501934,174.4978943,174.7727885,166.4150842,193.5639279,178.8250341,146.5405196,123.3797908,148.055749,163.4919489,130.7935591,144.1491232,172.9789479,138.3831583,131.0641944,157.2770332,145.3432363,125.7822969,150.9387562,164.789394,131.8315152,143.6139693
GERMANY,530.060155,494.8650052,496.0206507,513.494506,527.6741965,529.4002812,449.0253921,413.1574373,442.8970641,347.6177084,301.5514763,317.8413,318.0019678,323.6923113,349.4295311,415.0140035,332.0112029,299.1975929,359.0371114,369.4593061,295.5674449,354.6809339,413.2343488,330.587479,301.1790251,361.4148301,366.292246,293.0337969,351.6405563,417.8666011
ITALY,162.2981042,147.9773505,144.6792326,153.6964458,182.7477052,182.5894895,182.2562807,189.0252039,176.6121023,179.9177859,181.5015687,216.0869948,214.0246097,182.488767,215.0431241,247.5369531,198.0295625,201.4712521,241.7655025,193.4124021,194.6766999,233.61204,196.9877996,193.2342055,231.8810466,204.9054679,187.1645018,224.5974022,226.0028655,180.8022923
NETHERLANDS,55.52678234,51.77152446,49.38954799,47.58205556,47.56773679,50.90263217,47.49231369,2.418842643,14.02441085,13.14098442,11.17405188,8.110395851,9.47045944,2.113925058,14.96769493,17.96123391,14.36898712,12.51172138,15.01406565,15.95232661,12.76186129,15.31423355,16.28666223,13.02932978,15.63519574,18.76223489,15.00978791,14.90620995,16.18668008,15.09278909
PORTUGAL,28.86644197,26.42013498,25.00143052,24.41984355,23.49710001,22.19497173,24.50524602,36.665818,42.02810413,36.34119204,38.09304125,44.60374617,46.17210783,45.42884239,40.48732291,32.97796633,39.5735596,47.48827152,37.99061722,34.39110889,41.26933067,43.01991587,34.4159327,41.29911923,48.90395426,39.12316341,32.69133176,39.22959812,47.07551774,37.66041419
SPAIN,348.7340498,295.6059692,304.0298845,299.6670028,324.8485264,348.7777632,344.1125393,342.7269079,347.7011163,293.8459126,267.7867802,330.0587147,364.6490978,339.3866943,296.9063863,255.2400495,306.2880594,330.0520231,264.0416185,303.470228,356.1949707,284.9559766,258.6398963,310.3678755,316.6707258,253.3365806,304.0038967,351.1470183,280.9176147,261.5687321
SWEDEN,14.94330993,13.21973679,12.7607543,12.28274036,14.48589583,16.02461073,2.706764367,11.07242364,18.38565881,20.08583801,20.28504893,19.14741817,21.38673869,21.3403462,15.92393823,12.73915058,15.2869807,18.34437684,14.67550147,13.62397303,16.34876763,16.18456303,13.55239674,16.26287608,17.35896028,13.88716822,16.66460187,18.58825252,14.87060201,15.18274361
UNITED KINGDOM  ,157.3393279,164.152529,163.1876622,163.0688723,172.6714054,175.466463,169.5121493,163.7546064,145.1086921,116.2189877,108.1335313,108.7867535,120.5354446,119.9099904,102.796422,91.11178935,109.3341472,104.4970978,83.59767826,100.3172139,120.3806566,96.30452536,88.87408497,106.648902,105.1805338,84.14442704,100.9733124,121.1679749,96.93437995,89.87170495
