Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,8070.513296,7657.336326,7620.469536,7654.486894,7977.626542,7977.032473,7817.340259,7655.5982,7758.033892,6603.740177,6333.68354,6667.798526,7098.737874,6860.329129,6423.041358,6161.173012,6968.517208,6122.276124,5951.880602,7142.256722,5892.060628,5807.277134,6968.732561,6040.658088,5646.678376,6776.014049,6445.831735,5205.560558,6246.672668,7496.007202
AUSTRIA,147.675481,132.9532912,137.7388469,138.571213,132.291877,105.8919759,106.015166,126.486125,132.917133,129.1866195,131.1427022,132.4090427,131.492906,131.7663043,135.772745,141.9130593,124.2036267,141.9193571,148.4904482,118.7923586,142.5508303,157.3721881,125.8977505,129.8917295,155.8700754,124.6960604,120.7489728,144.8987674,130.7780637,118.0292633
BELGIUM,310.0769167,298.5994946,288.3498364,309.3254423,287.0164726,264.7390728,259.4145884,269.877639,263.2644106,288.5855151,285.3227798,282.3806733,291.7242209,268.6960907,279.4034066,296.711543,245.8320721,294.9984864,315.41701,252.333608,285.9943771,337.641699,270.1133592,236.9239193,284.3087031,309.265695,247.412556,287.0186645,332.4790818,265.9832655
FINLAND,1.08765544,0.695299724,0.891477582,10.01823187,16.44077744,14.27284771,24.64008383,27.58379255,28.26400154,22.28447856,21.05242655,18.40888107,9.140049463,5.798693605,26.95293757,32.34352509,25.87482007,21.31325382,25.57590458,30.6910855,24.5528684,24.66592025,29.5991043,23.97539533,24.4527341,29.34328092,23.47462474,25.54498862,30.65398634,24.52318907
FRANCE,700.0242993,629.748576,571.6485141,600.0444777,682.2788725,727.7525527,767.8749493,800.0196267,782.5083387,540.2411587,541.0922246,515.2169788,599.2691265,553.6378764,453.6858192,381.9807766,458.3769317,506.1670243,404.9336195,446.2821152,535.5385383,428.4308307,405.7714997,486.9257995,449.9790596,389.4188759,467.3026507,510.1838824,408.147106,444.6252918
GERMANY,1641.053111,1532.0898,1535.667649,1589.766273,1633.666243,1639.010158,1390.171492,1279.125193,1371.198341,1076.215816,933.5959019,984.0287924,984.5262162,1002.143379,1081.825174,1284.873076,1027.898461,926.308337,1111.570004,1143.836861,915.0694889,1098.083387,1279.363309,1023.490647,932.4428022,1118.931363,1134.031721,907.2253774,1088.670453,1293.704647
ITALY,502.4709107,458.1342122,447.9233207,475.8403894,565.7823692,565.292537,564.2609311,585.2173494,546.7866945,557.021009,561.9243614,668.999984,662.6148906,564.9807028,665.7681862,766.3682758,613.0946208,623.7500066,748.5000077,598.8000064,602.7142413,723.2570896,609.8693487,598.2483144,717.897977,634.3822537,579.4566619,695.3479944,699.6992739,559.759419
NETHERLANDS,171.9095428,160.2833575,152.9088173,147.3128655,147.2685349,157.5932885,147.0350269,7.488676914,43.41922864,40.68416228,34.59458787,25.10958468,29.32030786,6.544659623,46.33961277,55.60753531,44.48602823,38.73597949,46.48317539,49.38800809,39.51040646,47.41248776,50.42310288,40.33848229,48.40617876,58.08741451,46.46993162,46.1492568,50.11356061,46.72690122
PORTUGAL,89.36978939,81.79608354,77.40380966,75.60323082,72.74643965,68.71508275,75.86763475,113.5164644,130.1179694,112.5114305,117.9351122,138.0920934,142.9477023,140.6465709,125.347749,102.098967,122.5187604,147.0225124,117.61801,106.4740213,127.7688256,133.188594,106.5508752,127.8610503,151.4054312,121.1243449,101.2115534,121.4538641,145.744637,116.5957096
SPAIN,1079.671981,915.1887591,941.2689924,927.7616186,1005.722992,1079.807316,1065.363899,1061.074018,1076.474044,909.7396674,829.0612389,1021.853606,1128.944575,1050.7328,919.2148181,790.2168715,948.2602458,1021.832889,817.466311,939.5363095,1102.770807,882.2166458,800.742713,960.8912555,980.4047238,784.3237791,941.1885346,1087.142472,869.7139773,809.8103162
SWEDEN,46.26411742,40.92797767,39.50697926,38.02705993,44.8479747,49.61179791,8.38007544,34.27994934,56.92154429,62.18525699,62.80200907,59.27993242,66.21281327,66.06918328,49.30011835,39.44009468,47.32811362,56.79373634,45.43498908,42.17948307,50.61537967,50.1070063,41.95788464,50.34946156,53.74291108,42.99432886,51.59319463,57.54876942,46.03901552,47.00539816
UNITED KINGDOM  ,487.1186623,508.2121642,505.2249605,504.8571898,534.5863945,543.2398237,524.8054159,506.9802055,449.2529166,359.8111075,334.7787347,336.8010943,373.174751,371.2383603,318.2551763,282.0798432,338.4958117,323.5204267,258.8163414,310.5796096,372.6955314,298.1564253,275.1519659,330.182359,325.6363275,260.509062,312.6108744,375.1330492,300.1064395,278.2405726
CZECH REPUBLIC ,309.4546881,305.1440871,294.8071405,313.8719552,319.1354988,339.8936245,325.4728512,332.0504827,363.3336317,312.7388251,291.5013387,306.6573207,347.8099387,364.5086039,257.0348694,205.6278955,246.7534746,296.1041695,236.8833356,229.5353682,275.4424418,247.7391152,218.4545083,262.1454099,280.0242588,224.0194071,268.8232885,300.5277785,240.4222228,238.5382586
HUNGARY,63.55078604,64.85748594,85.92486356,119.0857158,135.5895769,134.4305663,122.6975775,123.6872276,137.9034567,121.1757725,119.5224626,107.1255495,121.5082784,109.8626609,85.61791684,68.49433346,82.19320016,98.63184017,78.90547216,79.78031246,95.73637492,76.58909995,80.59379988,96.71255986,77.3700479,73.88156969,88.65788361,84.32028734,71.11285813,85.33542975
POLAND,268.9352209,231.1526497,209.9257052,212.695001,228.9521059,236.7594218,264.4202466,274.968584,276.6590781,210.7855061,203.7640602,238.1317031,308.8472641,315.755683,160.2129941,128.1703953,153.8044744,184.5653692,147.6522954,136.7445702,164.0934843,169.2705479,135.4164383,162.499726,189.8503188,151.880255,140.2790651,168.3348781,164.1138609,131.2910887
ROMANIA,76.28760092,87.54699498,97.28119692,96.82113796,95.1566622,89.39856127,88.89702213,112.1395911,119.5385758,109.3932927,103.7188881,121.2834966,125.6346284,135.2064174,107.8679314,86.29434513,103.5532142,124.263857,99.4110856,94.54480111,113.4537614,106.0018267,93.79518003,112.554216,114.8203691,91.85629523,110.2275543,126.7314957,101.3851965,97.08819779
SLOVAKIA,156.6292385,215.1405056,236.7265017,237.9198139,251.5024369,254.5557167,253.0754301,264.5095198,270.5103563,247.308482,250.5608036,242.4151878,260.4188806,246.6600252,210.5606047,168.4484838,202.1381805,242.5658166,194.0526533,183.8072307,220.5686768,210.6650556,171.3456953,205.6148344,246.7378012,197.390241,180.5692832,216.6831399,218.5377239,174.8301792
SLOVENIA,41.36421296,35.76800616,26.57534873,27.87302004,31.9900303,32.70854749,44.18915373,50.4639889,49.16666736,37.03711469,25.32698611,17.80877222,15.2009086,14.90960903,24.4865749,29.38388987,23.5071119,20.80565,24.96677999,27.45924779,21.96739823,24.46376236,29.35651483,23.48521186,21.07019798,25.28423757,26.56634331,21.25307465,25.50368958,27.00111647
SERBIA,3.791240805,3.816062008,24.41886305,26.5011263,21.85217211,20.25276124,19.5431364,14.80534322,9.526830334,6.243241249,5.361898719,2.000902307,0.46179388,0.306612722,4.076107363,4.891328835,3.913063066,4.637471869,5.403136629,4.322509305,3.458007443,4.14960893,4.97953072,4.020204047,3.216163238,3.859395886,3.472747962,4.167297554,3.333838044,4.000605652
RUSSIA,1005.424427,1059.753531,1043.21619,956.9897857,835.4647166,757.916587,804.397732,733.2091239,729.004726,688.8788846,713.0442487,586.6666251,591.7682905,609.7302805,642.4409821,720.0211035,576.0168826,641.8260704,770.1912846,616.1530275,545.5727241,654.6872686,705.0229901,564.018392,670.6224564,744.6619113,595.7295288,621.8987236,746.2784683,597.0227745
AZERBAIJAN,1.161947819,1.161947819,1.161947819,1.161947819,1.161947819,1.264322076,1.264322076,2.124265837,2.605752735,1.758254187,1.768006336,0.502868181,0.872960228,1.381581769,0.098986294,0.079189035,0.095026842,0.114032211,0.113314207,0.090651366,0.077727407,0.093272888,0.088583163,0.070866531,0.085039837,0.102047804,0.122457365,0.097965892,0.078372714,0.094047256
BELARUS,117.9650733,149.7518976,149.0167266,99.12446327,97.60153655,66.66500802,66.34377583,35.28955407,37.26911225,39.26902141,37.73586163,45.76782962,44.54815802,55.90146314,56.53574893,67.84289872,54.27431897,43.41945517,52.10334623,62.52401547,50.01921236,52.73747753,63.28497306,50.62797844,49.88267208,59.8592065,47.8873652,54.11419511,64.93703412,51.94962732
