Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,1029686.179,976970.4968,972266.8029,976606.9486,1017835.111,1017759.316,997384.7917,976748.7358,989818.1173,842546.1605,808090.6586,850719.1223,905701.0391,875283.3716,819491.4836,786080.6947,889086.6783,781117.9882,759377.87,911253.4439,751745.6664,740928.462,889114.1544,770704.6526,720438.2755,864525.9303,822399.2214,664157.7263,796989.2715,956387.1258
AUSTRIA,18841.35447,16963.00611,17573.57701,17679.77545,16878.61878,13510.35554,13526.0729,16137.88491,16958.39283,16482.43076,16731.99994,16893.56751,16776.68111,16811.56296,17322.72953,18106.14894,15846.66961,18106.95245,18945.33304,15156.26644,18187.51972,20078.52055,16062.81644,16572.39308,19886.87169,15909.49736,15405.90343,18487.08412,16685.47709,15058.90601
BELGIUM,39561.53765,38097.1769,36789.46189,39465.65988,36619.34305,33777.05411,33097.72335,34432.66428,33588.90756,36819.53124,36403.25121,36027.87901,37219.98681,34281.91501,35648.02084,37856.30032,31364.78161,37637.73793,40242.85989,32194.28791,36488.93776,43078.42367,34462.73894,30228.22418,36273.86902,39458.03695,31566.42956,36619.62271,42419.74492,33935.79594
FINLAND,138.769832,88.71065441,113.7402432,1278.188204,2097.616432,1821.018501,3143.734834,3519.311463,3606.096748,2843.192092,2685.99925,2348.719309,1166.144242,739.833322,3438.82307,4126.587683,3301.270147,2719.277212,3263.132654,3915.759185,3132.607348,3147.031204,3776.437445,3058.929749,3119.831593,3743.797911,2995.038329,3259.188203,3911.025844,3128.820675
FRANCE,89313.44508,80347.2321,72934.46559,76557.39888,87049.37339,92851.18776,97970.25215,102071.4696,99837.27081,68927.32025,69035.90451,65734.58006,76458.47476,70636.55664,57884.0528,48735.47839,58482.57405,64579.93069,51663.94455,56939.44229,68327.33075,54661.8646,51770.84652,62125.0158,57411.1214,49684.47727,59621.37268,65092.42638,52073.94111,56728.05447
GERMANY,209375.7418,195473.5261,195930.0104,202832.2486,208433.2793,209115.0892,177366.7077,163198.7315,174945.9952,137310.2937,119113.9599,125548.5011,125611.9655,127859.6725,138025.9704,163932.0821,131145.6657,118184.1671,141821.0006,145937.8064,116750.2451,140100.2942,163229.1118,130583.2895,118966.8403,142760.2083,144686.8058,115749.4447,138899.3336,165058.8688
ITALY,64108.35757,58451.60638,57148.83747,60710.67038,72186.02641,72123.53058,71991.9119,74665.66182,69762.44034,71068.1977,71693.79783,85355.17037,84540.52053,72083.74485,84942.83755,97778.0214,78222.41714,79581.89739,95498.27684,76398.62151,76898.02389,92277.62868,77810.9169,76328.23321,91593.87983,80938.42547,73930.67755,88716.81307,89271.97632,71417.58105
NETHERLANDS,21933.2865,20449.94561,19509.056,18795.08974,18789.43377,20106.72991,18759.64136,955.4518822,5539.694689,5190.737946,4413.792246,3203.636666,3740.866866,835.0082967,5912.295423,7094.754505,5675.803602,4942.176694,5930.612033,6301.228619,5040.982893,6049.179473,6433.292436,5146.633948,6175.960738,7411.152886,5928.92231,5888.008626,6393.799112,5961.708086
PORTUGAL,11402.35244,10436.05204,9875.658474,9645.929449,9281.4423,8767.096765,9679.663743,14483.13511,16601.25817,14354.90664,15046.89363,17618.6464,18238.15512,17944.56249,15992.64383,13026.41992,15631.70391,18758.04469,15006.43575,13584.61651,16301.53982,16993.02751,13594.42201,16313.30641,19317.24467,15453.79573,12913.1982,15495.83784,18595.0054,14876.00432
SPAIN,137751.2527,116765.4624,120092.9404,118369.5858,128316.3817,137768.5197,135925.7388,135378.4092,137343.2401,116070.2334,105776.7788,130374.4256,144037.7562,134059.0124,117279.132,100820.7733,120984.9279,130371.7824,104297.4259,119871.874,140698.3443,112558.6755,102163.7255,122596.4705,125086.1199,100068.8959,120082.6751,138704.3843,110963.5075,103320.6266
SWEDEN,5902.663257,5221.845426,5040.545629,4851.728336,5721.982979,6329.781113,1069.182039,4373.648709,7262.403926,7933.981064,8012.670123,7563.301722,8447.841693,8429.516487,6290.0151,5032.01208,6038.414496,7246.097396,5796.877917,5381.520254,6457.824303,6392.962872,5353.24735,6423.89682,6856.854172,5485.483338,6582.580004,7342.429202,5873.943359,5997.240455
UNITED KINGDOM  ,62149.62243,64840.86233,64459.73633,64412.81387,68205.85033,69309.90854,66957.93238,64683.68139,57318.47556,45906.93441,42713.14892,42971.1741,47611.95099,47364.89425,40604.97078,35989.49723,43187.39667,41276.7441,33021.39528,39625.67433,47550.80918,38040.64736,35105.59564,42126.71477,41546.70386,33237.36309,39884.8357,47861.80283,38289.44228,35499.65926
CZECH REPUBLIC ,39482.14986,38932.17662,37613.32482,40045.73221,40717.28778,43365.7383,41525.84653,42365.06159,46356.3599,39901.16045,37191.55011,39125.24436,44375.7508,46506.27015,32794.10402,26235.28322,31482.33986,37778.80784,30223.04627,29285.54697,35142.65637,31608.09401,27871.78209,33446.13851,35727.23302,28581.78642,34298.1437,38343.19932,30674.55946,30434.19161
HUNGARY,8108.203736,8274.92062,10962.82742,15193.69477,17299.35982,17151.48604,15654.51851,15780.78421,17594.57895,15460.35718,15249.41765,13667.74252,15502.78035,14016.96018,10923.66525,8738.9322,10486.71864,12584.06237,10067.2499,10178.86745,12214.64094,9771.712752,10282.65723,12339.18867,9871.350939,9426.269237,11311.52308,10758.10563,9073.019831,10887.6238
