Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,343228.7264,325656.8323,324088.9343,325535.6495,339278.3702,339253.1052,332461.5972,325582.9119,329939.3724,280848.7202,269363.5529,283573.0408,301900.3464,291761.1239,273163.8279,262026.8982,296362.2261,260372.6627,253125.9567,303751.148,250581.8888,246976.154,296371.3848,256901.5509,240146.0918,288175.3101,274133.0738,221385.9088,265663.0905,318795.7086
AUSTRIA,6280.451491,5654.335371,5857.859004,5893.258482,5626.206261,4503.451847,4508.690967,5379.294971,5652.79761,5494.143586,5577.333313,5631.18917,5592.227036,5603.85432,5774.243178,6035.382981,5282.223204,6035.650817,6315.111014,5052.088812,6062.506574,6692.840185,5354.272147,5524.131026,6628.957231,5303.165785,5135.301144,6162.361372,5561.825696,5019.635337
BELGIUM,13187.17922,12699.05897,12263.15396,13155.21996,12206.44768,11259.01804,11032.57445,11477.55476,11196.30252,12273.17708,12134.41707,12009.293,12406.66227,11427.305,11882.67361,12618.76677,10454.9272,12545.91264,13414.28663,10731.4293,12162.97925,14359.47456,11487.57965,10076.07473,12091.28967,13152.67898,10522.14319,12206.5409,14139.91497,11311.93198
FINLAND,46.25661067,29.57021814,37.9134144,426.0627347,699.2054774,607.0061669,1047.911611,1173.103821,1202.032249,947.7306973,895.3330833,782.9064362,388.7147473,246.6111073,1146.274357,1375.529228,1100.423382,906.4257372,1087.710885,1305.253062,1044.202449,1049.010401,1258.812482,1019.64325,1039.943864,1247.932637,998.3461096,1086.396068,1303.675281,1042.940225
FRANCE,29771.14836,26782.4107,24311.48853,25519.13296,29016.4578,30950.39592,32656.75072,34023.8232,33279.09027,22975.77342,23011.96817,21911.52669,25486.15825,23545.51888,19294.68427,16245.15946,19494.19135,21526.64356,17221.31485,18979.8141,22775.77692,18220.62153,17256.94884,20708.3386,19137.04047,16561.49242,19873.79089,21697.47546,17357.98037,18909.35149
GERMANY,69791.91393,65157.84205,65310.00347,67610.74952,69477.75976,69705.02973,59122.23589,54399.57717,58315.33174,45770.0979,39704.6533,41849.50037,41870.65517,42619.89082,46008.65681,54644.02737,43715.2219,39394.72238,47273.66685,48645.93546,38916.74838,46700.09805,54409.70394,43527.76316,39655.61343,47586.73611,48228.93528,38583.14823,46299.77788,55019.62293
ITALY,21369.45252,19483.86879,19049.61249,20236.89013,24062.0088,24041.17686,23997.30397,24888.55394,23254.14678,23689.39923,23897.93261,28451.72346,28180.17351,24027.91495,28314.27918,32592.6738,26074.13905,26527.29913,31832.75895,25466.20717,25632.67463,30759.20956,25936.9723,25442.7444,30531.29328,26979.47516,24643.55918,29572.27102,29757.32544,23805.86035
NETHERLANDS,7311.0955,6816.648536,6503.018667,6265.029913,6263.144589,6702.243302,6253.213788,318.4839607,1846.564896,1730.245982,1471.264082,1067.878889,1246.955622,278.3360989,1970.765141,2364.918168,1891.934534,1647.392231,1976.870678,2100.40954,1680.327631,2016.393158,2144.430812,1715.544649,2058.653579,2470.384295,1976.307437,1962.669542,2131.266371,1987.236029
PORTUGAL,3800.784146,3478.684013,3291.886158,3215.309816,3093.8141,2922.365588,3226.554581,4827.711705,5533.752724,4784.968881,5015.63121,5872.882134,6079.385039,5981.520829,5330.881278,4342.139975,5210.567969,6252.681563,5002.145251,4528.205504,5433.846606,5664.342504,4531.474005,5437.768804,6439.081555,5151.265244,4304.399399,5165.279279,6198.335135,4958.668108
SPAIN,45917.08424,38921.82079,40030.98014,39456.52861,42772.12724,45922.8399,45308.5796,45126.13641,45781.08004,38690.07781,35258.92625,43458.14186,48012.58539,44686.33746,39093.04399,33606.92442,40328.3093,43457.26079,34765.80863,39957.29132,46899.44811,37519.5585,34054.57515,40865.49018,41695.37331,33356.29865,40027.55837,46234.79477,36987.83582,34440.20885
SWEDEN,1967.554419,1740.615142,1680.181876,1617.242779,1907.32766,2109.927038,356.394013,1457.882903,2420.801309,2644.660355,2670.890041,2521.100574,2815.947231,2809.838829,2096.6717,1677.33736,2012.804832,2415.365799,1932.292639,1793.840085,2152.608101,2130.987624,1784.415783,2141.29894,2285.618057,1828.494446,2194.193335,2447.476401,1957.98112,1999.080152
UNITED KINGDOM  ,20716.54081,21613.62078,21486.57878,21470.93796,22735.28344,23103.30285,22319.31079,21561.22713,19106.15852,15302.31147,14237.71631,14323.7247,15870.65033,15788.29808,13534.99026,11996.49908,14395.79889,13758.9147,11007.13176,13208.55811,15850.26973,12680.21579,11701.86521,14042.23826,13848.90129,11079.12103,13294.94523,15953.93428,12763.14743,11833.21975
CZECH REPUBLIC ,13160.71662,12977.39221,12537.77494,13348.5774,13572.42926,14455.2461,13841.94884,14121.6872,15452.11997,13300.38682,12397.18337,13041.74812,14791.91693,15502.09005,10931.36801,8745.094406,10494.11329,12592.93595,10074.34876,9761.84899,11714.21879,10536.03134,9290.594031,11148.71284,11909.07767,9527.262139,11432.71457,12781.06644,10224.85315,10144.73054
HUNGARY,2702.734579,2758.306873,3654.275807,5064.564925,5766.453273,5717.162014,5218.172838,5260.261403,5864.859651,5153.452394,5083.139216,4555.914175,5167.593449,4672.32006,3641.22175,2912.9774,3495.57288,4194.687456,3355.749965,3392.955817,4071.546979,3257.237584,3427.552409,4113.062891,3290.450313,3142.089746,3770.507694,3586.035209,3024.339944,3629.207932
POLAND,11437.47491,9830.629928,8927.874818,9045.649467,9737.043583,10069.07886,11245.45876,11694.06622,11765.96079,8964.441065,8665.827849,10127.44025,13134.88365,13428.68997,6813.656072,5450.924857,6541.109829,7849.331795,6279.465436,5815.573677,6978.688412,7198.862381,5759.089906,6910.907886,8074.094018,6459.275215,5965.891274,7159.069528,6979.555005,5583.644004
ROMANIA,3244.415211,3723.263005,4137.246306,4117.68058,4046.89253,3802.007778,3780.677953,4769.155026,5083.824489,4652.358427,4411.033171,5158.033762,5343.081897,5750.157981,4587.486739,3669.989391,4403.98727,5284.784724,4227.827778,4020.870852,4825.045023,4508.123664,3988.990415,4786.788498,4883.165121,3906.532096,4687.838515,5389.730275,4311.78422,4129.038297
SLOVAKIA,6661.243474,9149.653685,10067.67881,10118.42887,10696.08065,10825.93278,10762.97806,11249.25544,11504.46343,10517.71705,10656.03418,10309.61144,11075.28573,10490.139,8954.876293,7163.901034,8596.681241,10316.01749,8252.813991,7817.08912,9380.506944,8959.318458,7287.115778,8744.538933,10493.44672,8394.757376,7679.383309,9215.259971,9294.133087,7435.30647
SLOVENIA,1759.167678,1521.168078,1130.21598,1185.4043,1360.495542,1391.053169,1879.308837,2146.169643,2090.996198,1575.141659,1077.124697,757.3845655,646.4754234,634.0868208,1041.38307,1249.659684,999.7277474,884.8379883,1061.805586,1167.80709,934.245672,1040.412882,1248.495458,998.7963666,896.0888795,1075.306655,1129.832991,903.8663931,1084.639672,1148.323344
SERBIA,161.2366779,162.2922923,1038.503371,1127.059394,929.3452505,861.3243284,831.1448815,629.6525276,405.1640487,265.5171566,228.0347731,85.09584523,19.63950983,13.03985139,173.3516924,208.0220309,166.4176247,197.2258151,229.7885693,183.8308555,147.0646844,176.4776212,211.7731455,170.9741951,136.7793561,164.1352273,147.69158,177.229896,141.7839168,170.1407002
RUSSIA,42759.42965,45069.97774,44366.66556,40699.5656,35531.25806,32233.23416,34210.01849,31182.45699,31003.64927,29297.14797,30324.87035,24950.1898,25167.15718,25931.05791,27322.20269,30621.58716,24497.26972,27296.05127,32755.26153,26204.20922,23202.51815,27843.02177,29983.73636,23986.98909,28520.72516,31669.52956,25335.62364,26448.56641,31738.27968,25390.62374
