Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,-756763.1948,-718020.0427,-714563.0842,-717752.8546,-748053.3055,-747997.6004,-733023.4363,-717857.0605,-727462.3432,-619225.4855,-593902.5703,-625232.1667,-665640.8775,-643285.5505,-602281.5551,-577726.447,-653430.2283,-574079.1284,-558101.3269,-669721.5922,-552492.0735,-544542.0181,-653450.4217,-566425.8946,-602281.5551,-577726.447,-653430.2283,-574079.1284,-558101.3269,-669721.5922
AUSTRIA,-13847.36815,-12466.88453,-12915.62085,-12993.67091,-12404.86445,-9929.374626,-9940.926029,-11860.46544,-12463.49402,-12113.68785,-12297.10759,-12415.85094,-12329.94581,-12355.58207,-12731.26163,-13307.03218,-11646.43807,-13307.62271,-13923.78673,-11139.02939,-13366.83526,-14756.61776,-11805.29421,-12179.80525,-12731.26163,-13307.03218,-11646.43807,-13307.62271,-13923.78673,-11139.02939
BELGIUM,-29075.57295,-27999.34765,-27038.24843,-29005.10802,-26913.22036,-24824.29297,-24325.0219,-25306.13069,-24686.01551,-27060.34775,-26754.40463,-26478.52654,-27354.66077,-25195.3382,-26199.3515,-27822.3165,-23051.40422,-27661.68506,-29576.30765,-23661.04612,-26817.37958,-31660.29241,-25328.23393,-22216.09648,-26199.3515,-27822.3165,-23051.40422,-27661.68506,-29576.30765,-23661.04612
FINLAND,-101.9882597,-65.19749376,-83.59287671,-939.3986327,-1541.633698,-1338.349301,-2310.473681,-2586.502024,-2650.284476,-2089.591153,-1974.062986,-1726.18062,-857.05243,-543.7371499,-2527.347443,-3032.816932,-2426.253545,-1998.520473,-2398.224568,-2877.869481,-2302.295585,-2312.896333,-2775.475599,-2248.146567,-2527.347443,-3032.816932,-2426.253545,-1998.520473,-2398.224568,-2877.869481
FRANCE,-65640.51203,-59050.83441,-53602.85522,-56265.51364,-63976.5428,-68240.56,-72002.79319,-75016.96439,-73374.95009,-50657.8219,-50737.62541,-48311.33195,-56192.8098,-51914.01744,-42541.62249,-35817.91916,-42981.50298,-47462.72763,-37970.1821,-41847.38527,-50216.86234,-40173.48987,-38048.74922,-45658.49905,-42541.62249,-35817.91916,-42981.50298,-47462.72763,-37970.1821,-41847.38527
GERMANY,-153879.7533,-143662.3829,-143997.8739,-149070.6426,-153187.0948,-153688.1879,-130354.8586,-119942.1687,-128575.767,-100915.5786,-87542.26546,-92271.30238,-92317.94525,-93969.8873,-101441.562,-120481.1414,-96384.91316,-86858.91848,-104230.7022,-107256.33,-85805.06399,-102966.0768,-119964.4966,-95971.59729,-101441.562,-120481.1414,-96384.91316,-86858.91848,-104230.7022,-107256.33
ITALY,-47116.1471,-42958.74343,-42001.27932,-44619.03228,-53052.79324,-53006.86221,-52910.12966,-54875.19005,-51271.58963,-52231.25009,-52691.03207,-62731.39596,-62132.67275,-52977.62186,-62428.35382,-71861.51407,-57489.21127,-58488.35512,-70186.02613,-56148.82093,-56515.85445,-67819.02535,-57186.78103,-56097.08937,-62428.35382,-71861.51407,-57489.21127,-58488.35512,-70186.02613,-56148.82093
NETHERLANDS,-16119.7696,-15029.59492,-14338.09237,-13813.3661,-13809.20927,-14777.3501,-13787.31347,-702.2050343,-4071.373527,-3814.909349,-3243.896625,-2354.498261,-2749.333163,-613.6855666,-4345.214749,-5214.257697,-4171.406156,-3632.230382,-4358.676458,-4631.05944,-3704.84755,-4445.817062,-4728.119144,-3782.495315,-4345.214749,-5214.257697,-4171.406156,-3632.230382,-4358.676458,-4631.05944
PORTUGAL,-8380.107293,-7669.929189,-7258.070477,-7089.23217,-6821.35399,-6443.338068,-7114.025037,-10644.31457,-12201.01952,-10550.07364,-11058.64634,-12948.74439,-13404.04952,-13188.27494,-11753.72117,-9573.708337,-11488.45,-13786.14,-11028.91201,-9983.952392,-11980.74287,-12488.94862,-9991.1589,-11989.39068,-11753.72117,-9573.708337,-11488.45,-13786.14,-11028.91201,-9983.952392
SPAIN,-101239.6594,-85816.24783,-88261.76275,-86995.1911,-94305.5437,-101252.3497,-99898.00623,-99495.74884,-100939.7924,-85305.29247,-77740.16456,-95818.09372,-105859.8967,-98526.06409,-86193.76698,-74097.77077,-88917.32492,-95816.1511,-76652.92088,-88099.29097,-103405.6111,-82724.48887,-75084.7674,-90101.72088,-86193.76698,-74097.77077,-88917.32492,-95816.1511,-76652.92088,-88099.29097
SWEDEN,-4338.135632,-3837.771651,-3704.526186,-3565.755771,-4205.34548,-4652.043966,-785.790498,-3214.393314,-5337.47088,-5831.043456,-5888.875624,-5558.614352,-6208.702999,-6195.234971,-4622.818115,-3698.254492,-4437.90539,-5325.486469,-4260.389176,-3955.123942,-4746.148729,-4698.479114,-3934.3449,-4721.213879,-4622.818115,-3698.254492,-4437.90539,-5325.486469,-4260.389176,-3955.123942
