Countries,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EUROPE,1220585.798,1158096.843,1152521.104,1157665.895,1206537.59,1206447.743,1182295.865,1157833.969,1173326.36,998750.783,957907.3715,1008438.979,1073614.319,1037557.34,971421.863,931816.85,1053919.723,925934.078,900163.4305,1080196.117,891116.2475,878293.5775,1053952.293,913590.1525,854004.594,1024805.513,974868.6835,787289.8605,944747.8325,1133697.399
AUSTRIA,22334.46476,20107.87828,20831.64653,20957.53372,20007.84588,16015.12037,16033.75166,19129.78297,20102.40971,19538.20621,19834.0445,20025.56604,19887.00938,19928.35818,20534.29295,21462.95513,18784.57754,21463.9076,22457.72054,17966.17643,21559.41172,23800.99639,19040.79711,19644.84718,23573.81661,18859.05329,18262.09511,21914.51413,19778.8965,17850.76578
BELGIUM,46896.08541,45160.23815,43610.07811,46782.43229,43408.41993,40039.18221,39233.90629,40816.33983,39816.15406,43645.72219,43152.26554,42707.30087,44120.42059,40637.64227,42257.01855,44874.70403,37179.68422,44615.62106,47703.72202,38162.97761,43253.83803,51064.98775,40851.99021,35832.41369,42998.89642,46773.39611,37418.71688,43408.75143,50284.19265,40227.35413
FINLAND,164.497193,105.157248,134.8272205,1515.159085,2486.505965,2158.627905,3726.570453,4171.777458,4274.65238,3370.308312,3183.972558,2784.162291,1382.342629,876.995403,4076.366844,4891.640213,3913.31217,3223.420118,3868.104142,4641.72497,3713.379976,3730.477956,4476.573548,3626.042851,3698.235648,4437.882778,3550.306222,3863.428406,4636.114087,3708.89127
FRANCE,105871.7936,95243.2813,86456.2181,90750.82845,103187.9723,110065.4194,116133.5374,120995.1039,118346.6937,81706.16435,81834.8797,77921.50315,90633.5642,83732.2862,68615.52015,57770.83735,69325.0048,76552.7865,61242.2292,67495.7827,80994.93925,64795.9514,61368.95035,73642.7404,68054.9092,58895.77675,70674.93205,77160.2968,61728.23745,67245.20445
GERMANY,248193.1506,231713.5208,232254.6354,240436.5204,247075.9593,247884.174,210249.772,193455.1109,207380.2694,162767.0623,141197.2024,148824.6813,148899.9117,151564.3344,163615.4225,194324.4217,155459.5374,140095.0298,168114.0358,172994.0806,138395.2645,166074.3174,193491.1236,154792.8989,141022.8074,169227.3688,171511.1497,137208.9198,164650.7037,195660.11
ITALY,75993.78565,69288.29585,67743.9989,71966.1811,85569.02135,85494.93905,85338.9188,88508.37105,82696.1123,84243.95175,84985.5356,101179.6709,100213.9883,85447.7772,100690.8933,115905.6679,92724.5343,94336.05665,113203.268,90562.6144,91154.60395,109385.5248,92236.7436,90479.1764,108575.0117,95944.0795,87637.1237,105164.5485,105822.6367,84658.10935
NETHERLANDS,25999.62838,24241.28214,23125.95543,22279.62274,22272.91817,23834.43564,22237.60238,1132.588765,6566.731495,6153.079595,5232.09133,3797.57784,4434.408328,989.81543,7008.410885,8410.09306,6728.074445,5858.4361,7030.12332,7469.45071,5975.560565,7170.67268,7625.99862,6100.798895,7320.958675,8785.15041,7028.12033,6979.621415,7579.183395,7066.984455
PORTUGAL,13516.30209,12370.85353,11706.56529,11434.24544,11002.18386,10392.48076,11474.23393,17168.24931,19679.06374,17016.2478,17836.52635,20885.0716,21619.43471,21271.4112,18957.61479,15441.46506,18529.75807,22235.70969,17788.56775,16103.14902,19323.77883,20143.46552,16114.77242,19337.7269,22898.58306,18318.86645,15307.25249,18368.70299,22042.44358,17633.95487
SPAIN,163289.7733,138413.303,142357.6819,140314.8244,152105.7157,163310.2415,161125.8165,160477.0143,162806.1168,137589.1814,125387.3622,154545.3125,170741.7688,158913.0066,139022.2048,119512.5335,143415.0402,154542.1792,123633.7434,142095.6306,166783.2437,133426.595,121104.4636,145325.3563,148276.5765,118621.2612,142345.5134,164419.6116,131535.6893,122475.8494
